dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97464016,0.98629198,0.97638268,0.98700768,0.00000000,0.00000000,0.00000000,0.83057090,0.81365223,0.82194650,0.96867073
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95660036,0.98629198,0.95115223,0.98700768,0.82914573,0.82500000,0.82706767,0.94267318,0.95115223,0.94568660,0.94779649
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96298835,0.98766278,0.96526536,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.80438780,0.81853893,0.95483340
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96624473,0.98766278,0.96938780,0.98825768,0.78571429,0.99000000,0.87610619,0.96281520,0.96938780,0.96383245,0.95992250
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96093215,0.98971899,0.96289804,0.99013268,0.00000000,0.00000000,0.00000000,0.83239171,0.80241504,0.81690441,0.95245657
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95961423,0.98971899,0.96074837,0.99013268,0.77235772,0.95000000,0.85201794,0.95357469,0.96074837,0.95514106,0.95185933
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96778615,0.99040439,0.96964036,0.99125000,0.00000000,0.00000000,0.00000000,0.82786885,0.80803364,0.81768805,0.96035054
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96564195,0.99040439,0.96636697,0.99125000,0.82251082,0.95000000,0.88167053,0.95660154,0.96636697,0.96025186,0.95882724
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96367375,0.98903358,0.96244413,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.80203678,0.81714065,0.95571660
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95660036,0.98903358,0.95287011,0.99000000,0.77350427,0.90500000,0.83410138,0.95200237,0.95287011,0.95110195,0.94790888
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95150115,0.98229407,0.95602304,0.98375000,0.00000000,0.00000000,0.00000000,0.83225458,0.79668587,0.81397377,0.94071945
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.94349617,0.98229407,0.94960254,0.98375000,0.85747664,0.91750000,0.88647343,0.95043524,0.94960254,0.94936919,0.93126920
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96920708,0.97228637,0.97227304,0.97575768,0.00000000,0.00000000,0.00000000,0.82765780,0.81022754,0.81865027,0.96171398
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.81636257,0.97228637,0.86356087,0.97575768,0.79012346,0.32000000,0.45551601,0.83357258,0.86356087,0.81438340,0.79771281
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96920708,0.98845266,0.97263268,0.98825768,0.00000000,0.00000000,0.00000000,0.83185935,0.81052723,0.82100749,0.96176024
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92642731,0.98845266,0.94177723,0.98825768,0.89235127,0.78750000,0.83665339,0.91637495,0.94177723,0.92392362,0.91212530
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95919938,0.98383372,0.95990573,0.98138268,0.00000000,0.00000000,0.00000000,0.83117220,0.79992144,0.81522406,0.94964456
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.95173632,0.98383372,0.95450477,0.98138268,0.88123515,0.92750000,0.90377588,0.95742007,0.95450477,0.95559413,0.94117375
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95612009,0.99307159,0.95869413,0.99312500,0.00000000,0.00000000,0.00000000,0.83174921,0.79891178,0.81490201,0.94611203
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86639200,0.99307159,0.89474511,0.99312500,0.80701754,0.57500000,0.67153285,0.88208942,0.89474511,0.87933661,0.84293929
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97613549,0.98537336,0.97526536,0.98625000,0.00000000,0.00000000,0.00000000,0.83172030,0.81272114,0.82208983,0.97013151
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93113596,0.98537336,0.94355447,0.98625000,0.91545190,0.78500000,0.84522207,0.93385122,0.94355447,0.93692171,0.91714525
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97074673,0.97921478,0.97562500,0.98250000,0.00000000,0.00000000,0.00000000,0.82482374,0.81302083,0.81864571,0.96350117
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.95114773,0.97921478,0.96093750,0.98250000,0.92447917,0.88750000,0.90561224,0.94307024,0.96093750,0.94957121,0.94106298
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.96227868,0.99538106,0.96454609,0.99437500,0.00000000,0.00000000,0.00000000,0.83132063,0.80378841,0.81722319,0.95346610
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.95467922,0.99538106,0.95878841,0.99437500,0.88782816,0.93000000,0.90842491,0.95510002,0.95878841,0.95585487,0.94496107
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.96073903,0.98537336,0.96267109,0.98513268,0.00000000,0.00000000,0.00000000,0.82964579,0.80222591,0.81564759,0.95148068
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.84873455,0.98537336,0.88305924,0.98513268,0.80497925,0.48500000,0.60530421,0.85920003,0.88305924,0.85087472,0.82676117
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.95919938,0.99153195,0.95488827,0.99013268,0.00000000,0.00000000,0.00000000,0.82962765,0.79574022,0.81211285,0.94955250
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.92878164,0.99153195,0.93407356,0.99013268,0.87139108,0.83000000,0.85019206,0.92561639,0.93407356,0.92536729,0.91426874
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.96612779,0.98537336,0.96950768,0.98513268,0.00000000,0.00000000,0.00000000,0.83041991,0.80792307,0.81893715,0.95802901
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.82519129,0.98537336,0.86917307,0.98513268,0.78191489,0.36750000,0.50000000,0.85854860,0.86917307,0.82946070,0.80945456
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96689761,0.97613549,0.97053073,0.97950768,0.00000000,0.00000000,0.00000000,0.82720051,0.80877561,0.81763155,0.95890419
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74102413,0.97613549,0.81002561,0.97950768,0.07692308,0.00750000,0.01366743,0.72567273,0.81002561,0.72983822,0.73956327
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.97767513,0.98691301,0.97950768,0.98700768,0.00000000,0.00000000,0.00000000,0.82527925,0.81625640,0.82066200,0.97191004
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75103002,0.98691301,0.81875640,0.98700768,0.23076923,0.01500000,0.02816901,0.74928050,0.81875640,0.73592220,0.75301797
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.96458814,0.98614319,0.96714036,0.98513268,0.00000000,0.00000000,0.00000000,0.82881036,0.80595030,0.81711884,0.95609897
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.74161271,0.98614319,0.80886697,0.98513268,0.14583333,0.01750000,0.03125000,0.73554209,0.80886697,0.73211080,0.73759951
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97151655,0.98306390,0.97303073,0.98339036,0.00000000,0.00000000,0.00000000,0.82706906,0.81085894,0.81881715,0.96433948
