dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.94434544,0.98930775,0.94294832,0.98985615,0.00000000,0.00000000,0.00000000,0.83333333,0.78579027,0.80878041,0.93306228
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94731766,0.98930775,0.94729027,0.98985615,0.70527605,0.96900000,0.81619436,0.94758260,0.94729027,0.94322507,0.93778860
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91116243,0.98137028,0.89532751,0.98203422,0.00000000,0.00000000,0.00000000,0.83219568,0.74610626,0.78524672,0.89456491
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.93172454,0.98137028,0.91252293,0.98203422,0.77836057,0.99850000,0.87459042,0.96124796,0.91252293,0.93072420,0.91915734
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.90007698,0.98260200,0.88553980,0.98365922,0.00000000,0.00000000,0.00000000,0.83261890,0.73794984,0.78104450,0.88240237
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92101236,0.98260200,0.90278317,0.98365922,0.75398873,0.98900000,0.85561636,0.95320793,0.90278317,0.92168908,0.90646623
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.89268668,0.98244804,0.87690712,0.98357961,0.00000000,0.00000000,0.00000000,0.83252942,0.73075594,0.77656850,0.87443347
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.91383167,0.98244804,0.89450594,0.98357961,0.73936483,0.98250000,0.84357088,0.94731550,0.89450594,0.91386313,0.89805223
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.90916089,0.98752887,0.89173673,0.98728422,0.00000000,0.00000000,0.00000000,0.83204404,0.74311394,0.78329023,0.89240595
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.92948793,0.98752887,0.90903061,0.98728422,0.77374268,0.99550000,0.87046950,0.95985683,0.90903061,0.92785281,0.91650178
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90833333,0.98152778,0.89262500,0.97950000,0.00000000,0.00000000,0.00000000,0.83278689,0.74385417,0.78442923,0.89224795
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92050511,0.98152778,0.91037136,0.97950000,0.62906785,0.99910314,0.77191285,0.93751776,0.91037136,0.91302948,0.90809057
