dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.94448252,0.98971899,0.94199022,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.78499185,0.80832004,0.93318427
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94996986,0.98971899,0.94999185,0.98964036,0.70967742,0.99000000,0.82672234,0.95053763,0.94999185,0.94558810,0.94114459
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.93214531,0.98903358,0.92877095,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.77397579,0.80246613,0.91907453
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93429777,0.98903358,0.93230912,0.99000000,0.65743945,0.95000000,0.77709611,0.93756469,0.93230912,0.92942133,0.92259899
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.95065113,0.99108979,0.94958450,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.79132041,0.81174394,0.94030616
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95660036,0.99108979,0.95798708,0.99138268,0.73529412,1.00000000,0.84745763,0.95588235,0.95798708,0.95298688,0.94887404
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.94996573,0.98766278,0.94895950,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.79079958,0.81146813,0.93951342
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95418927,0.98766278,0.95496625,0.98875000,0.72962963,0.98500000,0.83829787,0.95335097,0.95496625,0.95040701,0.94589132
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.94448252,0.98903358,0.94543645,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.78786371,0.80990380,0.93323303
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94153104,0.98903358,0.94119704,0.98950768,0.69433962,0.92000000,0.79139785,0.94057736,0.94119704,0.93772203,0.93043404
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.89838337,0.97459584,0.87867668,0.97589036,0.00000000,0.00000000,0.00000000,0.83050847,0.73223056,0.77678759,0.88018896
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92171866,0.97459584,0.89848056,0.97589036,0.75425331,0.99750000,0.85898816,0.95515579,0.89848056,0.91949031,0.90751118
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92455735,0.97228637,0.91636522,0.97513268,0.00000000,0.00000000,0.00000000,0.83157566,0.76363769,0.79581617,0.90943291
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94231901,0.97228637,0.93030435,0.97513268,0.80645161,1.00000000,0.89285714,0.96598426,0.93030435,0.94462569,0.93136819
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92609700,0.98768283,0.91176327,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.75980272,0.79405539,0.91124283
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94231901,0.98768283,0.92563606,0.98812500,0.80566802,0.99500000,0.89038031,0.96530048,0.92563606,0.94147616,0.93124168
