dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.94955449,0.98204249,0.94838757,0.98185265,0.00000000,0.00000000,0.00000000,0.83004282,0.79032297,0.80962968,0.93876286
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94237492,0.98204249,0.93865631,0.98185265,0.72358843,0.89000000,0.79769161,0.93781956,0.93865631,0.93634881,0.93091365
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.93271747,0.97059276,0.92153142,0.96861034,0.00000000,0.00000000,0.00000000,0.82764658,0.76794285,0.79593734,0.91835084
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91689229,0.97059276,0.91219285,0.96861034,0.80983706,0.86550000,0.83509760,0.92215088,0.91219285,0.91550556,0.89903198
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92917629,0.97105466,0.91850908,0.96888687,0.00000000,0.00000000,0.00000000,0.82807181,0.76542423,0.79499875,0.91437788
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91524426,0.97105466,0.91042423,0.96888687,0.79956981,0.87000000,0.83278670,0.92127071,0.91042423,0.91445560,0.89695180
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91578137,0.96843726,0.90408101,0.96747765,0.00000000,0.00000000,0.00000000,0.82606904,0.75340084,0.78734050,0.89898758
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88911124,0.96843726,0.88715084,0.96747765,0.75907480,0.80250000,0.77969023,0.89255268,0.88715084,0.88778353,0.86522201
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92209392,0.97613549,0.90531215,0.97284916,0.00000000,0.00000000,0.00000000,0.82817551,0.75442679,0.78811125,0.90640128
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.91959976,0.97613549,0.90634346,0.97284916,0.79238561,0.91150000,0.84477603,0.93673013,0.90634346,0.91802706,0.90321657
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91861111,0.96375000,0.90375000,0.95950000,0.00000000,0.00000000,0.00000000,0.82326404,0.75312500,0.78577791,0.90263512
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.89717378,0.96375000,0.87958240,0.95950000,0.60685105,0.75874439,0.67159698,0.88866494,0.87958240,0.88018205,0.87705833
