dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.95681974,0.98012337,0.95619413,0.97941341,0.00000000,0.00000000,0.00000000,0.83070452,0.79682845,0.81332901,0.94728226
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95539482,0.98012337,0.95432845,0.97941341,0.76518219,0.94500000,0.84563758,0.95243394,0.95432845,0.95143805,0.94664381
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.93694311,0.98012337,0.93609986,0.98089036,0.00000000,0.00000000,0.00000000,0.82848941,0.78008322,0.80349312,0.92400419
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93670886,0.98012337,0.93591655,0.98089036,0.69003690,0.93500000,0.79405520,0.93658084,0.93591655,0.93250143,0.92479892
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.95339273,0.98492118,0.95011522,0.98428073,0.00000000,0.00000000,0.00000000,0.83070858,0.79176269,0.81069353,0.94324357
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94092827,0.98492118,0.93342935,0.98428073,0.72649573,0.85000000,0.78341014,0.93030716,0.93342935,0.93092380,0.92883261
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.94448252,0.97738177,0.94346718,0.97740573,0.00000000,0.00000000,0.00000000,0.82807476,0.78622265,0.80658237,0.93267068
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93068113,0.97738177,0.92455598,0.97740573,0.69456067,0.83000000,0.75626424,0.92567910,0.92455598,0.92377716,0.91654004
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.95613434,0.98766278,0.95606145,0.98727304,0.00000000,0.00000000,0.00000000,0.83223684,0.79671788,0.81405038,0.94661361
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94816154,0.98766278,0.94505121,0.98727304,0.74166667,0.89000000,0.80909091,0.94409675,0.94505121,0.94310360,0.93775286
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.93456505,0.96920708,0.92359986,0.96829609,0.00000000,0.00000000,0.00000000,0.82333241,0.76966655,0.79541344,0.92017270
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.91995291,0.96920708,0.91508322,0.96829609,0.82117647,0.87250000,0.84606061,0.91572729,0.91508322,0.91479288,0.90243732
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.93302540,0.96689761,0.92261522,0.96740573,0.00000000,0.00000000,0.00000000,0.82621366,0.76884602,0.79597916,0.91825831
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93290171,0.96689761,0.92426269,0.96740573,0.83073497,0.93250000,0.87868080,0.94891160,0.92426269,0.93486694,0.91837949
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.94457275,0.97844496,0.93869413,0.97950768,0.00000000,0.00000000,0.00000000,0.83162199,0.78224511,0.80600182,0.93237461
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89523249,0.97844496,0.90474511,0.97950768,0.80769231,0.73500000,0.76963351,0.89353637,0.90474511,0.89657127,0.87317568
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.92994611,0.97074673,0.91829609,0.96329609,0.00000000,0.00000000,0.00000000,0.83034204,0.76524674,0.79530297,0.91539874
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94055327,0.97074673,0.92774674,0.96329609,0.81761006,0.97500000,0.88939567,0.95770597,0.92774674,0.93945520,0.92853030
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.92147806,0.96766744,0.90445182,0.96454609,0.00000000,0.00000000,0.00000000,0.82672281,0.75370985,0.78698931,0.90554985
