dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91638108,0.98903358,0.91488827,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.76240689,0.79616455,0.90158996
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92646172,0.98903358,0.92907356,0.98901536,0.62111801,1.00000000,0.76628352,0.93685300,0.92907356,0.92387847,0.91497586
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90130226,0.98903358,0.89621508,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.74684590,0.78746877,0.88504245
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91320072,0.98903358,0.91351257,0.98901536,0.58139535,1.00000000,0.73529412,0.93023256,0.91351257,0.91001779,0.90034226
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91089788,0.98766278,0.90988827,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.75824022,0.79394691,0.89555808
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92163954,0.98766278,0.92490689,0.98776536,0.60606061,1.00000000,0.75471698,0.93434343,0.92490689,0.91973308,0.90964311
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92940370,0.98834818,0.93119413,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.77599511,0.80346002,0.91619715
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93731163,0.98834818,0.94182845,0.98888268,0.65894040,0.99500000,0.79282869,0.94262254,0.94182845,0.93533818,0.92703022
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90884167,0.98766278,0.90604399,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.75503666,0.79212613,0.89327296
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91983122,0.98766278,0.92170333,0.98776536,0.60060060,1.00000000,0.75046904,0.93343343,0.92170333,0.91720431,0.90763099
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.89376443,0.97767513,0.89733240,0.97740573,0.00000000,0.00000000,0.00000000,0.83016878,0.74777700,0.78630369,0.87584859
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.82401413,0.97767513,0.84736034,0.97740573,0.63903743,0.59750000,0.61757106,0.85415514,0.84736034,0.83462201,0.79210980
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92378753,0.97074673,0.92515363,0.97339036,0.00000000,0.00000000,0.00000000,0.83016878,0.77096136,0.79919646,0.90874931
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93643320,0.97074673,0.93387803,0.97339036,0.80287474,0.97750000,0.88162345,0.95516974,0.93387803,0.94166194,0.92398588
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92070824,0.98537336,0.92386522,0.98526536,0.00000000,0.00000000,0.00000000,0.82306397,0.76988769,0.79523160,0.90479576
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.90876986,0.98537336,0.91488769,0.98526536,0.78911565,0.87000000,0.82758621,0.91633472,0.91488769,0.91114117,0.88998762
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91685912,0.97382602,0.91591131,0.97352304,0.00000000,0.00000000,0.00000000,0.82900433,0.76325943,0.79461349,0.90078548
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90818128,0.97382602,0.90992609,0.97352304,0.77192982,0.88000000,0.82242991,0.91908401,0.90992609,0.91057102,0.88912737
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.90223249,0.98075443,0.90384777,0.97905377,0.00000000,0.00000000,0.00000000,0.82424242,0.75320647,0.78617898,0.88440723
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.89111242,0.98075443,0.89570647,0.97905377,0.74347826,0.85500000,0.79534884,0.90707312,0.89570647,0.89512330,0.86885965
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.91377983,0.97921478,0.91430168,0.97816341,0.00000000,0.00000000,0.00000000,0.82908705,0.76191806,0.79378518,0.89743831
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.89405533,0.97921478,0.90025140,0.97816341,0.75454545,0.83000000,0.79047619,0.90569470,0.90025140,0.89720098,0.87227650
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.91454965,0.97382602,0.91939595,0.97602304,0.00000000,0.00000000,0.00000000,0.82335329,0.76616329,0.79301130,0.89803101
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91877575,0.97382602,0.92157996,0.97602304,0.78691983,0.93250000,0.85354691,0.93269970,0.92157996,0.92306262,0.90246178
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.92609700,0.98460354,0.92778631,0.98464036,0.00000000,0.00000000,0.00000000,0.82719836,0.77315526,0.79875051,0.91118666
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.89758682,0.98460354,0.90732193,0.98464036,0.78155340,0.80500000,0.79310345,0.90550095,0.90732193,0.89941878,0.87697743
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.90839107,0.98306390,0.90962291,0.98240573,0.00000000,0.00000000,0.00000000,0.83109620,0.75801909,0.79275184,0.89173717
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.86639200,0.98306390,0.87968575,0.98240573,0.71393643,0.73000000,0.72187886,0.88098681,0.87968575,0.87199492,0.83980632
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.89838337,0.97921478,0.89379190,0.97717877,0.00000000,0.00000000,0.00000000,0.82208589,0.74482658,0.78021425,0.87980292
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.90288405,0.97921478,0.89774325,0.97717877,0.75204918,0.91750000,0.82657658,0.92125990,0.89774325,0.90343637,0.88344148
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.91454965,0.98152425,0.92284218,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.76903515,0.79953804,0.89905622
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.86462625,0.98152425,0.88611848,0.98178073,0.71683673,0.70250000,0.70959596,0.88094622,0.88611848,0.87274524,0.83876118
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.90454196,0.97767513,0.90831704,0.98026536,0.00000000,0.00000000,0.00000000,0.82335329,0.75693087,0.78787248,0.88690525
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.83402001,0.97767513,0.85776420,0.98026536,0.67977528,0.60500000,0.64021164,0.86047537,0.85776420,0.84243743,0.80492412
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.92301771,0.98537336,0.92609986,0.98638268,0.00000000,0.00000000,0.00000000,0.83124600,0.77174988,0.80029165,0.90801137
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.91230135,0.98537336,0.91799988,0.98638268,0.78173719,0.87750000,0.82685512,0.92137074,0.91799988,0.91618967,0.89409259
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.91377983,0.98460354,0.91475559,0.98365573,0.00000000,0.00000000,0.00000000,0.83004386,0.76229632,0.79466719,0.89750844
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.88110653,0.98460354,0.89146299,0.98365573,0.73985680,0.77500000,0.75702076,0.89259321,0.89146299,0.88519821,0.85700984
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.92686682,0.97459584,0.92577863,0.97329609,0.00000000,0.00000000,0.00000000,0.81656805,0.77148219,0.79272585,0.91115291
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.85756327,0.97459584,0.87689886,0.97329609,0.76435045,0.63250000,0.69220246,0.87422719,0.87689886,0.86053348,0.83334195
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.90223249,0.99076212,0.90013617,0.98928073,0.00000000,0.00000000,0.00000000,0.83225806,0.75011348,0.78837169,0.88501272
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.83931725,0.99076212,0.85594681,0.98928073,0.66842105,0.63500000,0.65128205,0.86334149,0.85594681,0.84530787,0.80929575
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.90377213,0.98691301,0.90939595,0.98589036,0.00000000,0.00000000,0.00000000,0.83016878,0.75782996,0.79199416,0.88677099
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.90994703,0.98691301,0.91282996,0.98589036,0.75303644,0.93000000,0.83221477,0.93106163,0.91282996,0.91754845,0.89219627
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.89607390,0.98691301,0.90117668,0.98651536,0.00000000,0.00000000,0.00000000,0.83016878,0.75098056,0.78815910,0.87840118
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.91230135,0.98691301,0.91181390,0.98651536,0.74517375,0.96500000,0.84095861,0.94105609,0.91181390,0.92146757,0.89587426
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.90762125,0.98152425,0.91113827,0.98079609,0.00000000,0.00000000,0.00000000,0.82905983,0.75928189,0.79243157,0.89074932
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.90700412,0.98152425,0.91011522,0.98079609,0.75732218,0.90500000,0.82460137,0.92347122,0.91011522,0.91265375,0.88816597
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.90454196,0.98614319,0.90434008,0.98414804,0.00000000,0.00000000,0.00000000,0.82604167,0.75361674,0.78748214,0.88704367
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.91524426,0.98614319,0.91195007,0.98414804,0.76458753,0.95000000,0.84726867,0.93576459,0.91195007,0.91931858,0.89862725
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.88611111,0.97777778,0.89000000,0.97625000,0.00000000,0.00000000,0.00000000,0.83002208,0.74166667,0.78313411,0.86852822
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.84546001,0.97777778,0.83882661,0.97625000,0.44673540,0.58295964,0.50583658,0.84221546,0.83882661,0.83092434,0.81737181
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.89722222,0.98055556,0.90625000,0.98187500,0.00000000,0.00000000,0.00000000,0.82435130,0.75520833,0.78716680,0.88019771
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.86530367,0.98055556,0.86507380,0.98187500,0.51398601,0.65919283,0.57760314,0.86069863,0.86507380,0.85306037,0.84109968
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.92847222,0.98472222,0.93062500,0.98437500,0.00000000,0.00000000,0.00000000,0.83010753,0.77552083,0.80176143,0.91466656
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.93686109,0.98472222,0.94069273,0.98437500,0.68847352,0.99103139,0.81250000,0.94277106,0.94069273,0.93616329,0.92616518
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.90972222,0.97777778,0.91312500,0.97812500,0.00000000,0.00000000,0.00000000,0.82903226,0.76093750,0.79323572,0.89386673
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.92002405,0.97777778,0.92536201,0.97812500,0.63583815,0.98654709,0.77328647,0.93337662,0.92536201,0.92133980,0.90725889
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.91041667,0.97500000,0.91250000,0.97375000,0.00000000,0.00000000,0.00000000,0.82585470,0.76041667,0.79143512,0.89436318
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.84606133,0.97500000,0.83216555,0.97375000,0.44036697,0.43049327,0.43537415,0.82781146,0.83216555,0.81893886,0.81828279
