dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.90980123,0.98889650,0.90494972,0.98967807,0.00000000,0.00000000,0.00000000,0.83333333,0.75412477,0.79144042,0.89430662
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92043400,0.98889650,0.92045810,0.98967807,0.60271804,0.99800000,0.75153869,0.93346328,0.92045810,0.91655253,0.90823783
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.85465743,0.98460354,0.82878352,0.98507961,0.00000000,0.00000000,0.00000000,0.83333333,0.69065293,0.75128822,0.83442793
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88887581,0.98460354,0.85731960,0.98507961,0.68000407,1.00000000,0.80934221,0.94666734,0.85731960,0.88617859,0.87090226
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.81339492,0.98737490,0.78467109,0.98767807,0.00000000,0.00000000,0.00000000,0.83333333,0.65389257,0.72824636,0.79309205
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.85732784,0.98737490,0.82055924,0.98767807,0.62298634,1.00000000,0.76760990,0.93716439,0.82055924,0.85618134,0.83621247
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.79014627,0.98414165,0.76391411,0.98498115,0.00000000,0.00000000,0.00000000,0.83333333,0.63659509,0.71779535,0.77084056
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83943496,0.98414165,0.80317842,0.98498115,0.59518285,0.99950000,0.74590904,0.93215169,0.80317842,0.84201884,0.81683818
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.84418784,0.99137798,0.81595810,0.99148115,0.00000000,0.00000000,0.00000000,0.83333333,0.67996508,0.74416235,0.82377763
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.88087110,0.99137798,0.84663175,0.99148115,0.66468495,1.00000000,0.79837851,0.94411416,0.84663175,0.87722544,0.86206127
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.83736111,0.98444444,0.81562500,0.98400000,0.00000000,0.00000000,0.00000000,0.83333333,0.67968750,0.74541663,0.81824818
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85917017,0.98444444,0.84635417,0.98400000,0.48804129,1.00000000,0.65586599,0.91467355,0.84635417,0.85472763,0.84250424
