dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91089788,0.98629198,0.90398045,0.98700768,0.00000000,0.00000000,0.00000000,0.83333333,0.75331704,0.79087885,0.89545353
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92163954,0.98629198,0.91998371,0.98700768,0.60606061,1.00000000,0.75471698,0.93434343,0.91998371,0.91666501,0.90958523
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91226868,0.98834818,0.91015363,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.75846136,0.79400473,0.89704961
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92284509,0.98834818,0.92512803,0.98888268,0.60975610,1.00000000,0.75757576,0.93495935,0.92512803,0.92026735,0.91096821
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91089788,0.99040439,0.90644204,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.75536837,0.79223716,0.89547462
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92163954,0.99040439,0.92203503,0.99125000,0.60606061,1.00000000,0.75471698,0.93434343,0.92203503,0.91802332,0.90959186
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.90952707,0.99040439,0.90617668,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.75514723,0.79205023,0.89406946
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91983122,0.99040439,0.92098056,0.99125000,0.60120846,0.99500000,0.74952919,0.93247317,0.92098056,0.91650978,0.90754295
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90541467,0.98903358,0.89799581,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.74832984,0.78803115,0.88948585
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91621459,0.98903358,0.91416318,0.99000000,0.59050445,0.99500000,0.74115456,0.93119703,0.91416318,0.91129718,0.90350088
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.82755966,0.98383372,0.79191690,0.98500000,0.00000000,0.00000000,0.00000000,0.83333333,0.65993075,0.72932922,0.80680627
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.86815774,0.98383372,0.82659742,0.98500000,0.64102564,1.00000000,0.78125000,0.94017094,0.82659742,0.85953756,0.84799556
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.86836028,0.97382602,0.84924581,0.97750000,0.00000000,0.00000000,0.00000000,0.83333333,0.70770484,0.76376644,0.84855656
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89935256,0.97382602,0.87437151,0.97750000,0.70052539,1.00000000,0.82389289,0.95008757,0.87437151,0.90108193,0.88253347
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86451116,0.98845266,0.83920740,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.69933950,0.75693162,0.84445988
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89640965,0.98845266,0.86600617,0.98825768,0.69444444,1.00000000,0.81967213,0.94907407,0.86600617,0.89354364,0.87923741
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.85681293,0.98537336,0.83394204,0.98263268,0.00000000,0.00000000,0.00000000,0.83333333,0.69495170,0.75446680,0.83663202
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.89052384,0.98537336,0.86161837,0.98263268,0.68259386,1.00000000,0.81135903,0.94709898,0.86161837,0.88969330,0.87273082
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85604311,0.99153195,0.82960545,0.99200768,0.00000000,0.00000000,0.00000000,0.83333333,0.69133787,0.75194703,0.83568491
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.88993526,0.99153195,0.85800454,0.99200768,0.68143101,1.00000000,0.81053698,0.94690517,0.85800454,0.88703653,0.87201402
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.79753657,0.98614319,0.77070531,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.64225442,0.72144502,0.77764837
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.84520306,0.98614319,0.80892109,0.98687500,0.60331825,1.00000000,0.75258702,0.93388638,0.80892109,0.84687619,0.82298929
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.81062356,0.97921478,0.78222067,0.98250000,0.00000000,0.00000000,0.00000000,0.83333333,0.65185056,0.72706366,0.79048630
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.85520895,0.97921478,0.81851723,0.98250000,0.61919505,1.00000000,0.76481836,0.93653251,0.81851723,0.85453339,0.83398961
