dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97299520,0.98821110,0.97055028,0.98826536,0.00000000,0.00000000,0.00000000,0.83238913,0.80879190,0.82033774,0.96669257
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96528029,0.98821110,0.96029190,0.98826536,0.82804026,0.90900000,0.86648758,0.96124045,0.96029190,0.96012883,0.95812739
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95427252,0.97767513,0.94856913,0.97810265,0.00000000,0.00000000,0.00000000,0.83060070,0.79047428,0.80980786,0.94378622
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95927016,0.97767513,0.95305761,0.97810265,0.87348382,0.97550000,0.92165179,0.96872049,0.95305761,0.95985346,0.95065541
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95196305,0.97983064,0.94578142,0.97955726,0.00000000,0.00000000,0.00000000,0.83105701,0.78815119,0.80884785,0.94107521
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94549735,0.97983064,0.94223452,0.97955726,0.86009181,0.92450000,0.88919483,0.95093705,0.94223452,0.94474007,0.93419902
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95257891,0.98075443,0.94662989,0.98110265,0.00000000,0.00000000,0.00000000,0.83192227,0.78885824,0.80962943,0.94182539
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.95150088,0.98075443,0.94685824,0.98110265,0.86377288,0.94800000,0.90366861,0.95672963,0.94685824,0.95079916,0.94114841
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96135489,0.98706697,0.95513338,0.98645112,0.00000000,0.00000000,0.00000000,0.83233556,0.79594448,0.81351136,0.95228848
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96833431,0.98706697,0.96111115,0.98645112,0.88997828,0.99100000,0.93763645,0.97689510,0.96111115,0.96800906,0.96174842
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95750000,0.97902778,0.95237500,0.97862500,0.00000000,0.00000000,0.00000000,0.83111633,0.79364583,0.81178561,0.94801937
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.94876729,0.97902778,0.94237528,0.97862500,0.76298411,0.89237668,0.81764637,0.94290130,0.94237528,0.93913307,0.93914901
