dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97601097,0.98903358,0.97418645,0.98901536,0.00000000,0.00000000,0.00000000,0.83018802,0.81182204,0.82084456,0.97019769
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.97227245,0.98903358,0.96932204,0.98901536,0.86697248,0.94500000,0.90430622,0.96899242,0.96932204,0.96873567,0.96651819
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96847156,0.98834818,0.96484986,0.98789804,0.00000000,0.00000000,0.00000000,0.83333333,0.80404155,0.81829327,0.96130056
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94996986,0.98834818,0.93987488,0.98789804,0.77990431,0.81500000,0.79706601,0.94510447,0.93987488,0.94177634,0.93964486
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98080877,0.98766278,0.97954609,0.98776536,0.00000000,0.00000000,0.00000000,0.83228840,0.81628841,0.82419065,0.97614030
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.98251959,0.98766278,0.98212174,0.98776536,0.88444444,0.99500000,0.93647059,0.97916502,0.98212174,0.98000911,0.97899792
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96915696,0.98834818,0.96744413,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.80620345,0.81950372,0.96210967
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95840868,0.98834818,0.95287011,0.98888268,0.79638009,0.88000000,0.83610451,0.95405294,0.95287011,0.95279851,0.94983292
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97052776,0.98766278,0.96672486,0.98776536,0.00000000,0.00000000,0.00000000,0.83280255,0.80560405,0.81885648,0.96371465
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96323086,0.98766278,0.95727072,0.98776536,0.81250000,0.91000000,0.85849057,0.95888739,0.95727072,0.95732452,0.95564307
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95150115,0.97767513,0.94645950,0.97740573,0.00000000,0.00000000,0.00000000,0.83226152,0.78871625,0.80979759,0.94048128
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95762213,0.97767513,0.95163291,0.97740573,0.86504425,0.97750000,0.91784038,0.96729334,0.95163291,0.95849212,0.94872946
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95688992,0.96997691,0.95592877,0.97276536,0.00000000,0.00000000,0.00000000,0.83223684,0.79660731,0.81392392,0.94705995
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.96291936,0.96997691,0.96035731,0.97276536,0.87723214,0.98250000,0.92688679,0.97322550,0.96035731,0.96587846,0.95520542
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96304850,0.98537336,0.95931913,0.98526536,0.00000000,0.00000000,0.00000000,0.82644470,0.79943261,0.81270596,0.95400519
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96998234,0.98537336,0.96484928,0.98526536,0.90639269,0.99250000,0.94749403,0.97541127,0.96484928,0.96960024,0.96359819
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95304080,0.97459584,0.94655377,0.97477304,0.00000000,0.00000000,0.00000000,0.83119623,0.78879481,0.80920327,0.94232379
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.95762213,0.97459584,0.95087814,0.97477304,0.86830357,0.97250000,0.91745283,0.96574819,0.95087814,0.95720880,0.94867805
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.94688222,0.98075443,0.93458450,0.98030377,0.00000000,0.00000000,0.00000000,0.83086420,0.77882041,0.80340855,0.93506090
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.94820483,0.98075443,0.93757041,0.98030377,0.85044643,0.95250000,0.89858491,0.96192417,0.93757041,0.94808767,0.93706591
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.95765974,0.97921478,0.95342877,0.97878841,0.00000000,0.00000000,0.00000000,0.83333333,0.79452398,0.81336500,0.94790260
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.94055327,0.97921478,0.94202398,0.97878841,0.86552567,0.88500000,0.87515451,0.93857071,0.94202398,0.93929053,0.92763580
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.94380293,0.97382602,0.94369413,0.97539804,0.00000000,0.00000000,0.00000000,0.83006536,0.78641178,0.80754496,0.93160247
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.94997057,0.97382602,0.94807845,0.97539804,0.84716157,0.97000000,0.90442890,0.96014160,0.94807845,0.95281868,0.93963095
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95381062,0.98460354,0.94587291,0.98464036,0.00000000,0.00000000,0.00000000,0.83219955,0.78822742,0.80944855,0.94324056
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.96350795,0.98460354,0.95406075,0.98464036,0.87089716,0.99500000,0.92882147,0.97568948,0.95406075,0.96347756,0.95604366
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95842956,0.98229407,0.94882682,0.98178073,0.00000000,0.00000000,0.00000000,0.83045513,0.79068901,0.80980777,0.94861265
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.91583284,0.98229407,0.92027235,0.98178073,0.85911602,0.77750000,0.81627297,0.90977493,0.92027235,0.91125723,0.89865820
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94611239,0.97921478,0.93708450,0.97717877,0.00000000,0.00000000,0.00000000,0.82923168,0.78090375,0.80407297,0.93401775
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.95762213,0.97921478,0.94673708,0.97717877,0.85775862,0.99500000,0.92129630,0.97050852,0.94673708,0.95685636,0.94902649
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.95381062,0.98152425,0.94708450,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.78923708,0.81052281,0.94331704
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.94290759,0.98152425,0.94048708,0.98178073,0.85815603,0.90750000,0.88213852,0.94268511,0.94048708,0.94072521,0.93047477
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.94226328,0.97767513,0.94034218,0.98026536,0.00000000,0.00000000,0.00000000,0.83168803,0.78361848,0.80679568,0.92984378
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.94467334,0.97767513,0.94236848,0.98026536,0.83920705,0.95250000,0.89227166,0.95436688,0.94236848,0.94707670,0.93306005
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.96073903,0.98460354,0.95507682,0.98526536,0.00000000,0.00000000,0.00000000,0.83069263,0.79589735,0.81283955,0.95138925
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.96703943,0.98460354,0.96048068,0.98526536,0.89164786,0.98750000,0.93712930,0.97389078,0.96048068,0.96648638,0.96007489
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.95458045,0.98460354,0.94793645,0.98365573,0.00000000,0.00000000,0.00000000,0.83333333,0.78994704,0.81084514,0.94423303
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.94231901,0.98460354,0.94036371,0.98365573,0.85952381,0.90250000,0.88048780,0.94106484,0.94036371,0.93996754,0.92973652
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.95150115,0.97536567,0.94270950,0.97454609,0.00000000,0.00000000,0.00000000,0.83056400,0.78559125,0.80714394,0.94034387
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.96056504,0.97536567,0.95059125,0.97454609,0.87032967,0.99000000,0.92631579,0.97164056,0.95059125,0.95973995,0.95239583
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.96766744,0.99076212,0.96280377,0.98928073,0.00000000,0.00000000,0.00000000,0.83280423,0.80233648,0.81718167,0.95983174
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.96939376,0.99076212,0.96483648,0.98928073,0.90487239,0.97500000,0.93862816,0.97306777,0.96483648,0.96858281,0.96278051
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.95996921,0.98845266,0.95481145,0.98839036,0.00000000,0.00000000,0.00000000,0.83108108,0.79567621,0.81289755,0.95055319
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.96821660,0.98845266,0.96150954,0.98839036,0.88839286,0.99500000,0.93867925,0.97695437,0.96150954,0.96832468,0.96163095
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.96920708,0.98691301,0.96615573,0.98651536,0.00000000,0.00000000,0.00000000,0.83112583,0.80512977,0.81788504,0.96166810
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.97469099,0.98691301,0.97054644,0.98651536,0.91264368,0.99250000,0.95089820,0.98002936,0.97054644,0.97484228,0.96931854
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.95458045,0.98152425,0.94905377,0.98142109,0.00000000,0.00000000,0.00000000,0.83333333,0.79087814,0.81136067,0.94425674
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.96409653,0.98152425,0.95671148,0.98142109,0.87089716,0.99500000,0.92882147,0.97679297,0.95671148,0.96538680,0.95678451
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.95535027,0.98768283,0.94284218,0.98664804,0.00000000,0.00000000,0.00000000,0.83333333,0.78570182,0.80823186,0.94513262
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.96527369,0.98768283,0.95195182,0.98664804,0.87308534,0.99750000,0.93115519,0.97763101,0.95195182,0.96290873,0.95822757
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.96458333,0.97777778,0.95875000,0.97625000,0.00000000,0.00000000,0.00000000,0.82889675,0.79895833,0.81351809,0.95631951
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.96873121,0.97777778,0.96487762,0.97625000,0.82835821,0.99551570,0.90427699,0.96640640,0.96487762,0.96397114,0.96265964
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.95555556,0.97986111,0.94812500,0.98125000,0.00000000,0.00000000,0.00000000,0.83162544,0.79010417,0.81008649,0.94570745
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.96151533,0.97986111,0.95677083,0.98125000,0.78245614,1.00000000,0.87795276,0.96203479,0.95677083,0.95641195,0.95437980
