dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92159013,0.98903358,0.92180447,0.99000000,0.00000000,0.00000000,0.00000000,0.83258004,0.76817039,0.79876533,0.90755960
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93068113,0.98903358,0.93433706,0.99000000,0.63959151,0.99700000,0.77852700,0.93868808,0.93433706,0.92828442,0.91972917
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91593533,0.98352579,0.91722556,0.98390922,0.00000000,0.00000000,0.00000000,0.83107735,0.76435463,0.79591235,0.90018777
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92972337,0.98352579,0.92677130,0.98390922,0.78521296,0.97450000,0.86950084,0.95300739,0.92677130,0.93637008,0.91618223
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91085450,0.98768283,0.91321439,0.98842807,0.00000000,0.00000000,0.00000000,0.83087808,0.76101199,0.79396367,0.89469155
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.90924073,0.98768283,0.91167865,0.98842807,0.76227549,0.90400000,0.82616363,0.92769636,0.91167865,0.91558124,0.89095325
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92332564,0.98444958,0.92631983,0.98545461,0.00000000,0.00000000,0.00000000,0.83080183,0.77193319,0.79997637,0.90834628
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.80412007,0.98444958,0.84143319,0.98545461,0.54050204,0.41700000,0.46281823,0.82731124,0.84143319,0.81151414,0.78017199
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.93040801,0.99199384,0.93123673,0.99207961,0.00000000,0.00000000,0.00000000,0.83248942,0.77603061,0.80302333,0.91644589
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.94173043,0.99199384,0.93911394,0.99207961,0.81388621,0.97850000,0.88853482,0.95990349,0.93911394,0.94687635,0.93028548
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90527778,0.98416667,0.90975000,0.98387500,0.00000000,0.00000000,0.00000000,0.83004117,0.75812500,0.79194286,0.88926644
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91196633,0.98416667,0.91731783,0.98387500,0.61647529,0.95515695,0.74796548,0.92443969,0.91731783,0.91202770,0.89796837
