dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92296093,0.98313914,0.92088827,0.98265573,0.00000000,0.00000000,0.00000000,0.83143446,0.76740689,0.79788360,0.90865794
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92947559,0.98313914,0.93024022,0.98265573,0.64229707,0.97700000,0.77478542,0.93576513,0.93024022,0.92570993,0.91766897
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91901463,0.97290223,0.92025908,0.97117458,0.00000000,0.00000000,0.00000000,0.82360380,0.76688257,0.79387724,0.90300026
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88452031,0.97290223,0.89563257,0.97117458,0.76030362,0.77250000,0.76239054,0.89569919,0.89563257,0.88800323,0.86239940
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91901463,0.97413395,0.91999791,0.97275419,0.00000000,0.00000000,0.00000000,0.81985003,0.76666492,0.79189113,0.90256871
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87380812,0.97413395,0.88783159,0.97275419,0.75411369,0.72700000,0.73824376,0.88464825,0.88783159,0.87729749,0.84996750
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91993841,0.97351809,0.92233101,0.97232612,0.00000000,0.00000000,0.00000000,0.82078143,0.76860917,0.79330091,0.90386838
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84108299,0.97351809,0.86610917,0.97232612,0.71302254,0.58500000,0.63780318,0.85893261,0.86610917,0.84695430,0.81478209
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.93010008,0.97736721,0.92846369,0.97351955,0.00000000,0.00000000,0.00000000,0.82493253,0.77371974,0.79831837,0.91529122
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90206004,0.97736721,0.90888641,0.97351955,0.79645374,0.81100000,0.80144587,0.90932221,0.90888641,0.90354357,0.88272725
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90041667,0.96708333,0.90162500,0.96350000,0.00000000,0.00000000,0.00000000,0.81661515,0.75135417,0.78203026,0.88257398
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87420325,0.96708333,0.86884296,0.96350000,0.54909126,0.70493274,0.61298311,0.86846423,0.86884296,0.86185994,0.85096174
