dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92734750,0.97875257,0.91996508,0.97816341,0.00000000,0.00000000,0.00000000,0.83072100,0.76663757,0.79681397,0.91332079
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93369500,0.97875257,0.92997090,0.97816341,0.65993266,0.98000000,0.78873239,0.93867815,0.92997090,0.92725041,0.92232953
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91021247,0.98217958,0.91024791,0.98227304,0.00000000,0.00000000,0.00000000,0.83165151,0.75853992,0.79328806,0.89456975
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91983122,0.98217958,0.92353992,0.98227304,0.60736196,0.99000000,0.75285171,0.93175871,0.92353992,0.91824598,0.90723811
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92803290,0.98423578,0.92452863,0.98316341,0.00000000,0.00000000,0.00000000,0.83278867,0.77044053,0.80021827,0.91440859
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93309222,0.98423578,0.93210719,0.98316341,0.65100671,0.97000000,0.77911647,0.93796344,0.93210719,0.92851750,0.92159441
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.91912269,0.98423578,0.92231145,0.98365573,0.00000000,0.00000000,0.00000000,0.83030644,0.76859288,0.79808809,0.90440756
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92585895,0.98423578,0.93109288,0.98365573,0.63106796,0.97500000,0.76620825,0.93156291,0.93109288,0.92390349,0.91361069
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.93008910,0.98629198,0.92738827,0.98602304,0.00000000,0.00000000,0.00000000,0.83170467,0.77282356,0.80100962,0.91658303
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93490054,0.98629198,0.93449022,0.98602304,0.66211604,0.97000000,0.78701826,0.93886245,0.93449022,0.93063230,0.92357210
