dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97450308,0.98875942,0.97202374,0.98915922,0.00000000,0.00000000,0.00000000,0.83314176,0.81001979,0.82133423,0.96854818
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96696805,0.98875942,0.96201979,0.98915922,0.83098304,0.91200000,0.86836334,0.96297384,0.96201979,0.96163838,0.96024706
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95211701,0.97998460,0.94477025,0.98049651,0.00000000,0.00000000,0.00000000,0.83278195,0.78730854,0.80912722,0.94134812
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95715127,0.97998460,0.94955854,0.98049651,0.86359347,0.97350000,0.91511246,0.96593739,0.94955854,0.95659524,0.94818595
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95042340,0.98337182,0.94232332,0.98446229,0.00000000,0.00000000,0.00000000,0.83201874,0.78526944,0.80764041,0.93927900
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95985874,0.98337182,0.95035277,0.98446229,0.86277464,0.99050000,0.92220465,0.97181549,0.95035277,0.95954770,0.95165951
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95042340,0.98137028,0.94267179,0.98164804,0.00000000,0.00000000,0.00000000,0.83151490,0.78555982,0.80763351,0.93927840
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.95750441,0.98137028,0.94897649,0.98164804,0.86227988,0.98050000,0.91737005,0.96721474,0.94897649,0.95670764,0.94872719
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96689761,0.99076212,0.96003142,0.99041690,0.00000000,0.00000000,0.00000000,0.83245954,0.80002619,0.81576329,0.95890854
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.97374926,0.99076212,0.96602619,0.99041690,0.90428878,0.99600000,0.94791464,0.98141922,0.96602619,0.97293495,0.96825326
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95763889,0.98541667,0.95225000,0.98475000,0.00000000,0.00000000,0.00000000,0.83187929,0.79354167,0.81206770,0.94826867
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.96235719,0.98541667,0.95901252,0.98475000,0.78865291,0.99282511,0.87879879,0.96246399,0.95901252,0.95812101,0.95532003
