dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97395476,0.98697738,0.97181913,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.80984928,0.82137777,0.96787144
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.97528632,0.98697738,0.97401595,0.98763268,0.83829787,0.98500000,0.90574713,0.97143674,0.97401595,0.97155843,0.97040160
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96915696,0.98766278,0.96449022,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.80374185,0.81809498,0.96211459
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95961423,0.98766278,0.95207519,0.98776536,0.79820628,0.89000000,0.84160757,0.95489053,0.95207519,0.95259042,0.95132936
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97395476,0.99040439,0.97083450,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.80902875,0.82093840,0.96785950
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96925859,0.99040439,0.96486208,0.99075768,0.83111111,0.93500000,0.88000000,0.96516722,0.96486208,0.96427861,0.96295324
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97669637,0.98766278,0.97579609,0.98776536,0.00000000,0.00000000,0.00000000,0.83237548,0.81316341,0.82259411,0.97119732
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95238095,0.98766278,0.94233007,0.98776536,0.82446809,0.77500000,0.79896907,0.94889546,0.94233007,0.94481450,0.94264118
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97875257,0.99108979,0.97717877,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.81431564,0.82366588,0.97369805
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.97830018,0.99108979,0.97681564,0.99187500,0.86283186,0.97500000,0.91549296,0.97447923,0.97681564,0.97494995,0.97390993
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.94842186,0.98152425,0.93877095,0.98151536,0.00000000,0.00000000,0.00000000,0.83333333,0.78230912,0.80674021,0.93694804
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95938788,0.98152425,0.94814246,0.98151536,0.85591398,0.99500000,0.92023121,0.97429511,0.94814246,0.95933450,0.95119970
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95227098,0.97305620,0.94945182,0.97714036,0.00000000,0.00000000,0.00000000,0.83333333,0.79120985,0.81156531,0.94165013
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.95821071,0.97305620,0.95412651,0.97714036,0.86313466,0.97750000,0.91676436,0.96769544,0.95412651,0.95981031,0.94956218
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96227868,0.98383372,0.95659218,0.98401536,0.00000000,0.00000000,0.00000000,0.83180190,0.79716015,0.81402545,0.95327868
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96939376,0.98383372,0.96257682,0.98401536,0.89414414,0.99250000,0.94075829,0.97753645,0.96257682,0.96927298,0.96297469
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95304080,0.98075443,0.94606145,0.98026536,0.00000000,0.00000000,0.00000000,0.83333333,0.78838454,0.80997130,0.94243012
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94761624,0.98075443,0.94338454,0.98026536,0.85912240,0.93000000,0.89315726,0.94949005,0.94338454,0.94589663,0.93621753
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.94457275,0.98075443,0.93297486,0.97954609,0.00000000,0.00000000,0.00000000,0.83210784,0.77747905,0.80333382,0.93243363
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.95114773,0.98075443,0.93956238,0.97954609,0.84565217,0.97250000,0.90465116,0.96066992,0.93956238,0.94866179,0.94097564
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.94996151,0.98691301,0.93975559,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.78312966,0.80712764,0.93876650
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.96174220,0.98691301,0.94979632,0.98750000,0.86021505,1.00000000,0.92485549,0.97670251,0.94979632,0.96127023,0.95410182
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.94996151,0.97228637,0.94609986,0.97589036,0.00000000,0.00000000,0.00000000,0.83009809,0.78841655,0.80860944,0.93861389
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.96174220,0.97228637,0.95508322,0.97589036,0.86767896,1.00000000,0.92915215,0.97471125,0.95508322,0.96346814,0.95403078
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95612009,0.98537336,0.95159218,0.98526536,0.00000000,0.00000000,0.00000000,0.83123016,0.79299348,0.81158396,0.94597983
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.96645085,0.98537336,0.95966015,0.98526536,0.87912088,1.00000000,0.93567251,0.97775031,0.95966015,0.96752938,0.95963056
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95073133,0.98691301,0.94168645,0.98714036,0.00000000,0.00000000,0.00000000,0.83333333,0.78473871,0.80784206,0.93972049
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.96233078,0.98691301,0.95140538,0.98714036,0.86206897,1.00000000,0.92592593,0.97701149,0.95140538,0.96216305,0.95481903
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94534257,0.98537336,0.93248254,0.98651536,0.00000000,0.00000000,0.00000000,0.83209877,0.77706878,0.80303893,0.93331428
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.94702766,0.98537336,0.93581878,0.98651536,0.84478936,0.95250000,0.89541716,0.95290191,0.93581878,0.94330773,0.93571535
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.95227098,0.97998460,0.94422486,0.97977304,0.00000000,0.00000000,0.00000000,0.83333333,0.78685405,0.80922391,0.94148142
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.95762213,0.97998460,0.94935405,0.97977304,0.86283186,0.97500000,0.91549296,0.96624540,0.94935405,0.95678001,0.94871398
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.94072363,0.96766744,0.93439595,0.96878841,0.00000000,0.00000000,0.00000000,0.82896480,0.77866329,0.80279648,0.92784492
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.95467922,0.96766744,0.94532996,0.96878841,0.84566596,1.00000000,0.91638030,0.96990913,0.94532996,0.95552653,0.94574004
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.95842956,0.98614319,0.95270950,0.98589036,0.00000000,0.00000000,0.00000000,0.83220721,0.79392458,0.81251370,0.94875218
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.95467922,0.98614319,0.95100791,0.98589036,0.87674419,0.94250000,0.90843373,0.95606555,0.95100791,0.95286467,0.94485706
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.95381062,0.99153195,0.94606145,0.99089036,0.00000000,0.00000000,0.00000000,0.83215130,0.78838454,0.80940732,0.94326841
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.96409653,0.99153195,0.95463454,0.99089036,0.87117904,0.99750000,0.93006993,0.97618242,0.95463454,0.96390561,0.95680539
