dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97052776,0.98971899,0.97214036,0.98964036,0.00000000,0.00000000,0.00000000,0.82875458,0.81011697,0.81922734,0.96365680
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.97046414,0.98971899,0.97178364,0.98964036,0.83620690,0.97000000,0.89814815,0.96456904,0.97178364,0.96717084,0.96457195
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95544894,0.98903358,0.95740573,0.99000000,0.00000000,0.00000000,0.00000000,0.83145009,0.79783811,0.81423946,0.94585602
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92947559,0.98903358,0.92117144,0.99000000,0.70142180,0.74000000,0.72019465,0.91434712,0.92117144,0.91674252,0.91500256
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96915696,0.99108979,0.97039804,0.99138268,0.00000000,0.00000000,0.00000000,0.83186595,0.80866504,0.81999435,0.96211992
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97046414,0.99108979,0.97199837,0.99138268,0.82008368,0.98000000,0.89293850,0.96645671,0.97199837,0.96778070,0.96472305
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97189856,0.98766278,0.97339036,0.98875000,0.00000000,0.00000000,0.00000000,0.82875458,0.81115864,0.81973045,0.96532870
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96503918,0.98766278,0.96365864,0.98875000,0.83561644,0.91500000,0.87350835,0.95651595,0.96365864,0.95944656,0.95789755
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96298835,0.98903358,0.96477304,0.98950768,0.00000000,0.00000000,0.00000000,0.83093984,0.80397754,0.81705907,0.95477207
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95901145,0.98903358,0.95897754,0.98950768,0.78481013,0.93000000,0.85125858,0.95347636,0.95897754,0.95492692,0.95084247
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.94765204,0.97459584,0.95339036,0.97589036,0.00000000,0.00000000,0.00000000,0.82613169,0.79449197,0.80971034,0.93604598
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.82224838,0.97459584,0.86365864,0.97589036,0.73127753,0.41500000,0.52950558,0.81722503,0.86365864,0.81512176,0.79729049
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96458814,0.97228637,0.96888268,0.97513268,0.00000000,0.00000000,0.00000000,0.82458987,0.80740223,0.81568745,0.95597099
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.86403767,0.97228637,0.89698557,0.97513268,0.85657371,0.53750000,0.66052227,0.87083662,0.89698557,0.86625210,0.84429404
