dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97738177,0.98492118,0.97839036,0.98526536,0.00000000,0.00000000,0.00000000,0.82965009,0.81532530,0.82232436,0.97198623
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95539482,0.98492118,0.94782530,0.98526536,0.84574468,0.79500000,0.81958763,0.94941027,0.94782530,0.94830371,0.94603886
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96504455,0.98560658,0.96763268,0.98687500,0.00000000,0.00000000,0.00000000,0.83057090,0.80636057,0.81816896,0.95717746
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96262809,0.98560658,0.96386057,0.98687500,0.79746835,0.94500000,0.86498856,0.95550180,0.96386057,0.95833782,0.95522866
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97395476,0.98971899,0.97526536,0.99013268,0.00000000,0.00000000,0.00000000,0.83239700,0.81272114,0.82236489,0.96790428
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96805304,0.98971899,0.96688780,0.99013268,0.83333333,0.92500000,0.87677725,0.96047731,0.96688780,0.96305799,0.96153626
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96298835,0.98834818,0.96575768,0.98937500,0.00000000,0.00000000,0.00000000,0.82789855,0.80479807,0.81594412,0.95467669
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94575045,0.98834818,0.94146473,0.98937500,0.77358491,0.82000000,0.79611650,0.93536406,0.94146473,0.93767909,0.93460404
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96778615,0.98903358,0.97013268,0.99000000,0.00000000,0.00000000,0.00000000,0.82901811,0.80844390,0.81830552,0.96045335
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96443641,0.98903358,0.96511057,0.99000000,0.82096070,0.94000000,0.87645688,0.95930438,0.96511057,0.96109736,0.95735942
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95535027,0.97921478,0.95776536,0.97839036,0.00000000,0.00000000,0.00000000,0.83279570,0.79813780,0.81502467,0.94524812
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.81400824,0.97921478,0.85730447,0.97839036,0.71356784,0.35500000,0.47412354,0.80375752,0.85730447,0.80276284,0.78908351
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96689761,0.97074673,0.96914804,0.97325768,0.00000000,0.00000000,0.00000000,0.82504564,0.80762337,0.81610133,0.95871001
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.75279576,0.97074673,0.81720670,0.97325768,0.41071429,0.05750000,0.10087719,0.76367182,0.81720670,0.74107600,0.74447007
