dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98697738,0.98697738,0.98812500,0.98812500,0.00000000,0.00000000,0.00000000,0.82697705,0.82343750,0.82512939,0.98367543
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88728149,0.98697738,0.85010417,0.98812500,0.78048780,0.16000000,0.26556017,0.87393196,0.85010417,0.82507498,0.86884744
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.98662725,0.98937500,0.98789358,0.98534801
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88547318,0.98834818,0.84697917,0.98937500,1.00000000,0.13500000,0.23788546,0.90909958,0.84697917,0.82045152,0.86741365
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82721365,0.82656250,0.82686999,0.98877601
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87160940,0.99108979,0.82656250,0.99187500,0.00000000,0.00000000,0.00000000,0.73384230,0.82656250,0.77683486,0.85243370
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98971899,0.98937500,0.99062500,0.00000000,0.00000000,0.00000000,0.82637030,0.82447917,0.82532325,0.98539877
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90476190,0.98971899,0.87364583,0.99062500,0.88059701,0.29500000,0.44194757,0.90055854,0.87364583,0.86072464,0.88839684
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.99000000,0.99000000,0.00000000,0.00000000,0.00000000,0.98905808,0.99000000,0.98948118,0.98619137
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88547318,0.98903358,0.84666667,0.99000000,1.00000000,0.13000000,0.23008850,0.90758707,0.84666667,0.81844943,0.86761405
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98306390,0.98437500,0.98437500,0.00000000,0.00000000,0.00000000,0.82151469,0.82031250,0.82085065,0.97848928
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75161860,0.98306390,0.82031250,0.98437500,0.00000000,0.00000000,0.00000000,0.69724755,0.82031250,0.74271423,0.74500192
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97750000,0.97750000,0.00000000,0.00000000,0.00000000,0.82349128,0.81458333,0.81879444,0.96711598
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74455562,0.97382602,0.81458333,0.97750000,0.00000000,0.00000000,0.00000000,0.65696600,0.81458333,0.71539753,0.72774011
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98460354,0.98460354,0.98513268,0.98513268,0.00000000,0.00000000,0.00000000,0.82221757,0.82094390,0.82152706,0.98044745
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75279576,0.98460354,0.82094390,0.98513268,0.00000000,0.00000000,0.00000000,0.65658932,0.82094390,0.72120980,0.73985453
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98537336,0.98537336,0.98164804,0.98164804,0.00000000,0.00000000,0.00000000,0.82182551,0.81804004,0.81987782,0.98135413
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75338434,0.98537336,0.81804004,0.98164804,0.00000000,0.00000000,0.00000000,0.65104467,0.81804004,0.72013245,0.73811787
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98845266,0.99076212,0.98852304,0.99089036,0.00000000,0.00000000,0.00000000,0.82328027,0.82376920,0.82345421,0.98531368
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75809300,0.99076212,0.82543587,0.99089036,0.57142857,0.01000000,0.01965602,0.76770397,0.82543587,0.73333926,0.74825875
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98460354,0.98460354,0.98562500,0.98562500,0.00000000,0.00000000,0.00000000,0.82912384,0.82135417,0.82521414,0.98049760
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.85932902,0.98460354,0.89677083,0.98562500,0.93298969,0.45250000,0.60942761,0.87147949,0.89677083,0.86487844,0.83990920
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97767513,0.97767513,0.98075768,0.98075768,0.00000000,0.00000000,0.00000000,0.82027534,0.81729807,0.81857469,0.97181318
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.82636845,0.97767513,0.87313140,0.98075768,0.91156463,0.33500000,0.48994516,0.82969854,0.87313140,0.81796108,0.80563285
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.99076212,0.99384142,0.99062500,0.99312500,0.00000000,0.00000000,0.00000000,0.82939844,0.82552083,0.82743119,0.98827122
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.75750441,0.99384142,0.82552083,0.99312500,0.00000000,0.00000000,0.00000000,0.65136492,0.82552083,0.72273609,0.74250678
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.99230177,0.99230177,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82770990,0.82656250,0.82712598,0.99018368
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.76280165,0.99230177,0.82947917,0.99187500,0.87500000,0.01750000,0.03431373,0.79904211,0.82947917,0.72598791,0.74846836
