dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86113777,0.98944483,0.86087011,0.98988268,0.00000000,0.00000000,0.00000000,0.83333333,0.71739176,0.77063973,0.84330019
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87787824,0.98944483,0.88405843,0.98988268,0.49783445,1.00000000,0.66442345,0.91630574,0.88405843,0.88137697,0.86281591
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86389530,0.97983064,0.86477654,0.98058729,0.00000000,0.00000000,0.00000000,0.83247417,0.72064711,0.77183897,0.84470578
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89429076,0.97983064,0.88614711,0.98058729,0.69357985,0.99300000,0.81650956,0.94508496,0.88614711,0.90649302,0.87682264
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86759045,0.98383372,0.86883659,0.98401536,0.00000000,0.00000000,0.00000000,0.83053342,0.72403049,0.77302813,0.84843354
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.88793408,0.98383372,0.88303049,0.98401536,0.69338890,0.95400000,0.80216066,0.93074967,0.88303049,0.89859960,0.86811562
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87359507,0.98521940,0.87229120,0.98568575,0.00000000,0.00000000,0.00000000,0.83198761,0.72690933,0.77544220,0.85453159
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87722190,0.98521940,0.87507600,0.98568575,0.68476072,0.88900000,0.77199657,0.91238882,0.87507600,0.88560542,0.85403844
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86004619,0.99183988,0.86252235,0.99163268,0.00000000,0.00000000,0.00000000,0.83268674,0.71876862,0.77090451,0.84092192
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.88981754,0.99183988,0.88318529,0.99163268,0.68616305,0.98650000,0.80906497,0.94147760,0.88318529,0.90302673,0.87159441
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86416667,0.98333333,0.86825000,0.98250000,0.00000000,0.00000000,0.00000000,0.83200288,0.72354167,0.77366113,0.84597600
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88226097,0.98333333,0.89005886,0.98250000,0.53454912,0.99910314,0.69631931,0.92087220,0.89005886,0.88961138,0.86704211
