dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98889650,0.98999315,0.98948115,0.99057961,0.00000000,0.00000000,0.00000000,0.85941723,0.85759288,0.85844767,0.98605076
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88872815,0.98999315,0.85090095,0.99057961,0.80756757,0.15800000,0.25202976,0.87732099,0.85090095,0.82245597,0.87106121
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98044650,0.98090839,0.98126536,0.98183729,0.00000000,0.00000000,0.00000000,0.82169934,0.81772114,0.81957879,0.97525684
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75185403,0.98090839,0.81930447,0.98183729,0.31845238,0.00950000,0.01837116,0.71109234,0.81930447,0.71866084,0.73932553
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98090839,0.98352579,0.98129190,0.98376536,0.00000000,0.00000000,0.00000000,0.82348490,0.81774325,0.82050712,0.97587317
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87486757,0.98352579,0.90615992,0.98376536,0.94681777,0.53050000,0.67295709,0.87711023,0.90615992,0.87351894,0.85718096
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98429561,0.98537336,0.98458729,0.98568575,0.00000000,0.00000000,0.00000000,0.82189901,0.82048941,0.82111087,0.98004928
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.78057681,0.98537336,0.84032274,0.98568575,0.74336462,0.11900000,0.17220351,0.81069824,0.84032274,0.75711996,0.77356219
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99168591,0.99183988,0.99150768,0.99175768,0.00000000,0.00000000,0.00000000,0.89272522,0.89252723,0.89258375,0.98942744
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.76256622,0.99183988,0.82933973,0.99175768,0.77384615,0.01850000,0.03542561,0.77702782,0.82933973,0.72132282,0.75083550
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98319444,0.98319444,0.98237500,0.98237500,0.00000000,0.00000000,0.00000000,0.82125799,0.81864583,0.81985005,0.97883926
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86301864,0.98319444,0.83314509,0.98237500,0.43566262,0.08699552,0.13903450,0.80504472,0.83314509,0.79308386,0.84357807
