dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98700768,0.98700768,0.00000000,0.00000000,0.00000000,0.82641431,0.82250640,0.82440272,0.98279961
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87281495,0.98629198,0.83000640,0.98700768,0.50000000,0.04500000,0.08256881,0.82631085,0.83000640,0.79258238,0.85351800
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98697738,0.99108979,0.98714036,0.99138268,0.00000000,0.00000000,0.00000000,0.82656478,0.82261697,0.82455384,0.98361900
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88667872,0.99108979,0.84845030,0.99138268,0.83783784,0.15500000,0.26160338,0.87692814,0.84845030,0.82074390,0.86812522
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99246059,0.99246059,0.99312500,0.99312500,0.00000000,0.00000000,0.00000000,0.82776168,0.82760417,0.82765726,0.99050772
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87582881,0.99246059,0.83177083,0.99312500,0.83333333,0.02500000,0.04854369,0.86278880,0.83177083,0.77868664,0.85761102
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98971899,0.98937500,0.99062500,0.00000000,0.00000000,0.00000000,0.82602574,0.82447917,0.82512581,0.98541062
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90054250,0.98971899,0.86781250,0.99062500,0.86666667,0.26000000,0.40000000,0.89482689,0.86781250,0.85176651,0.88370416
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.99040439,0.99040439,0.99075768,0.99075768,0.00000000,0.00000000,0.00000000,0.99031961,0.99075768,0.99049874,0.98791684
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90777577,0.99040439,0.87646473,0.99075768,1.00000000,0.30500000,0.46743295,0.92575025,0.87646473,0.86850041,0.89234763
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98383372,0.98383372,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.82709862,0.82187500,0.82444027,0.97953411
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75573867,0.98383372,0.82437500,0.98625000,0.33333333,0.01500000,0.02870813,0.73346405,0.82437500,0.74043563,0.74187481
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97151655,0.97151655,0.97477304,0.97477304,0.00000000,0.00000000,0.00000000,0.81598292,0.81231087,0.81374655,0.96417293
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74455562,0.97151655,0.81356087,0.97477304,0.18750000,0.00750000,0.01442308,0.66038722,0.81356087,0.69782637,0.72835141
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98768283,0.98768283,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.82477683,0.82302723,0.82385860,0.98432700
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75809300,0.98768283,0.82511057,0.98763268,0.71428571,0.01250000,0.02457002,0.76468669,0.82511057,0.71677233,0.74529384
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97382602,0.97382602,0.97214036,0.97214036,0.00000000,0.00000000,0.00000000,0.81676607,0.81011697,0.81342011,0.96677257
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74455562,0.97382602,0.81011697,0.97214036,0.00000000,0.00000000,0.00000000,0.65901933,0.81011697,0.71299201,0.72918811
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.98768283,0.98553073,0.98839036,0.00000000,0.00000000,0.00000000,0.82387228,0.82127561,0.82242844,0.98147756
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75632725,0.98768283,0.82335894,0.98839036,0.35714286,0.01250000,0.02415459,0.73790439,0.82335894,0.72527787,0.75191947
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98229407,0.98614319,0.98250000,0.98562500,0.00000000,0.00000000,0.00000000,0.82856456,0.81875000,0.82361206,0.97761947
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87404356,0.98614319,0.90583333,0.98562500,0.92888889,0.52250000,0.66880000,0.89185524,0.90583333,0.88561370,0.85491210
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97151655,0.97459584,0.97526536,0.97776536,0.00000000,0.00000000,0.00000000,0.82076964,0.81272114,0.81644976,0.96426949
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.88758093,0.97459584,0.91522114,0.97776536,0.91791045,0.61500000,0.73652695,0.88127450,0.91522114,0.88787543,0.86872241
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98537336,0.98845266,0.98526536,0.98776536,0.00000000,0.00000000,0.00000000,0.82533393,0.82105447,0.82316755,0.98143673
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.85462036,0.98845266,0.89272114,0.98776536,0.95027624,0.43000000,0.59208262,0.86274771,0.89272114,0.84776633,0.83824051
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98537336,0.98691301,0.98289804,0.98477304,0.00000000,0.00000000,0.00000000,0.82319459,0.81908170,0.82110488,0.98136614
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.84755739,0.98691301,0.88574837,0.98477304,0.97560976,0.40000000,0.56737589,0.85492686,0.88574837,0.84397187,0.82818472
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97998460,0.98152425,0.98053073,0.98289804,0.00000000,0.00000000,0.00000000,0.81956177,0.81710894,0.81820136,0.97467403
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.91053561,0.98152425,0.93127561,0.98289804,0.96140351,0.68500000,0.80000000,0.89474682,0.93127561,0.90236739,0.89584504
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98691301,0.98999230,0.98812500,0.99062500,0.00000000,0.00000000,0.00000000,0.82521842,0.82343750,0.82430281,0.98335647
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75809300,0.98999230,0.82593750,0.99062500,0.54545455,0.01500000,0.02919708,0.78833285,0.82593750,0.73364218,0.76161665
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97690531,0.97690531,0.98026536,0.98026536,0.00000000,0.00000000,0.00000000,0.81811731,0.81688780,0.81728264,0.97079787
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.75220718,0.97690531,0.82063780,0.98026536,0.52941176,0.02250000,0.04316547,0.76443046,0.82063780,0.72557142,0.74449003
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98999230,0.98999230,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82575839,0.82458973,0.82515901,0.98724190
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.87168923,0.98999230,0.90583973,0.98950768,0.99489796,0.48750000,0.65436242,0.89601391,0.90583973,0.86905414,0.86084996
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98691301,0.98768283,0.98401536,0.98464036,0.00000000,0.00000000,0.00000000,0.82281830,0.82001280,0.82136448,0.98332148
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.76339023,0.98768283,0.82626280,0.98464036,0.88235294,0.03750000,0.07194245,0.80231808,0.82626280,0.72783124,0.75066665
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.98075443,0.98229407,0.98102304,0.98339036,0.00000000,0.00000000,0.00000000,0.81758265,0.81751920,0.81744539,0.97552868
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.75750441,0.98229407,0.82293587,0.98339036,0.76470588,0.03250000,0.06235012,0.80239592,0.82293587,0.72950082,0.75018767
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99692071,0.99692071,0.99687500,0.99687500,0.00000000,0.00000000,0.00000000,0.99751936,0.99687500,0.99718599,0.99607832
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.76868746,0.99692071,0.83531250,0.99687500,1.00000000,0.02750000,0.05352798,0.81592865,0.83531250,0.72835509,0.75679383
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.99153195,0.99153195,0.99312500,0.99312500,0.00000000,0.00000000,0.00000000,0.82972773,0.82760417,0.82863091,0.98925664
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.76986463,0.99153195,0.83593750,0.99312500,0.76923077,0.05000000,0.09389671,0.78339110,0.83593750,0.72753615,0.76182748
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.99153195,0.99153195,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.98800346,0.99125000,0.98957233,0.98922538
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.75868158,0.99153195,0.82645833,0.99125000,1.00000000,0.00250000,0.00498753,0.79919211,0.82645833,0.71271017,0.74319835
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.98845266,0.98845266,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.82220688,0.82313780,0.82257737,0.98533070
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.75750441,0.98845266,0.82438780,0.98776536,0.60000000,0.00750000,0.01481481,0.75788540,0.82438780,0.71810022,0.74909081
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.98999230,0.99076212,0.98852304,0.98977304,0.00000000,0.00000000,0.00000000,0.82616869,0.82376920,0.82495214,0.98724619
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.75809300,0.99076212,0.82460254,0.98977304,0.50000000,0.00500000,0.00990099,0.72874186,0.82460254,0.71991247,0.74326703
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.98263889,0.98263889,0.98125000,0.98125000,0.00000000,0.00000000,0.00000000,0.82129457,0.81770833,0.81948332,0.97807472
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.86590499,0.98263889,0.83639294,0.98125000,0.80645161,0.11210762,0.19685039,0.87666434,0.83639294,0.80753203,0.84688799
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.98402778,0.98402778,0.98375000,0.98375000,0.00000000,0.00000000,0.00000000,0.81873342,0.81979167,0.81914273,0.97986683
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.85267589,0.98402778,0.82053905,0.98375000,0.16666667,0.00448430,0.00873362,0.73493055,0.82053905,0.75707938,0.83215987
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.99236111,0.99236111,0.99000000,0.99000000,0.00000000,0.00000000,0.00000000,0.82811278,0.82500000,0.82652290,0.99034352
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.90018040,0.99236111,0.87582212,0.99000000,0.97142857,0.30493274,0.46416382,0.91679452,0.87582212,0.86449383,0.88464315
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.97638889,0.97638889,0.97687500,0.97687500,0.00000000,0.00000000,0.00000000,0.81628160,0.81406250,0.81491548,0.97038239
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.84666266,0.97638889,0.81555727,0.97687500,0.14285714,0.00896861,0.01687764,0.75308597,0.81555727,0.76773493,0.82560435
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.98055556,0.98055556,0.98000000,0.98000000,0.00000000,0.00000000,0.00000000,0.82186758,0.81666667,0.81918580,0.97552883
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.84966927,0.98055556,0.81741405,0.98000000,0.09090909,0.00448430,0.00854701,0.74374820,0.81741405,0.76857913,0.82859497
