dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92501714,0.98752570,0.92424022,0.98832961,0.00000000,0.00000000,0.00000000,0.83313373,0.77020019,0.80025354,0.91128566
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93309222,0.98752570,0.93553352,0.98832961,0.64658771,0.99200000,0.78242923,0.93983591,0.93553352,0.93016191,0.92223539
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.93410316,0.98029253,0.93486872,0.98007961,0.00000000,0.00000000,0.00000000,0.83100082,0.77905726,0.80396999,0.92057860
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92666274,0.98029253,0.92947393,0.98007961,0.81028113,0.90250000,0.85163409,0.93913785,0.92947393,0.93049088,0.91223427
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92594303,0.98752887,0.92893715,0.98727654,0.00000000,0.00000000,0.00000000,0.83025157,0.77411429,0.80086598,0.91135702
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.93101825,0.98752887,0.93203096,0.98727654,0.80332643,0.94750000,0.86925360,0.94512454,0.93203096,0.93586825,0.91707990
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93287144,0.98152425,0.93547835,0.98163268,0.00000000,0.00000000,0.00000000,0.83131348,0.77956529,0.80444246,0.91921713
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.82260153,0.98152425,0.85698196,0.98163268,0.61782965,0.46450000,0.51148328,0.84721723,0.85698196,0.82913834,0.80155513
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92963818,0.99030023,0.92972905,0.98975768,0.00000000,0.00000000,0.00000000,0.83193755,0.77477421,0.80210956,0.91566313
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93866981,0.99030023,0.93610754,0.98975768,0.81255027,0.96800000,0.88318164,0.95560813,0.93610754,0.94338661,0.92644563
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.89944444,0.97944444,0.90212500,0.97750000,0.00000000,0.00000000,0.00000000,0.83119660,0.75177083,0.78915133,0.88306482
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90535177,0.97944444,0.90902046,0.97750000,0.59618907,0.94349776,0.72851233,0.92466256,0.90902046,0.90760037,0.89036481
