dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86086361,0.98889650,0.86062011,0.98938268,0.00000000,0.00000000,0.00000000,0.83333333,0.71718343,0.77040291,0.84310165
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87763713,0.98889650,0.88385009,0.98938268,0.49747221,1.00000000,0.66405996,0.91624537,0.88385009,0.88107957,0.86262423
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86127791,0.98229407,0.86431774,0.98246997,0.00000000,0.00000000,0.00000000,0.83226524,0.72026478,0.77171170,0.84213209
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88181283,0.98229407,0.87834811,0.98246997,0.68004809,0.94850000,0.79158203,0.92693978,0.87834811,0.89399271,0.86091442
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87036182,0.98367975,0.87188198,0.98433729,0.00000000,0.00000000,0.00000000,0.83201390,0.72656832,0.77530007,0.85132901
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89593879,0.98367975,0.88973499,0.98433729,0.70122865,0.97900000,0.81662945,0.94176380,0.88973499,0.90760229,0.87811531
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87605851,0.98414165,0.87753352,0.98431844,0.00000000,0.00000000,0.00000000,0.83138669,0.73127793,0.77765776,0.85713218
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88393172,0.98414165,0.88286127,0.98431844,0.69508838,0.90950000,0.78690511,0.91912460,0.88286127,0.89319370,0.86215296
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.85927637,0.99199384,0.86115154,0.99193575,0.00000000,0.00000000,0.00000000,0.83245574,0.71762628,0.77016504,0.83996848
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89052384,0.99199384,0.88295961,0.99193575,0.68603435,0.99200000,0.81093660,0.94347827,0.88295961,0.90369976,0.87259405
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86972222,0.98611111,0.87475000,0.98525000,0.00000000,0.00000000,0.00000000,0.83223363,0.72895833,0.77684151,0.85175754
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88707156,0.98611111,0.89547552,0.98525000,0.54479928,0.99910314,0.70492544,0.92280675,0.89547552,0.89422548,0.87218826
