dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.85743660,0.98629198,0.85916899,0.98651536,0.00000000,0.00000000,0.00000000,0.83333333,0.71597416,0.76959025,0.83967395
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87462327,0.98629198,0.88264083,0.98651536,0.49019608,1.00000000,0.65789474,0.91503268,0.88264083,0.87923937,0.85952371
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.88142563,0.98697738,0.87710545,0.98714036,0.00000000,0.00000000,0.00000000,0.83333333,0.73092121,0.77836081,0.86402216
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.89572031,0.98697738,0.89758787,0.98714036,0.53619303,1.00000000,0.69808028,0.92269884,0.89758787,0.89470752,0.88155535
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.85606580,0.99108979,0.85841131,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.71534276,0.76920761,0.83830581
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87341772,0.99108979,0.88200943,0.99138268,0.48780488,1.00000000,0.65573770,0.91463415,0.88200943,0.87849723,0.85827716
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.86840302,0.98903358,0.87015363,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.72512803,0.77516006,0.85073831
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.88426763,0.98903358,0.89179469,0.99000000,0.51020408,1.00000000,0.67567568,0.91836735,0.89179469,0.88777267,0.86954531
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.84098698,0.99108979,0.83826117,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.69855098,0.75969584,0.82276801
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.86015672,0.99108979,0.86521764,0.99187500,0.46296296,1.00000000,0.63291139,0.91049383,0.86521764,0.86518107,0.84421963
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.83294842,0.98306390,0.83862081,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.69885068,0.75991097,0.81373001
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.87168923,0.98306390,0.86510068,0.98276536,0.64772727,0.99750000,0.78543307,0.94013845,0.86510068,0.89029879,0.85225309
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87836798,0.97690531,0.88246508,0.97914804,0.00000000,0.00000000,0.00000000,0.83224401,0.73538757,0.78044279,0.85973513
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89817540,0.97690531,0.89580424,0.97914804,0.71033210,0.96250000,0.81740977,0.93584900,0.89580424,0.90927496,0.87974027
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.87220939,0.98768283,0.87812849,0.98714036,0.00000000,0.00000000,0.00000000,0.83020833,0.73177374,0.77694210,0.85321438
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.88110653,0.98768283,0.88344041,0.98714036,0.69070209,0.91000000,0.78532902,0.91528708,0.88344041,0.89129235,0.85857837
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.86451116,0.98229407,0.86371508,0.98151536,0.00000000,0.00000000,0.00000000,0.83333333,0.71976257,0.77231181,0.84516434
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.88993526,0.98229407,0.88184590,0.98151536,0.68849558,0.97250000,0.80621762,0.93594132,0.88184590,0.90117945,0.87076354
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85835258,0.98152425,0.85865922,0.98178073,0.00000000,0.00000000,0.00000000,0.83220721,0.71554935,0.76895084,0.83881661
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86815774,0.98152425,0.86554935,0.98178073,0.66298343,0.90000000,0.76352068,0.90748305,0.86554935,0.87791798,0.84323685
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.84988453,0.98922248,0.85059008,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.70882507,0.76597507,0.83032957
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88522660,0.98922248,0.87549174,0.98937500,0.67226891,1.00000000,0.80402010,0.94537815,0.87549174,0.89997842,0.86711681
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.87605851,0.97382602,0.87960545,0.97776536,0.00000000,0.00000000,0.00000000,0.83116883,0.73300454,0.77852213,0.85717166
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.90523838,0.97382602,0.89967121,0.97776536,0.71556351,1.00000000,0.83420229,0.95042942,0.89967121,0.91755585,0.88933105
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.87605851,0.98537336,0.88023045,0.98526536,0.00000000,0.00000000,0.00000000,0.83225108,0.73352537,0.77925000,0.85735683
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.90523838,0.98537336,0.90019204,0.98526536,0.71428571,1.00000000,0.83333333,0.95129870,0.90019204,0.91813888,0.88941957
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.86682063,0.98614319,0.86795740,0.98589036,0.00000000,0.00000000,0.00000000,0.83217593,0.72329784,0.77371191,0.84757618
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.89817540,0.98614319,0.88996450,0.98589036,0.69930070,1.00000000,0.82304527,0.94872604,0.88996450,0.91088612,0.88144847
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.88298691,0.98383372,0.88102654,0.98339036,0.00000000,0.00000000,0.00000000,0.83114035,0.73418878,0.77904125,0.86421081
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.88581519,0.98383372,0.88335545,0.98339036,0.70472441,0.89500000,0.78854626,0.91298671,0.88335545,0.89145216,0.86326065
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.87528868,0.98537336,0.87102654,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.72585545,0.77543400,0.85625551
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.89876398,0.98537336,0.88835545,0.98526536,0.70652174,0.97500000,0.81932773,0.94026445,0.88835545,0.90696013,0.88078288
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.87451886,0.97613549,0.87638617,0.97789804,0.00000000,0.00000000,0.00000000,0.82802548,0.73032181,0.77529276,0.85515517
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.88993526,0.97613549,0.88698848,0.97789804,0.70411985,0.94000000,0.80513919,0.92398314,0.88698848,0.89823347,0.86937990
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.88375674,0.98614319,0.88786313,0.98589036,0.00000000,0.00000000,0.00000000,0.83227176,0.73988594,0.78274733,0.86543663
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.86344909,0.98614319,0.87280261,0.98589036,0.68017058,0.79750000,0.73417722,0.88927213,0.87280261,0.87172561,0.83617223
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.86451116,0.99153195,0.86930168,0.99089036,0.00000000,0.00000000,0.00000000,0.83219178,0.72441806,0.77442703,0.84534449
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.89464391,0.99153195,0.88983473,0.99089036,0.69405594,0.99250000,0.81687243,0.94453505,0.88983473,0.90903892,0.87716899
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.88221709,0.98152425,0.88309008,0.98164804,0.00000000,0.00000000,0.00000000,0.83111111,0.73590840,0.78038768,0.86346912
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.87286639,0.98152425,0.87632507,0.98164804,0.69057377,0.84250000,0.75900901,0.89756824,0.87632507,0.88001035,0.84726080
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.85373364,0.99692071,0.85165154,0.99687500,0.00000000,0.00000000,0.00000000,0.83333333,0.70970961,0.76636115,0.83403890
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.88816951,0.99692071,0.87637628,0.99687500,0.67796610,1.00000000,0.80808081,0.94632768,0.87637628,0.90104128,0.87027699
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.84757506,0.98999230,0.85191690,0.99075768,0.00000000,0.00000000,0.00000000,0.83223684,0.70993075,0.76534433,0.82820361
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.88346086,0.98999230,0.87659742,0.99075768,0.67001675,1.00000000,0.80240722,0.94390630,0.87659742,0.89907887,0.86529679
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.86605081,0.99076212,0.87040154,0.99026536,0.00000000,0.00000000,0.00000000,0.83226496,0.72533461,0.77431766,0.84696647
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.89405533,0.99076212,0.88950128,0.99026536,0.69488536,0.98500000,0.81489142,0.94194591,0.88950128,0.90708628,0.87617307
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.85142417,0.98614319,0.85437849,0.98602304,0.00000000,0.00000000,0.00000000,0.83219955,0.71198208,0.76706060,0.83188843
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.88522660,0.98614319,0.87781541,0.98602304,0.67457627,0.99500000,0.80404040,0.94240701,0.87781541,0.90004129,0.86682557
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.87759815,0.99615089,0.87740922,0.99575768,0.00000000,0.00000000,0.00000000,0.83224401,0.73117435,0.77774147,0.85874499
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.90170689,0.99615089,0.89450768,0.99575768,0.71272727,0.98000000,0.82526316,0.94280444,0.89450768,0.91125108,0.88439781
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.86041667,0.98611111,0.86562500,0.98500000,0.00000000,0.00000000,0.00000000,0.83219955,0.72135417,0.77257146,0.84213241
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.87913410,0.98611111,0.88802083,0.98500000,0.52718676,1.00000000,0.69040248,0.92006401,0.88802083,0.88763854,0.86376662
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.87013889,0.98611111,0.87937500,0.98562500,0.00000000,0.00000000,0.00000000,0.83225806,0.73281250,0.77880432,0.85234066
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.88755262,0.98611111,0.89947917,0.98562500,0.54523227,1.00000000,0.70569620,0.92313011,0.89947917,0.89642036,0.87283746
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.88611111,0.99444444,0.88875000,0.99250000,0.00000000,0.00000000,0.00000000,0.83333333,0.74062500,0.78412251,0.86878835
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.90078172,0.99444444,0.90654428,0.99250000,0.57512953,0.99551570,0.72906404,0.92805447,0.90654428,0.90511514,0.88669580
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.87083333,0.97986111,0.87687500,0.98125000,0.00000000,0.00000000,0.00000000,0.83004386,0.73072917,0.77687889,0.85263690
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.88815394,0.97986111,0.89739583,0.98125000,0.54926108,1.00000000,0.70906200,0.92158737,0.89739583,0.89505589,0.87320087
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.86111111,0.98402778,0.86312500,0.98187500,0.00000000,0.00000000,0.00000000,0.83333333,0.71927083,0.77183038,0.84288941
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.87973542,0.98402778,0.88593750,0.98187500,0.52718676,1.00000000,0.69040248,0.92119779,0.88593750,0.88689746,0.86444059
