dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86429061,0.99013023,0.86394204,0.99060615,0.00000000,0.00000000,0.00000000,0.83333333,0.71995170,0.77208332,0.84659483
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88065099,0.99013023,0.88661837,0.99060615,0.50453068,1.00000000,0.67009122,0.91742178,0.88661837,0.88376519,0.86577156
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86404927,0.98029253,0.86664735,0.98079190,0.00000000,0.00000000,0.00000000,0.83247156,0.72220612,0.77278902,0.84497016
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88793408,0.98029253,0.88312279,0.98079190,0.68770771,0.96550000,0.80299629,0.93342869,0.88312279,0.89988114,0.86844061
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86943803,0.98306390,0.86956006,0.98354190,0.00000000,0.00000000,0.00000000,0.83013580,0.72463338,0.77296892,0.85051210
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89252501,0.98306390,0.88588338,0.98354190,0.70148502,0.96750000,0.81176208,0.93684745,0.88588338,0.90271240,0.87400455
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87267129,0.98491147,0.87064735,0.98508729,0.00000000,0.00000000,0.00000000,0.83156372,0.72553946,0.77447138,0.85345019
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87675103,0.98491147,0.87387279,0.98508729,0.68197732,0.89000000,0.77030678,0.91399379,0.87387279,0.88541893,0.85384677
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86189376,0.99183988,0.86239385,0.99200768,0.00000000,0.00000000,0.00000000,0.83247579,0.71866155,0.77063300,0.84265058
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89158328,0.99183988,0.88332821,0.99200768,0.68934875,0.98800000,0.81187258,0.94234386,0.88332821,0.90352276,0.87355708
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86000000,0.98319444,0.86600000,0.98250000,0.00000000,0.00000000,0.00000000,0.83093641,0.72166667,0.77192804,0.84180359
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87769092,0.98319444,0.88698804,0.98250000,0.52719973,0.99192825,0.68816368,0.91698871,0.88698804,0.88573534,0.86198467
