dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91363948,0.98697738,0.91632682,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76360568,0.79663244,0.89880061
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92344786,0.98697738,0.92943901,0.98763268,0.61230769,0.99500000,0.75809524,0.93483274,0.92943901,0.92272189,0.91167972
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90335846,0.99040439,0.90202863,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75169053,0.79026938,0.88739170
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91500904,0.99040439,0.91835719,0.99075768,0.58651026,1.00000000,0.73937153,0.93108504,0.91835719,0.91349797,0.90239981
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92323509,0.99040439,0.92163059,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.76802549,0.79907955,0.90925663
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93248945,0.99040439,0.93469216,0.99075768,0.64102564,1.00000000,0.78125000,0.94017094,0.93469216,0.92928789,0.92172573
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.91706648,0.98903358,0.91846718,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.76538932,0.79775813,0.90245316
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92706450,0.98903358,0.93205598,0.98950768,0.62305296,1.00000000,0.76775432,0.93717549,0.93205598,0.92571719,0.91571558
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90610007,0.99040439,0.90551327,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75459439,0.79189668,0.89037609
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91681736,0.99040439,0.92042772,0.99075768,0.59226190,0.99500000,0.74253731,0.93149541,0.92042772,0.91539309,0.90424873
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91147036,0.98152425,0.91170740,0.98250000,0.00000000,0.00000000,0.00000000,0.83121019,0.75975617,0.79343649,0.89509052
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92466157,0.98152425,0.92100617,0.98250000,0.77400000,0.96750000,0.86000000,0.94762745,0.92100617,0.93034915,0.91009553
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92070824,0.97151655,0.92130936,0.97477304,0.00000000,0.00000000,0.00000000,0.82916667,0.76775780,0.79673208,0.90527865
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93761036,0.97151655,0.93317446,0.97477304,0.80040323,0.99250000,0.88616071,0.95957641,0.93317446,0.94291624,0.92578224
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91685912,0.98768283,0.91930168,0.98763268,0.00000000,0.00000000,0.00000000,0.83227848,0.76608473,0.79747955,0.90120753
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92995880,0.98768283,0.92816806,0.98763268,0.78427419,0.97250000,0.86830357,0.95221138,0.92816806,0.93669446,0.91642272
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.90454196,0.97228637,0.90541899,0.97151536,0.00000000,0.00000000,0.00000000,0.83222958,0.75451583,0.79131002,0.88757983
