dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98766278,0.98766278,0.98825768,0.98825768,0.00000000,0.00000000,0.00000000,0.82643645,0.82354807,0.82493922,0.98450688
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88366486,0.98766278,0.84438140,0.98825768,0.78125000,0.12500000,0.21551724,0.87250330,0.84438140,0.81649757,0.86466131
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82822553,0.82447917,0.82630865,0.98537159
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.89029536,0.98834818,0.85364583,0.98937500,0.81395349,0.17500000,0.28806584,0.87603632,0.85364583,0.82727935,0.87232347
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82734591,0.82656250,0.82692256,0.98878859
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.89029536,0.99108979,0.85239583,0.99187500,0.91176471,0.15500000,0.26495726,0.90093201,0.85239583,0.82931072,0.87293779
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98903358,0.99040439,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82688951,0.82500000,0.82584327,0.98626192
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91500904,0.99040439,0.88750000,0.99125000,0.90361446,0.37500000,0.53003534,0.91727896,0.88750000,0.88269523,0.90001753
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.98971899,0.99062500,0.99062500,0.00000000,0.00000000,0.00000000,0.82800926,0.82552083,0.82669862,0.98710524
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90717300,0.98971899,0.87635417,0.99062500,0.89705882,0.30500000,0.45522388,0.90744340,0.87635417,0.86552982,0.89138826
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98383372,0.98375000,0.98500000,0.00000000,0.00000000,0.00000000,0.82508412,0.81979167,0.82236540,0.97847528
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75515009,0.98383372,0.82229167,0.98500000,0.50000000,0.01500000,0.02912621,0.74190003,0.82229167,0.72691147,0.74115735
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97844496,0.97921478,0.98138268,0.98200768,0.00000000,0.00000000,0.00000000,0.82305599,0.81781890,0.82018898,0.97286432
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74926427,0.97921478,0.81865223,0.98200768,0.13333333,0.00500000,0.00963855,0.66633298,0.81865223,0.70769508,0.73649395
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98383372,0.98999230,0.98388268,0.98888268,0.00000000,0.00000000,0.00000000,0.82730110,0.81990223,0.82354550,0.97950032
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75220718,0.98999230,0.81990223,0.98888268,0.00000000,0.00000000,0.00000000,0.66032855,0.81990223,0.71302577,0.74524935
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98537336,0.98537336,0.98263268,0.98263268,0.00000000,0.00000000,0.00000000,0.82097528,0.81886057,0.81988054,0.98135228
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75632725,0.98537336,0.82094390,0.98263268,0.83333333,0.01250000,0.02463054,0.77362666,0.82094390,0.71080361,0.74182705
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.98999230,0.98602304,0.99075768,0.00000000,0.00000000,0.00000000,0.82824534,0.82168587,0.82492247,0.98149608
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75573867,0.98999230,0.82335254,0.99075768,0.23529412,0.01000000,0.01918465,0.71030208,0.82335254,0.72281983,0.74641551
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98537336,0.98691301,0.98500000,0.98687500,0.00000000,0.00000000,0.00000000,0.82818747,0.82083333,0.82446247,0.98145298
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88228370,0.98691301,0.91208333,0.98687500,0.95217391,0.54750000,0.69523810,0.89121779,0.91208333,0.88939007,0.86407190
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.98306390,0.98460354,0.98562500,0.98687500,0.00000000,0.00000000,0.00000000,0.82387150,0.82135417,0.82240040,0.97867383
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.75809300,0.98460354,0.82593750,0.98687500,0.47826087,0.02750000,0.05200946,0.76572577,0.82593750,0.74392809,0.74698214
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98768283,0.98845266,0.98750000,0.98812500,0.00000000,0.00000000,0.00000000,0.82693310,0.82291667,0.82487386,0.98435973
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.75691583,0.98845266,0.82416667,0.98812500,0.30000000,0.00750000,0.01463415,0.69625408,0.82416667,0.71579493,0.74304787
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98460354,0.98537336,0.98388268,0.98450768,0.00000000,0.00000000,0.00000000,0.82310778,0.81990223,0.82147793,0.98040678
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.77221895,0.98537336,0.83365223,0.98450768,0.86842105,0.08250000,0.15068493,0.82387448,0.83365223,0.76051805,0.75712826
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98768283,0.99153195,0.98825768,0.99138268,0.00000000,0.00000000,0.00000000,0.82816156,0.82354807,0.82582716,0.98438529
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.75632725,0.99153195,0.82438140,0.99138268,0.16666667,0.00500000,0.00970874,0.65798373,0.82438140,0.70723113,0.74025400
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98768283,0.98768283,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.82668736,0.82395833,0.82529007,0.98434161
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.78693349,0.98768283,0.84645833,0.98875000,0.91525424,0.13500000,0.23529412,0.81512287,0.84645833,0.75408813,0.77691459
