dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.88416724,0.98766278,0.87960545,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.73300454,0.77956517,0.86687640
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89813140,0.98766278,0.89967121,0.98825768,0.54200542,1.00000000,0.70298770,0.92366757,0.89967121,0.89672978,0.88411805
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85675120,0.98766278,0.85805168,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.71504306,0.76949280,0.83875302
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87402049,0.98766278,0.88170973,0.98875000,0.48899756,1.00000000,0.65681445,0.91483293,0.88170973,0.87896187,0.85871613
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.85400960,0.99108979,0.85407472,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.71172893,0.76737353,0.83600971
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87160940,0.99108979,0.87839560,0.99187500,0.48426150,1.00000000,0.65252855,0.91404358,0.87839560,0.87612829,0.85623154
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88279644,0.99040439,0.88475559,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.73729632,0.78217153,0.86565162
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89692586,0.99040439,0.90396299,0.99125000,0.53908356,1.00000000,0.70052539,0.92318059,0.90396299,0.89892576,0.88296383
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.88553804,0.98971899,0.88134777,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.73445647,0.78057973,0.86824580
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89813140,0.98971899,0.89945647,0.99062500,0.54246575,0.99000000,0.70088496,0.92206780,0.89945647,0.89667399,0.88373197
