dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98601782,0.98889650,0.98587151,0.98967807,0.00000000,0.00000000,0.00000000,0.82924337,0.82155959,0.82533587,0.98251265
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92248342,0.98889650,0.89805959,0.98967807,0.85795549,0.45900000,0.59337478,0.92116888,0.89805959,0.89734385,0.90828038
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97844496,0.98460354,0.97851536,0.98507961,0.00000000,0.00000000,0.00000000,0.82805019,0.81542947,0.82161635,0.97284479
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.81035903,0.98460354,0.85951280,0.98507961,0.76944302,0.26450000,0.36384222,0.83210296,0.85951280,0.80767513,0.79445278
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97906082,0.98737490,0.97906075,0.98767807,0.00000000,0.00000000,0.00000000,0.82837037,0.81588396,0.82203424,0.97364809
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92513243,0.98737490,0.94088396,0.98767807,0.93366780,0.75000000,0.82971678,0.92575390,0.94088396,0.92909672,0.91108830
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97952271,0.98414165,0.97929190,0.98498115,0.00000000,0.00000000,0.00000000,0.82624286,0.81607658,0.82105303,0.97415483
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83037081,0.98414165,0.87374325,0.98498115,0.88256567,0.34600000,0.48562284,0.87145900,0.87374325,0.82903261,0.82031013
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98906851,0.99137798,0.98836383,0.99148115,0.00000000,0.00000000,0.00000000,0.83097451,0.82363652,0.82727147,0.98615818
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.87981165,0.99137798,0.91113652,0.99148115,0.94881010,0.52500000,0.66964721,0.89282263,0.91113652,0.87804927,0.86709855
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98027778,0.98444444,0.97912500,0.98400000,0.00000000,0.00000000,0.00000000,0.82726443,0.81593750,0.82149454,0.97530262
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92615755,0.98444444,0.91205110,0.98400000,0.82511683,0.57668161,0.65725275,0.92450367,0.91205110,0.90896769,0.91327468
