dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87018506,0.98327622,0.86971089,0.98268226,0.00000000,0.00000000,0.00000000,0.83231127,0.72475908,0.77453718,0.85231587
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88450874,0.98327622,0.88959241,0.98268226,0.51405997,0.98900000,0.67617598,0.91653374,0.88959241,0.88658587,0.86921010
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86620477,0.97259430,0.86909008,0.97083380,0.00000000,0.00000000,0.00000000,0.82601977,0.72424174,0.77122801,0.84629281
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.85214832,0.97259430,0.85865840,0.97083380,0.65030952,0.80650000,0.71592103,0.89070147,0.85865840,0.86378736,0.82508256
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86666667,0.97120862,0.86888547,0.96961034,0.00000000,0.00000000,0.00000000,0.82282107,0.72407123,0.76966948,0.84642416
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.84626251,0.97120862,0.85407123,0.96961034,0.65140046,0.78000000,0.70523617,0.88045213,0.85407123,0.85662216,0.81743298
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.86666667,0.96874519,0.86790852,0.96743994,0.00000000,0.00000000,0.00000000,0.82144846,0.72325710,0.76839305,0.84614830
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.81883461,0.96874519,0.83384043,0.96743994,0.61565237,0.66350000,0.63627977,0.85438181,0.83384043,0.83010583,0.78480556
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86943803,0.97567360,0.86933659,0.97267109,0.00000000,0.00000000,0.00000000,0.82632712,0.72444716,0.77152970,0.84956433
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.87369041,0.97567360,0.87236383,0.97267109,0.68599120,0.88750000,0.77214402,0.90721948,0.87236383,0.88180279,0.84964189
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85833333,0.96611111,0.86012500,0.96250000,0.00000000,0.00000000,0.00000000,0.81983366,0.71677083,0.76433605,0.83851479
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84485869,0.96611111,0.84307876,0.96250000,0.46431896,0.75784753,0.57353792,0.86109703,0.84307876,0.83992469,0.81927270
