dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.86703221,0.98080877,0.86742668,0.97954609,0.00000000,0.00000000,0.00000000,0.83275862,0.72285556,0.77372218,0.84907152
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88306209,0.98080877,0.88952223,0.97954609,0.50890585,1.00000000,0.67453626,0.91757626,0.88952223,0.88614489,0.86809451
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.86634681,0.98286498,0.86335545,0.98339036,0.00000000,0.00000000,0.00000000,0.83161898,0.71946287,0.77091502,0.84807400
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88004822,0.98286498,0.88279621,0.98339036,0.50515464,0.98000000,0.66666667,0.91354767,0.88279621,0.88099554,0.86399231
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.86291981,0.98560658,0.86367668,0.98539804,0.00000000,0.00000000,0.00000000,0.83108681,0.71973056,0.77105186,0.84467214
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87763713,0.98560658,0.88389723,0.98539804,0.50000000,0.98500000,0.66329966,0.91171979,0.88389723,0.88042908,0.86171291
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.89376285,0.98080877,0.89377095,0.97905377,0.00000000,0.00000000,0.00000000,0.83275862,0.74480912,0.78630793,0.87696289
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90596745,0.98080877,0.91064246,0.97905377,0.56373938,0.99500000,0.71971067,0.92614442,0.91064246,0.90600124,0.89232962
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86086361,0.98629198,0.86032472,0.98602304,0.00000000,0.00000000,0.00000000,0.83333333,0.71693727,0.77068893,0.84279881
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87582881,0.98629198,0.88110393,0.98602304,0.49250000,0.98500000,0.65666667,0.91368056,0.88110393,0.87935858,0.85992117
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85835258,0.97151655,0.86367668,0.97017109,0.00000000,0.00000000,0.00000000,0.82125993,0.71973056,0.76660667,0.83753869
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.87110065,0.97151655,0.87181390,0.97017109,0.67970205,0.91250000,0.77908218,0.90529745,0.87181390,0.88105651,0.84672767
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.88375674,0.96920708,0.88348813,0.96928073,0.00000000,0.00000000,0.00000000,0.83222222,0.73624011,0.78098635,0.86517067
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89876398,0.96920708,0.89415677,0.96928073,0.71644612,0.94750000,0.81593111,0.93129853,0.89415677,0.90681017,0.87969189
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.85604311,0.97767513,0.86125349,0.97803073,0.00000000,0.00000000,0.00000000,0.82696391,0.71771124,0.76759670,0.83608491
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.82283696,0.97767513,0.83687791,0.97803073,0.61241970,0.71500000,0.65974625,0.86053732,0.83687791,0.83538411,0.78822851
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.86528099,0.97305620,0.86594972,0.96691341,0.00000000,0.00000000,0.00000000,0.82986111,0.72162477,0.77169363,0.84572373
