dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98903358,0.98901536,0.98901536,0.00000000,0.00000000,0.00000000,0.98722887,0.98901536,0.98806418,0.98619255
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87221218,0.98903358,0.82751280,0.98901536,1.00000000,0.02000000,0.03921569,0.88782846,0.82751280,0.77491744,0.85301270
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98766278,0.98766278,0.98727304,0.98727304,0.00000000,0.00000000,0.00000000,0.98679678,0.98727304,0.98701452,0.98444606
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87341772,0.98766278,0.82939420,0.98727304,1.00000000,0.04000000,0.07692308,0.89818033,0.82939420,0.78688437,0.85402639
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98834818,0.98834818,0.98888268,0.98888268,0.00000000,0.00000000,0.00000000,0.82411755,0.82406890,0.82404679,0.98533782
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87462327,0.98834818,0.83156890,0.98888268,0.75000000,0.04500000,0.08490566,0.85358505,0.83156890,0.78704486,0.85524278
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98697738,0.98697738,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.82279820,0.82302723,0.82285718,0.98361206
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.88366486,0.98697738,0.84469390,0.98763268,0.96296296,0.13000000,0.22907489,0.89453759,0.84469390,0.81395187,0.86505491
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98766278,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.98685675,0.98776536,0.98727575,0.98445437
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87462327,0.98766278,0.83147114,0.98776536,1.00000000,0.05000000,0.09523810,0.89760788,0.83147114,0.78964778,0.85546295
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97690531,0.97690531,0.97740573,0.97740573,0.00000000,0.00000000,0.00000000,0.81176345,0.81450477,0.81304375,0.97060073
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74926427,0.97690531,0.81617144,0.97740573,0.80000000,0.01000000,0.01975309,0.78891597,0.81617144,0.71093100,0.74172246
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97151655,0.97151655,0.97464036,0.97464036,0.00000000,0.00000000,0.00000000,0.81368564,0.81220030,0.81252948,0.96414343
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.75161860,0.97151655,0.81845030,0.97464036,0.53571429,0.03750000,0.07009346,0.73227175,0.81845030,0.72101956,0.73234395
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98460354,0.98460354,0.98464036,0.98464036,0.00000000,0.00000000,0.00000000,0.97931885,0.98464036,0.98181649,0.98042481
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75279576,0.98460354,0.82053364,0.98464036,0.00000000,0.00000000,0.00000000,0.63552531,0.82053364,0.69831682,0.74373653
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97382602,0.97459584,0.97352304,0.97477304,0.00000000,0.00000000,0.00000000,0.80976325,0.81126920,0.81040684,0.96672439
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74632137,0.97459584,0.81251920,0.97477304,0.50000000,0.00750000,0.01477833,0.70496828,0.81251920,0.69188933,0.73207459
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97844496,0.97844496,0.97780377,0.97780377,0.00000000,0.00000000,0.00000000,0.81278007,0.81483648,0.81360328,0.97263137
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75927016,0.97844496,0.82275314,0.97780377,0.82608696,0.04750000,0.08983452,0.78430097,0.82275314,0.72855090,0.74340302
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97690531,0.97690531,0.97678073,0.97678073,0.00000000,0.00000000,0.00000000,0.81111546,0.81398394,0.81231227,0.97065930
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.79399647,0.97690531,0.84731727,0.97678073,0.97560976,0.20000000,0.33195021,0.81600891,0.84731727,0.77101331,0.77645991
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97228637,0.97305620,0.97477304,0.97539804,0.00000000,0.00000000,0.00000000,0.81268199,0.81231087,0.81226088,0.96494873
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.74867569,0.97305620,0.81606087,0.97539804,0.45000000,0.02250000,0.04285714,0.69012608,0.81606087,0.70457161,0.72643658
