dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98533242,0.98793694,0.98524651,0.98811383,0.00000000,0.00000000,0.00000000,0.82891778,0.82103876,0.82493089,0.98163437
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93465943,0.98793694,0.91520542,0.98811383,0.88819804,0.56500000,0.68924681,0.93186919,0.91520542,0.91654265,0.92206627
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97213241,0.97721324,0.97149302,0.97785265,0.00000000,0.00000000,0.00000000,0.82344298,0.80957751,0.81636799,0.96498407
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.86003531,0.97721324,0.89224418,0.97785265,0.88526845,0.49600000,0.62594939,0.86433636,0.89224418,0.85705513,0.84157352
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97336413,0.97859892,0.97214455,0.97845880,0.00000000,0.00000000,0.00000000,0.82195523,0.81012046,0.81588778,0.96646215
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.90005886,0.97859892,0.92045379,0.97845880,0.92175167,0.66200000,0.76582289,0.89685560,0.92045379,0.89809087,0.88360861
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97536567,0.98075443,0.97453841,0.98137919,0.00000000,0.00000000,0.00000000,0.82106184,0.81211534,0.81644192,0.96889564
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.85097116,0.98075443,0.88661534,0.98137919,0.89043357,0.44700000,0.57934917,0.85815656,0.88661534,0.84526783,0.83286252
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98244804,0.98552733,0.98128841,0.98537919,0.00000000,0.00000000,0.00000000,0.82211803,0.81774034,0.81981605,0.97777722
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89699823,0.98552733,0.92099034,0.98537919,0.94895519,0.61950000,0.72067261,0.90546557,0.92099034,0.89175358,0.88640822
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97597222,0.97875000,0.97487500,0.97825000,0.00000000,0.00000000,0.00000000,0.81873463,0.81239583,0.81541816,0.96985633
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92074564,0.97875000,0.90641676,0.97825000,0.85721435,0.56412556,0.64930450,0.90830096,0.90641676,0.89115377,0.90797692
