dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96997944,0.98793694,0.97164036,0.98900000,0.00000000,0.00000000,0.00000000,0.82996505,0.80970030,0.81957692,0.96308219
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96467752,0.98793694,0.96403364,0.98900000,0.82454017,0.92600000,0.87173576,0.95855556,0.96403364,0.96045170,0.95753402
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96320246,0.98183218,0.96468994,0.98257961,0.00000000,0.00000000,0.00000000,0.82832845,0.80390829,0.81584101,0.95435685
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88993526,0.98183218,0.91257495,0.98257961,0.84888138,0.65200000,0.71985910,0.89545011,0.91257495,0.88990409,0.87412529
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95935335,0.98645112,0.96213687,0.98613268,0.00000000,0.00000000,0.00000000,0.82669991,0.80178073,0.81379698,0.94977059
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91453796,0.98645112,0.92994739,0.98613268,0.87129542,0.76900000,0.81516083,0.91766422,0.92994739,0.91997897,0.89761219
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97274827,0.98306390,0.97454190,0.98363268,0.00000000,0.00000000,0.00000000,0.82703212,0.81211825,0.81936805,0.96592853
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.77210124,0.98306390,0.83220158,0.98363268,0.53061936,0.12050000,0.18857598,0.80377669,0.83220158,0.76584768,0.76721979
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96905312,0.99030023,0.97113687,0.99025768,0.00000000,0.00000000,0.00000000,0.82768177,0.80928073,0.81815713,0.96168033
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90347263,0.99030023,0.92436406,0.99025768,0.88805731,0.69050000,0.76873224,0.90088031,0.92436406,0.90127743,0.88815315
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.94722222,0.98083333,0.94875000,0.97925000,0.00000000,0.00000000,0.00000000,0.82606930,0.79062500,0.80772784,0.93593356
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91088394,0.98083333,0.90333053,0.97925000,0.60581441,0.67623318,0.63121837,0.89293335,0.90333053,0.89377944,0.89448929
