dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.95750514,0.98286498,0.95583450,0.98240573,0.00000000,0.00000000,0.00000000,0.83279221,0.79652875,0.81422638,0.94823632
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96202532,0.98286498,0.96236208,0.98240573,0.76538462,0.99500000,0.86521739,0.95981869,0.96236208,0.95817022,0.95499851
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95065113,0.98903358,0.94613827,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.78844856,0.81010081,0.94027356
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95177818,0.98903358,0.94844856,0.98950768,0.72727273,0.96000000,0.82758621,0.95024438,0.94844856,0.94597669,0.94272320
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.95270733,0.98560658,0.94949022,0.98490573,0.00000000,0.00000000,0.00000000,0.83333333,0.79124185,0.81166403,0.94265976
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95599759,0.98560658,0.95457519,0.98490573,0.73962264,0.98000000,0.84301075,0.95350283,0.95457519,0.95072223,0.94786566
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.95544894,0.98560658,0.95592877,0.98589036,0.00000000,0.00000000,0.00000000,0.83333333,0.79660731,0.81451966,0.94592666
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96021700,0.98560658,0.96244064,0.98589036,0.75378788,0.99500000,0.85775862,0.95840723,0.96244064,0.95721976,0.95297285
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.95339273,0.98834818,0.95060754,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.79217295,0.81217923,0.94345751
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95840868,0.98834818,0.95800628,0.98839036,0.74531835,0.99500000,0.85224839,0.95701017,0.95800628,0.95396075,0.95084946
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.93918399,0.97459584,0.92971718,0.97602304,0.00000000,0.00000000,0.00000000,0.83279743,0.77476432,0.80231088,0.92615951
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.94879341,0.97459584,0.93809765,0.97602304,0.83404255,0.98000000,0.90114943,0.96456707,0.93809765,0.94905296,0.93837871
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.93995381,0.96997691,0.93074022,0.97339036,0.00000000,0.00000000,0.00000000,0.83333333,0.77561685,0.80304529,0.92718789
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94938199,0.96997691,0.93895019,0.97339036,0.83404255,0.98000000,0.90114943,0.96586528,0.93895019,0.95024829,0.93911812
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.94380293,0.98229407,0.93757682,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.78131401,0.80626818,0.93163184
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.95585639,0.98229407,0.94714735,0.98276536,0.84501062,0.99500000,0.91389208,0.97245882,0.94714735,0.95780655,0.94707198
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91839877,0.97459584,0.90570182,0.97151536,0.00000000,0.00000000,0.00000000,0.83198925,0.75475151,0.79036922,0.90258443
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93172454,0.97459584,0.91725151,0.97151536,0.78787879,0.97500000,0.87150838,0.95496808,0.91725151,0.93178423,0.91830318
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.91762895,0.98152425,0.90234986,0.98066341,0.00000000,0.00000000,0.00000000,0.83276836,0.75195822,0.78887528,0.90168213
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.93113596,0.98152425,0.91445822,0.98066341,0.78629032,0.97500000,0.87053571,0.95753314,0.91445822,0.93115727,0.91756210
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.92147806,0.97536567,0.91096718,0.97490573,0.00000000,0.00000000,0.00000000,0.83333333,0.75913932,0.79380811,0.90611219
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93407887,0.97536567,0.92163932,0.97490573,0.79268293,0.97500000,0.87443946,0.95520206,0.92163932,0.93525297,0.92102410
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.92224788,0.96997691,0.91613827,0.97214036,0.00000000,0.00000000,0.00000000,0.83051455,0.76344856,0.79534340,0.90667225
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.92642731,0.96997691,0.92011522,0.97214036,0.79492600,0.94000000,0.86139748,0.94031836,0.92011522,0.92820876,0.91112828
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.93841416,0.98691301,0.93011522,0.98763268,0.00000000,0.00000000,0.00000000,0.83215130,0.77509602,0.80237372,0.92529014
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.95291348,0.98691301,0.94176269,0.98763268,0.83507307,1.00000000,0.91012514,0.97133015,0.94176269,0.95406125,0.94371450
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.93225558,0.97998460,0.92181913,0.97776536,0.00000000,0.00000000,0.00000000,0.83206107,0.76818261,0.79812793,0.91827131
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.94290759,0.97998460,0.93109928,0.97776536,0.81799163,0.97750000,0.89066059,0.96205176,0.93109928,0.94374450,0.93138778
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.91993841,0.97844496,0.90524791,0.97829609,0.00000000,0.00000000,0.00000000,0.82942708,0.75437325,0.78933695,0.90400736
