dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98492118,0.98492118,0.98526536,0.98526536,0.00000000,0.00000000,0.00000000,0.82694652,0.82105447,0.82392399,0.98111622
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.91139241,0.98492118,0.88355447,0.98526536,0.86206897,0.37500000,0.52264808,0.91349129,0.88355447,0.88075863,0.89566884
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98423578,0.98560658,0.98513268,0.98687500,0.00000000,0.00000000,0.00000000,0.82599924,0.82094390,0.82339705,0.98025066
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91862568,0.98560658,0.89427723,0.98687500,0.88000000,0.44000000,0.58666667,0.91613759,0.89427723,0.89188113,0.90352219
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98971899,0.99040439,0.99013268,0.99075768,0.00000000,0.00000000,0.00000000,0.82876438,0.82511057,0.82691415,0.98707657
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.89089813,0.99040439,0.85344390,0.99075768,0.82926829,0.17000000,0.28215768,0.87835278,0.85344390,0.82622059,0.87333008
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98766278,0.98834818,0.98825768,0.98937500,0.00000000,0.00000000,0.00000000,0.82686013,0.82354807,0.82510739,0.98455416
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92103677,0.98834818,0.89604807,0.98937500,0.89690722,0.43500000,0.58585859,0.91985612,0.89604807,0.89312574,0.90680718
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98903358,0.98875000,0.99000000,0.00000000,0.00000000,0.00000000,0.82748530,0.82395833,0.82564030,0.98454096
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89813140,0.98903358,0.86479167,0.99000000,0.84482759,0.24500000,0.37984496,0.89258756,0.86479167,0.84869902,0.88103953
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97921478,0.97998460,0.97839036,0.97964036,0.00000000,0.00000000,0.00000000,0.82603781,0.81532530,0.82059670,0.97363627
