dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.88348184,0.98286498,0.87996508,0.98240573,0.00000000,0.00000000,0.00000000,0.83277405,0.73330424,0.77960040,0.86603064
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89752863,0.98286498,0.89997090,0.98240573,0.54200542,1.00000000,0.70298770,0.92310829,0.89997090,0.89676502,0.88338428
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.86086361,0.98903358,0.85835545,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.71529621,0.76945481,0.84282885
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87763713,0.98903358,0.88196287,0.98950768,0.49627792,1.00000000,0.66334992,0.91604632,0.88196287,0.88001313,0.86244275
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.85058259,0.98697738,0.84701117,0.98615573,0.00000000,0.00000000,0.00000000,0.83333333,0.70584264,0.76389789,0.83236085
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86859554,0.98697738,0.87250931,0.98615573,0.47846890,1.00000000,0.64724919,0.91307815,0.87250931,0.87177275,0.85296131
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88074023,0.98697738,0.88484986,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.73737488,0.78205320,0.86364136
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89511754,0.98697738,0.90404155,0.98763268,0.53475936,1.00000000,0.69686411,0.92245989,0.90404155,0.89819721,0.88113364
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86703221,0.98971899,0.86890363,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.72408636,0.77421920,0.84948887
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88306209,0.98971899,0.89075303,0.98964036,0.50761421,1.00000000,0.67340067,0.91793570,0.89075303,0.88645264,0.86839951
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.84526559,0.97536567,0.84276885,0.97602304,0.00000000,0.00000000,0.00000000,0.83093525,0.70230738,0.76088290,0.82525707
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88110653,0.97536567,0.86855738,0.97602304,0.66722408,0.99750000,0.79959920,0.94096592,0.86855738,0.89364033,0.86224453
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87374904,0.97151655,0.87763617,0.97464036,0.00000000,0.00000000,0.00000000,0.82712215,0.73136348,0.77517519,0.85440253
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89405533,0.97151655,0.89136348,0.97464036,0.70848708,0.96000000,0.81528662,0.93069888,0.89136348,0.90341449,0.87487574
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86220169,0.98229407,0.86746508,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.72288757,0.77389981,0.84314792
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89228958,0.98229407,0.88788757,0.98276536,0.68869565,0.99000000,0.81230769,0.94375864,0.88788757,0.90723032,0.87450170
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.87143957,0.97921478,0.87100559,0.97526536,0.00000000,0.00000000,0.00000000,0.83088235,0.72583799,0.77465093,0.85214906
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90052972,0.97921478,0.89167132,0.97526536,0.70692718,0.99500000,0.82658359,0.94632361,0.89167132,0.91140210,0.88369800
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85681293,0.98152425,0.86371508,0.98066341,0.00000000,0.00000000,0.00000000,0.83006536,0.71976257,0.77040055,0.83738218
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.87816363,0.98152425,0.87767924,0.98066341,0.67437722,0.94750000,0.78794179,0.92274103,0.87767924,0.89168037,0.85657687
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.83910701,0.97690531,0.84299581,0.97553073,0.00000000,0.00000000,0.00000000,0.83333333,0.70249651,0.76197503,0.81979757
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87639788,0.97690531,0.86874651,0.97553073,0.65625000,0.99750000,0.79166667,0.94211521,0.86874651,0.89366064,0.85738187
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.87066975,0.96997691,0.87697277,0.97151536,0.00000000,0.00000000,0.00000000,0.81854043,0.73081064,0.77068820,0.85024757
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.82989994,0.96997691,0.84706064,0.97151536,0.64583333,0.69750000,0.67067308,0.86281130,0.84706064,0.84051275,0.79751100
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.85373364,0.98768283,0.85839385,0.98825768,0.00000000,0.00000000,0.00000000,0.83115468,0.71532821,0.76822259,0.83422411
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.88463802,0.98768283,0.87949488,0.98825768,0.67697595,0.98500000,0.80244399,0.93777691,0.87949488,0.89893863,0.86562505
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.84680523,0.97998460,0.84674581,0.97776536,0.00000000,0.00000000,0.00000000,0.83214286,0.70562151,0.76289368,0.82738186
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.87875221,0.97998460,0.86937151,0.97776536,0.66497462,0.98250000,0.79313824,0.93509214,0.86937151,0.89156186,0.85904880
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.88529638,0.97921478,0.88344972,0.97878841,0.00000000,0.00000000,0.00000000,0.82770270,0.73620810,0.77911163,0.86625493
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.91053561,0.97921478,0.90162477,0.97878841,0.73382625,0.99250000,0.84378321,0.94680769,0.90162477,0.91824928,0.89462672
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.84141647,0.98614319,0.83142458,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.69285382,0.75614297,0.82124947
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.87875221,0.98614319,0.85952048,0.98625000,0.66006601,1.00000000,0.79522863,0.94334433,0.85952048,0.88868107,0.85974724
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.88144727,0.97382602,0.88818436,0.97615573,0.00000000,0.00000000,0.00000000,0.82809224,0.74015363,0.78107673,0.86265447
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.88875809,0.97382602,0.89223696,0.97615573,0.71011673,0.91250000,0.79868709,0.91732186,0.89223696,0.89828112,0.86731310
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.86451116,0.98537336,0.86651885,0.98526536,0.00000000,0.00000000,0.00000000,0.83006536,0.72209905,0.77142081,0.84512460
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.88934667,0.98537336,0.88376571,0.98526536,0.69162210,0.97000000,0.80749220,0.93345217,0.88376571,0.90010459,0.87008407
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.86682063,0.97767513,0.86956704,0.97490573,0.00000000,0.00000000,0.00000000,0.82774049,0.72463920,0.77253213,0.84708333
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.83519717,0.97767513,0.84672253,0.97490573,0.63557484,0.73250000,0.68060395,0.86634581,0.84672253,0.84601093,0.80246357
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.88221709,0.97844496,0.88094972,0.97816341,0.00000000,0.00000000,0.00000000,0.82662192,0.73412477,0.77747297,0.86287025
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.87698646,0.97844496,0.87745810,0.97816341,0.70061100,0.86000000,0.77216611,0.89969533,0.87745810,0.88249987,0.85213978
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.86989992,0.98306390,0.87009777,0.98079609,0.00000000,0.00000000,0.00000000,0.83333333,0.72508147,0.77534694,0.85076618
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.89994114,0.98306390,0.89133147,0.98079609,0.70246479,0.99750000,0.82438017,0.94926137,0.89133147,0.91222595,0.88326788
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.85681293,0.98306390,0.86604399,0.98289804,0.00000000,0.00000000,0.00000000,0.82897603,0.72170333,0.77079626,0.83753751
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.87992937,0.98306390,0.88087000,0.98289804,0.67730496,0.95500000,0.79253112,0.92477500,0.88087000,0.89425568,0.85900474
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.87220939,0.98999230,0.87894204,0.99187500,0.00000000,0.00000000,0.00000000,0.83116883,0.73245170,0.77794655,0.85351833
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.89758682,0.98999230,0.89578503,0.99187500,0.70503597,0.98000000,0.82008368,0.94055126,0.89578503,0.91061825,0.87998832
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.84526559,0.97767513,0.84303422,0.97589036,0.00000000,0.00000000,0.00000000,0.83214286,0.70252851,0.76164622,0.82531756
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.88051795,0.97767513,0.86836185,0.97589036,0.66555184,0.99500000,0.79759519,0.94073751,0.86836185,0.89355594,0.86145008
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.87066975,0.98383372,0.87769204,0.98142109,0.00000000,0.00000000,0.00000000,0.82599581,0.73141003,0.77516567,0.85111253
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.86109476,0.98383372,0.86974337,0.98142109,0.67342799,0.83000000,0.74356103,0.89050525,0.86974337,0.87118445,0.83371966
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.82916667,0.97847222,0.83125000,0.97687500,0.00000000,0.00000000,0.00000000,0.83211679,0.69270833,0.75584735,0.81073720
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.85207456,0.97847222,0.85937500,0.97687500,0.47649573,1.00000000,0.64544139,0.91153274,0.85937500,0.86342092,0.83549370
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.86527778,0.98194444,0.87750000,0.98312500,0.00000000,0.00000000,0.00000000,0.82156863,0.73125000,0.77208864,0.84635337
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.80276609,0.98194444,0.79776719,0.98312500,0.32841328,0.39910314,0.36032389,0.80802502,0.79776719,0.78605241,0.76911976
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.87083333,0.98541667,0.87437500,0.98437500,0.00000000,0.00000000,0.00000000,0.83106576,0.72864583,0.77619509,0.85268809
