dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92858122,0.98629198,0.92709637,0.98621997,0.00000000,0.00000000,0.00000000,0.83322296,0.77258031,0.80170455,0.91510765
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93707052,0.98629198,0.93908031,0.98621997,0.65807855,0.99900000,0.79335393,0.94269822,0.93908031,0.93383760,0.92672271
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.89822941,0.97659738,0.88121020,0.97687151,0.00000000,0.00000000,0.00000000,0.83322404,0.73434183,0.77876243,0.88048738
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92101236,0.97659738,0.90017516,0.97687151,0.75159551,0.99500000,0.85613884,0.95689555,0.90017516,0.92076460,0.90680076
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.88991532,0.97813703,0.87339595,0.97814804,0.00000000,0.00000000,0.00000000,0.83218672,0.72782996,0.77475389,0.87133134
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91453796,0.97813703,0.89357996,0.97814804,0.73707974,0.99450000,0.84661921,0.95260387,0.89357996,0.91494956,0.89931792
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87744419,0.97844496,0.86014246,0.97827304,0.00000000,0.00000000,0.00000000,0.83252688,0.71678538,0.76831751,0.85813798
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.90335491,0.97844496,0.88136872,0.97827304,0.71383083,0.98750000,0.82857054,0.94659670,0.88136872,0.90449357,0.88634865
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87852194,0.98229407,0.85736592,0.98133380,0.00000000,0.00000000,0.00000000,0.83275726,0.71447160,0.76614184,0.85931303
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90700412,0.98229407,0.88105493,0.98133380,0.71810716,0.99950000,0.83558395,0.95209456,0.88105493,0.90530881,0.89114097
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.88625000,0.97805556,0.86737500,0.97762500,0.00000000,0.00000000,0.00000000,0.83282283,0.72281250,0.77188531,0.86833053
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90114251,0.97805556,0.88903074,0.97762500,0.57688033,0.99730942,0.73091989,0.92861990,0.88903074,0.89355040,0.88678130
