dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93694311,0.98286498,0.93511522,0.98240573,0.00000000,0.00000000,0.00000000,0.83278146,0.77926269,0.80508843,0.92446301
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94454491,0.98286498,0.94592935,0.98240573,0.68728522,1.00000000,0.81466395,0.94732899,0.94592935,0.94086575,0.93509446
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.92323509,0.98903358,0.92064595,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.76720496,0.79881673,0.90911444
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93248945,0.98903358,0.93387162,0.98950768,0.64102564,1.00000000,0.78125000,0.94017094,0.93387162,0.92902506,0.92161911
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92392049,0.98560658,0.92225559,0.98490573,0.00000000,0.00000000,0.00000000,0.83333333,0.76854632,0.79960716,0.90987673
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93248945,0.98560658,0.93437966,0.98490573,0.64193548,0.99500000,0.78039216,0.93930009,0.93437966,0.92920949,0.92150657
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93008910,0.98560658,0.93132682,0.98589036,0.00000000,0.00000000,0.00000000,0.83333333,0.77610568,0.80368446,0.91685929
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93851718,0.98560658,0.94277235,0.98589036,0.66225166,1.00000000,0.79681275,0.94370861,0.94277235,0.93648659,0.92840262
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92871830,0.98834818,0.92613827,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.77178189,0.80132597,0.91522477
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93731163,0.98834818,0.93844856,0.98839036,0.65789474,1.00000000,0.79365079,0.94298246,0.93844856,0.93360110,0.92699078
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.90300231,0.97459584,0.88502095,0.97602304,0.00000000,0.00000000,0.00000000,0.83278689,0.73751746,0.78059934,0.88542094
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92466157,0.97459584,0.90335079,0.97602304,0.76099426,0.99500000,0.86240520,0.95756165,0.90335079,0.92341081,0.91086004
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.91762895,0.96997691,0.90439595,0.97339036,0.00000000,0.00000000,0.00000000,0.83333333,0.75366329,0.79069696,0.90179226
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93466745,0.96997691,0.91866329,0.97339036,0.78727634,0.99000000,0.87707641,0.96188748,0.91866329,0.93563657,0.92224219
