dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98651536,0.98651536,0.00000000,0.00000000,0.00000000,0.82690559,0.82209614,0.82446008,0.98279699
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88667872,0.98629198,0.84876280,0.98651536,0.76190476,0.16000000,0.26446281,0.87917065,0.84876280,0.82823342,0.86838859
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98629198,0.99108979,0.98651536,0.99138268,0.00000000,0.00000000,0.00000000,0.82873918,0.82209614,0.82537151,0.98281729
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92163954,0.99108979,0.89709614,0.99138268,0.88235294,0.45000000,0.59602649,0.91452275,0.89709614,0.89261876,0.90722718
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99246059,0.99246059,0.99312500,0.99312500,0.00000000,0.00000000,0.00000000,0.82826812,0.82760417,0.82791324,0.99050841
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88788427,0.99246059,0.84843750,0.99312500,0.92592593,0.12500000,0.22026432,0.88848056,0.84843750,0.81355763,0.87060718
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.99040439,0.98888268,0.99125000,0.00000000,0.00000000,0.00000000,0.82737934,0.82406890,0.82563658,0.98541067
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91922845,0.99040439,0.89323557,0.99125000,0.89247312,0.41500000,0.56655290,0.91679130,0.89323557,0.88897614,0.90473585
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.99040439,0.98950768,0.99075768,0.00000000,0.00000000,0.00000000,0.82731736,0.82458973,0.82591515,0.98621769
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92344786,0.99040439,0.89875640,0.99075768,0.93684211,0.44500000,0.60338983,0.92886474,0.89875640,0.89803462,0.90966827
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98383372,0.98383372,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.82709862,0.82187500,0.82444027,0.97953411
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75573867,0.98383372,0.82437500,0.98625000,0.33333333,0.01500000,0.02870813,0.74116215,0.82437500,0.74425533,0.74324027
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96843726,0.97074673,0.96964036,0.97339036,0.00000000,0.00000000,0.00000000,0.81650461,0.80803364,0.81199887,0.96024857
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74690995,0.97074673,0.81261697,0.97339036,0.39285714,0.02750000,0.05140187,0.69417015,0.81261697,0.70558990,0.72705834
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98768283,0.98768283,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.82683223,0.82302723,0.82488735,0.98433758
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.79281931,0.98768283,0.84969390,0.98763268,0.92753623,0.16000000,0.27292111,0.81578428,0.84969390,0.76935780,0.77733410
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.96920708,0.97151655,0.96628841,0.96878841,0.00000000,0.00000000,0.00000000,0.81810442,0.80524034,0.81160724,0.96103438
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74102413,0.97151655,0.80524034,0.96878841,0.00000000,0.00000000,0.00000000,0.65519984,0.80524034,0.70925656,0.72252711
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98460354,0.98768283,0.98441341,0.98789804,0.00000000,0.00000000,0.00000000,0.82387228,0.82034451,0.82195096,0.98051126
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75632725,0.98768283,0.82284451,0.98789804,0.37500000,0.01500000,0.02884615,0.73948027,0.82284451,0.72542832,0.75041657
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98229407,0.98614319,0.98250000,0.98625000,0.00000000,0.00000000,0.00000000,0.82909198,0.81875000,0.82387121,0.97764183
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.91053561,0.98614319,0.93166667,0.98625000,0.94097222,0.67750000,0.78779070,0.92128367,0.93166667,0.92017052,0.89524870
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96997691,0.97305620,0.97401536,0.97651536,0.00000000,0.00000000,0.00000000,0.81996528,0.81167947,0.81548706,0.96240035
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91112419,0.97305620,0.93167947,0.97651536,0.92307692,0.72000000,0.80898876,0.89597707,0.93167947,0.90608702,0.89505227
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98460354,0.98845266,0.98464036,0.98776536,0.00000000,0.00000000,0.00000000,0.82523036,0.82053364,0.82285053,0.98047338
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.87404356,0.98845266,0.90636697,0.98776536,0.95370370,0.51500000,0.66883117,0.88077537,0.90636697,0.87017413,0.85852142
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98460354,0.98691301,0.98227304,0.98477304,0.00000000,0.00000000,0.00000000,0.82358509,0.81856087,0.82104326,0.98042347
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.85697469,0.98691301,0.89231087,0.98477304,0.96195652,0.44250000,0.60616438,0.85009087,0.89231087,0.84681059,0.83806463
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97921478,0.98075443,0.97990573,0.98240573,0.00000000,0.00000000,0.00000000,0.81914893,0.81658811,0.81770620,0.97372565
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.93761036,0.98075443,0.95033811,0.98240573,0.96396396,0.80250000,0.87585266,0.92892375,0.95033811,0.93336490,0.92630724
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98383372,0.98922248,0.98562500,0.99000000,0.00000000,0.00000000,0.00000000,0.82414732,0.82135417,0.82273227,0.97944685
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.83637434,0.98922248,0.88093750,0.99000000,0.95333333,0.35750000,0.52000000,0.86725673,0.88093750,0.83016522,0.82519951
