dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96572995,0.98903358,0.96776536,0.98901536,0.00000000,0.00000000,0.00000000,0.82752844,0.80647114,0.81673687,0.95780532
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94635322,0.98903358,0.94063780,0.98901536,0.79310345,0.80500000,0.79900744,0.93098168,0.94063780,0.93411315,0.93557645
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96161755,0.98834818,0.96303073,0.98789804,0.00000000,0.00000000,0.00000000,0.83333333,0.80252561,0.81757139,0.95320841
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95840868,0.98834818,0.95835894,0.98789804,0.76954733,0.93500000,0.84424379,0.95350797,0.95835894,0.95433202,0.95021590
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96641535,0.98766278,0.96839036,0.98776536,0.00000000,0.00000000,0.00000000,0.83229167,0.80699197,0.81930969,0.95886295
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95720313,0.98766278,0.95532530,0.98776536,0.79111111,0.89000000,0.83764706,0.94642414,0.95532530,0.94974461,0.94860020
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96572995,0.98834818,0.96776536,0.98888268,0.00000000,0.00000000,0.00000000,0.83187779,0.80647114,0.81884086,0.95804845
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95720313,0.98834818,0.95563780,0.98888268,0.78854626,0.89500000,0.83840749,0.94798203,0.95563780,0.95071756,0.94860348
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96161755,0.98766278,0.96303073,0.98776536,0.00000000,0.00000000,0.00000000,0.83280255,0.80252561,0.81728113,0.95318303
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96443641,0.98766278,0.96669227,0.98776536,0.78174603,0.98500000,0.87168142,0.96151461,0.96669227,0.96178304,0.95774975
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95227098,0.97767513,0.95628841,0.97740573,0.00000000,0.00000000,0.00000000,0.82329004,0.79690701,0.80964762,0.94122476
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.76280165,0.97767513,0.82149034,0.97740573,0.53153153,0.14750000,0.23091977,0.78888346,0.82149034,0.75900951,0.74833234
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95842956,0.96997691,0.96240573,0.97276536,0.00000000,0.00000000,0.00000000,0.81780487,0.80200477,0.80935657,0.94841163
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.88110653,0.96997691,0.90700477,0.97276536,0.86896552,0.63000000,0.73043478,0.87828099,0.90700477,0.87911095,0.86205681
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95765974,0.98537336,0.96151536,0.98526536,0.00000000,0.00000000,0.00000000,0.82140921,0.80126280,0.81097941,0.94755536
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.84873455,0.98537336,0.88376280,0.98526536,0.82157676,0.49500000,0.61778471,0.83985602,0.88376280,0.84005989,0.82676394
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95304080,0.97459584,0.95414804,0.97477304,0.00000000,0.00000000,0.00000000,0.82516369,0.79512337,0.80978214,0.94213231
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.85638611,0.97459584,0.88554004,0.97477304,0.80370370,0.54250000,0.64776119,0.84617189,0.88554004,0.84988118,0.83327486
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.96458814,0.98075443,0.96717877,0.98030377,0.00000000,0.00000000,0.00000000,0.82013291,0.80598231,0.81264381,0.95581295
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86462625,0.98075443,0.89598231,0.98030377,0.87096774,0.54000000,0.66666667,0.85903763,0.89598231,0.86265048,0.84295588
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.95458045,0.97921478,0.95753841,0.97878841,0.00000000,0.00000000,0.00000000,0.81761165,0.79794867,0.80732037,0.94371791
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.89582107,0.97921478,0.91544867,0.97878841,0.86769231,0.70500000,0.77793103,0.89052514,0.91544867,0.89322753,0.87720864
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.95458045,0.97382602,0.95977304,0.97539804,0.00000000,0.00000000,0.00000000,0.81637607,0.79981087,0.80759273,0.94369244
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.86462625,0.97382602,0.89522754,0.97539804,0.84814815,0.57250000,0.68358209,0.87029342,0.89522754,0.86511445,0.84420788
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95996921,0.98460354,0.96365573,0.98464036,0.00000000,0.00000000,0.00000000,0.82241395,0.80304644,0.81238327,0.95035284
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.91465568,0.98460354,0.93096311,0.98464036,0.88218391,0.76750000,0.82085561,0.91215770,0.93096311,0.91344163,0.89897051
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.96073903,0.98229407,0.96168645,0.98178073,0.00000000,0.00000000,0.00000000,0.82716049,0.80140538,0.81398100,0.95138401
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.85167746,0.98229407,0.88432204,0.98178073,0.81557377,0.49750000,0.61801242,0.87287540,0.88432204,0.85465045,0.83313954
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.95073133,0.97921478,0.94998254,0.97717877,0.00000000,0.00000000,0.00000000,0.81545117,0.79165212,0.80273334,0.93897001
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.90406121,0.97921478,0.91706878,0.97717877,0.86994220,0.75250000,0.80697051,0.90590767,0.91706878,0.90168957,0.88675240
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97305620,0.98152425,0.97441341,0.98178073,0.00000000,0.00000000,0.00000000,0.82539600,0.81201117,0.81857279,0.96623783
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.85167746,0.98152425,0.88826117,0.98178073,0.87142857,0.45750000,0.60000000,0.87591550,0.88826117,0.85239703,0.83667003
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.95842956,0.97767513,0.96464036,0.98026536,0.00000000,0.00000000,0.00000000,0.81629852,0.80386697,0.80932251,0.94844707
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.81106533,0.97767513,0.85928364,0.98026536,0.78698225,0.33250000,0.46748682,0.83550690,0.85928364,0.81234017,0.79066674
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.96843726,0.98460354,0.97151536,0.98526536,0.00000000,0.00000000,0.00000000,0.81973523,0.80959614,0.81441263,0.96046176
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.92878164,0.98460354,0.94292947,0.98526536,0.92485549,0.80000000,0.85790885,0.91451120,0.94292947,0.92337064,0.91513849
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.95996921,0.98460354,0.95793645,0.98365573,0.00000000,0.00000000,0.00000000,0.82640345,0.79828038,0.81205075,0.95024132
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.85874044,0.98460354,0.88661371,0.98365573,0.83137255,0.53000000,0.64732824,0.87264903,0.88661371,0.85964354,0.83896303
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.96612779,0.97536567,0.96642109,0.97454609,0.00000000,0.00000000,0.00000000,0.81344714,0.80535091,0.80898418,0.95744367
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.85815185,0.97536567,0.88993424,0.97454609,0.90222222,0.50750000,0.64960000,0.87378000,0.88993424,0.85569579,0.84199305
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.95535027,0.99076212,0.95560754,0.98928073,0.00000000,0.00000000,0.00000000,0.82626263,0.79633962,0.81073467,0.94494505
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.75573867,0.99076212,0.81425628,0.98928073,0.45744681,0.10750000,0.17408907,0.79335480,0.81425628,0.75492209,0.74579020
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.96843726,0.98845266,0.97115573,0.98839036,0.00000000,0.00000000,0.00000000,0.82633762,0.80929644,0.81759916,0.96068614
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.95350206,0.98845266,0.96012977,0.98839036,0.91414141,0.90500000,0.90954774,0.94815194,0.96012977,0.95202680,0.94376391
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.96920708,0.98691301,0.97214036,0.98651536,0.00000000,0.00000000,0.00000000,0.82149110,0.81011697,0.81555942,0.96148343
