dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98903358,0.99013023,0.98950768,0.99060615,0.00000000,0.00000000,0.00000000,0.85905153,0.85761499,0.85827981,0.98621520
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88776371,0.99013023,0.84942307,0.99060615,0.80012683,0.14900000,0.23951088,0.87448329,0.84942307,0.81942124,0.87006973
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97983064,0.98029253,0.98031844,0.98079190,0.00000000,0.00000000,0.00000000,0.82100850,0.81693203,0.81885771,0.97445300
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75126545,0.98029253,0.81843203,0.98079190,0.33237179,0.00900000,0.01742644,0.71186084,0.81843203,0.71776607,0.73820075
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98075443,0.98306390,0.98141690,0.98354190,0.00000000,0.00000000,0.00000000,0.82236792,0.81784742,0.81997102,0.97568536
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87333726,0.98306390,0.90526408,0.98354190,0.94831662,0.52450000,0.66822493,0.87320196,0.90526408,0.86937408,0.85588480
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98383372,0.98491147,0.98408729,0.98508729,0.00000000,0.00000000,0.00000000,0.82105024,0.82007274,0.82047293,0.97946750
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.77716304,0.98491147,0.83773941,0.98508729,0.70835158,0.10600000,0.15490898,0.80317338,0.83773941,0.75270512,0.77053790
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99153195,0.99183988,0.99150768,0.99200768,0.00000000,0.00000000,0.00000000,0.89227336,0.89248999,0.89233453,0.98923282
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.76185992,0.99183988,0.82892307,0.99200768,0.50200000,0.01600000,0.03060875,0.72985247,0.82892307,0.71848880,0.75043154
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98319444,0.98319444,0.98250000,0.98250000,0.00000000,0.00000000,0.00000000,0.82102674,0.81875000,0.81973602,0.97885684
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86289838,0.98319444,0.83309978,0.98250000,0.42785215,0.08609865,0.13750950,0.80291845,0.83309978,0.79239502,0.84348391
