dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98651536,0.98651536,0.00000000,0.00000000,0.00000000,0.82535432,0.82209614,0.82368910,0.98276829
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87100663,0.98629198,0.82709614,0.98651536,0.46153846,0.03000000,0.05633803,0.81820404,0.82709614,0.78708521,0.85167540
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98697738,0.99108979,0.98714036,0.99138268,0.00000000,0.00000000,0.00000000,0.82613804,0.82261697,0.82434639,0.98361812
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88667872,0.99108979,0.84845030,0.99138268,0.83783784,0.15500000,0.26160338,0.87614064,0.84845030,0.82017943,0.86816758
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99246059,0.99246059,0.99312500,0.99312500,0.00000000,0.00000000,0.00000000,0.82776168,0.82760417,0.82765726,0.99050772
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87582881,0.99246059,0.83177083,0.99312500,0.83333333,0.02500000,0.04854369,0.86286174,0.83177083,0.77870770,0.85762157
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98903358,0.99040439,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82568400,0.82500000,0.82520755,0.98626506
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89752863,0.99040439,0.86333333,0.99125000,0.86792453,0.23000000,0.36363636,0.89034144,0.86333333,0.84306207,0.88054648
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.99040439,0.99040439,0.99075768,0.99075768,0.00000000,0.00000000,0.00000000,0.99031961,0.99075768,0.99049874,0.98791684
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90777577,0.99040439,0.87646473,0.99075768,1.00000000,0.30500000,0.46743295,0.92486860,0.87646473,0.86807179,0.89233761
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98383372,0.98383372,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.82709862,0.82187500,0.82444027,0.97953411
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75573867,0.98383372,0.82437500,0.98625000,0.33333333,0.01500000,0.02870813,0.74116215,0.82437500,0.74425533,0.74324027
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97074673,0.97074673,0.97339036,0.97339036,0.00000000,0.00000000,0.00000000,0.81572159,0.81115864,0.81314551,0.96312615
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74396704,0.97074673,0.81240864,0.97339036,0.18750000,0.00750000,0.01442308,0.65676406,0.81240864,0.69866945,0.72525245
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98768283,0.98768283,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.82320542,0.82302723,0.82308444,0.98431956
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75809300,0.98768283,0.82511057,0.98763268,0.83333333,0.01250000,0.02463054,0.78025062,0.82511057,0.71305853,0.74617723
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97151655,0.97151655,0.96878841,0.96878841,0.00000000,0.00000000,0.00000000,0.81514459,0.80732367,0.81118988,0.96380759
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74278988,0.97151655,0.80732367,0.96878841,0.00000000,0.00000000,0.00000000,0.65379504,0.80732367,0.70909421,0.72609246
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.98768283,0.98553073,0.98789804,0.00000000,0.00000000,0.00000000,0.82387228,0.82127561,0.82242844,0.98147756
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75573867,0.98768283,0.82294227,0.98789804,0.30769231,0.01000000,0.01937046,0.72733234,0.82294227,0.72375281,0.75024134
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98306390,0.98614319,0.98375000,0.98625000,0.00000000,0.00000000,0.00000000,0.82910541,0.81979167,0.82440690,0.97860354
