dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98300206,0.98958191,0.98282612,0.99050000,0.00000000,0.00000000,0.00000000,0.83152167,0.81902176,0.82518513,0.97885490
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94864376,0.98958191,0.93535510,0.99050000,0.86078859,0.69800000,0.77036523,0.94652539,0.93535510,0.93875469,0.93835514
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97274827,0.98645112,0.97157612,0.98698115,0.00000000,0.00000000,0.00000000,0.83112622,0.80964676,0.82013307,0.96599626
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.90865215,0.98645112,0.92639676,0.98698115,0.89381123,0.70050000,0.77864267,0.91115574,0.92639676,0.91062248,0.89316659
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97228637,0.98799076,0.97131844,0.98817807,0.00000000,0.00000000,0.00000000,0.83099327,0.80943203,0.81999641,0.96544562
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92536786,0.98799076,0.93826536,0.98817807,0.90089723,0.77300000,0.82979782,0.92761442,0.93826536,0.93021826,0.91054922
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96905312,0.98521940,0.96755726,0.98607961,0.00000000,0.00000000,0.00000000,0.83143018,0.80629772,0.81857859,0.96153859
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.91806945,0.98521940,0.93171439,0.98607961,0.88697874,0.75250000,0.81265037,0.91570946,0.93171439,0.91590649,0.90341340
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98306390,0.99353349,0.98075419,0.99392807,0.00000000,0.00000000,0.00000000,0.83239900,0.81729516,0.82474472,0.97871513
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96715715,0.99353349,0.96987849,0.99392807,0.94629215,0.91550000,0.92910773,0.96452900,0.96987849,0.96561964,0.96053289
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97166667,0.98666667,0.96962500,0.98625000,0.00000000,0.00000000,0.00000000,0.83024290,0.80802083,0.81890416,0.96491813
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95490078,0.98666667,0.94912696,0.98625000,0.82218509,0.84663677,0.82661170,0.95139653,0.94912696,0.94823651,0.94612810
