dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97847841,0.98999315,0.97712570,0.99057961,0.00000000,0.00000000,0.00000000,0.83256919,0.81427142,0.82327379,0.97335618
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96045811,0.98999315,0.95243808,0.99057961,0.84429418,0.82900000,0.83504206,0.95660654,0.95243808,0.95389690,0.95229491
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95966128,0.98090839,0.95487570,0.98183729,0.00000000,0.00000000,0.00000000,0.83204803,0.79572975,0.81328184,0.95028795
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.96645085,0.98090839,0.96047975,0.98183729,0.88601958,0.98850000,0.93438190,0.97646037,0.96047975,0.96747619,0.95945759
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95981524,0.98352579,0.95422416,0.98376536,0.00000000,0.00000000,0.00000000,0.83075616,0.79518680,0.81235552,0.95037771
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.96162448,0.98352579,0.95643680,0.98376536,0.88609979,0.96750000,0.92474025,0.96764959,0.95643680,0.96128120,0.95345543
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95796767,0.98537336,0.95276606,0.98568575,0.00000000,0.00000000,0.00000000,0.83164649,0.79397172,0.81220164,0.94822221
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.95138317,0.98537336,0.94897172,0.98568575,0.87560585,0.93000000,0.90182474,0.95198327,0.94897172,0.94952976,0.94091231
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97105466,0.99183988,0.96609916,0.99175768,0.00000000,0.00000000,0.00000000,0.83245495,0.80508264,0.81841160,0.96399176
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.97410241,0.99183988,0.96908264,0.99175768,0.91536011,0.98400000,0.94831006,0.97917512,0.96908264,0.97367138,0.96854873
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96041667,0.98319444,0.95600000,0.98237500,0.00000000,0.00000000,0.00000000,0.83135630,0.79666667,0.81348031,0.95151080
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95538184,0.98319444,0.95047833,0.98237500,0.78828810,0.92286996,0.84918902,0.95455218,0.95047833,0.95080496,0.94653141
