dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98012337,0.98629198,0.97941341,0.98700768,0.00000000,0.00000000,0.00000000,0.83143939,0.81617784,0.82371179,0.97532328
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95720313,0.98629198,0.94784451,0.98700768,0.85405405,0.79000000,0.82077922,0.95323278,0.94784451,0.95001036,0.94830248
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97258396,0.99108979,0.97106145,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.80921788,0.82103309,0.96624432
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96081977,0.99108979,0.95505121,0.99138268,0.81395349,0.87500000,0.84337349,0.95591023,0.95505121,0.95506194,0.95267405
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98080877,0.99246059,0.98003841,0.99312500,0.00000000,0.00000000,0.00000000,0.83333333,0.81669867,0.82492008,0.97618996
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95599759,0.99246059,0.94586534,0.99312500,0.84699454,0.77500000,0.80939948,0.95354937,0.94586534,0.94888038,0.94698938
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97875257,0.98971899,0.97668645,0.99062500,0.00000000,0.00000000,0.00000000,0.83140655,0.81390538,0.82251054,0.97365406
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.97528632,0.98971899,0.97223871,0.99062500,0.86757991,0.95000000,0.90692124,0.97039480,0.97223871,0.97088815,0.97019101
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98012337,0.99040439,0.97842877,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.81535731,0.82419343,0.97536927
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95298373,0.99040439,0.94119064,0.99075768,0.83888889,0.75500000,0.79473684,0.94994554,0.94119064,0.94464367,0.94331763
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95612009,0.98383372,0.95043645,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.79203038,0.81199149,0.94607101
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95821071,0.98383372,0.95286371,0.98625000,0.87133183,0.96500000,0.91577699,0.97057097,0.95286371,0.96078916,0.94924057
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96073903,0.97151655,0.96003841,0.97477304,0.00000000,0.00000000,0.00000000,0.82903836,0.80003201,0.81413517,0.95146916
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.96762802,0.97151655,0.96503201,0.97477304,0.89592760,0.99000000,0.94061758,0.97575747,0.96503201,0.96962319,0.96087352
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97074673,0.98768283,0.96704609,0.98763268,0.00000000,0.00000000,0.00000000,0.83237548,0.80587174,0.81884768,0.96357080
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.97704532,0.98768283,0.97212174,0.98763268,0.91513761,0.99750000,0.95454545,0.98379466,0.97212174,0.97741997,0.97221409
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95150115,0.97382602,0.94530377,0.97214036,0.00000000,0.00000000,0.00000000,0.83333333,0.78775314,0.80962771,0.94064568
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.96056504,0.97382602,0.95275314,0.97214036,0.86274510,0.99000000,0.92200233,0.97252648,0.95275314,0.96124694,0.95251394
