dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96956820,0.98889650,0.97077304,0.98938268,0.00000000,0.00000000,0.00000000,0.83146685,0.80897754,0.81996600,0.96262088
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96648583,0.98889650,0.96631087,0.98938268,0.81720154,0.94400000,0.87515765,0.95908612,0.96631087,0.96132151,0.95988257
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95950731,0.98137028,0.96245880,0.98171997,0.00000000,0.00000000,0.00000000,0.82740499,0.80204900,0.81437079,0.95004804
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.81977634,0.98137028,0.86304900,0.98171997,0.69841812,0.36600000,0.46148564,0.82371651,0.86304900,0.81246157,0.80112106
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96120092,0.98383372,0.96330377,0.98471229,0.00000000,0.00000000,0.00000000,0.82737775,0.80275314,0.81467416,0.95205057
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.93325486,0.98383372,0.94316981,0.98471229,0.88273278,0.84250000,0.85763429,0.93237115,0.94316981,0.93254729,0.92070525
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96581986,0.98290993,0.96761802,0.98314804,0.00000000,0.00000000,0.00000000,0.82656113,0.80634835,0.81624172,0.95745467
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83637434,0.98290993,0.87568168,0.98314804,0.80384026,0.41600000,0.53818558,0.84778336,0.87568168,0.83021908,0.81857559
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96073903,0.99199384,0.96231913,0.99206075,0.00000000,0.00000000,0.00000000,0.83064894,0.80193261,0.81586501,0.95172365
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89723367,0.99199384,0.91709928,0.99206075,0.82609571,0.69100000,0.70935849,0.90814661,0.91709928,0.89407894,0.88558981
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95347222,0.98611111,0.95487500,0.98537500,0.00000000,0.00000000,0.00000000,0.82895614,0.79572917,0.81185457,0.94335784
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.94696332,0.98611111,0.94655129,0.98537500,0.76261437,0.90493274,0.82666292,0.93836319,0.94655129,0.93994495,0.93670831
