dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98793694,0.98793694,0.98811383,0.98811383,0.00000000,0.00000000,0.00000000,0.98685590,0.98811383,0.98743420,0.98480693
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86955998,0.98793694,0.82442819,0.98811383,0.60000000,0.00600000,0.01186178,0.82391911,0.82442819,0.77195537,0.84988231
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97721324,0.97721324,0.97785265,0.97785265,0.00000000,0.00000000,0.00000000,0.87637410,0.88027875,0.87808711,0.97108899
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74773396,0.97721324,0.81529388,0.97785265,0.26666667,0.00250000,0.00495295,0.68255189,0.81529388,0.70281455,0.73535062
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97829099,0.97859892,0.97808380,0.97845880,0.00000000,0.00000000,0.00000000,0.84444267,0.84762919,0.84577320,0.97244340
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.75526780,0.97859892,0.82023650,0.97845880,0.71073892,0.03100000,0.05850299,0.76278814,0.82023650,0.71705735,0.74132886
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98075443,0.98075443,0.98137919,0.98137919,0.00000000,0.00000000,0.00000000,0.94413452,0.94859067,0.94614267,0.97554221
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75032372,0.98075443,0.81814932,0.98137919,0.70000000,0.00200000,0.00398754,0.76066636,0.81814932,0.70769231,0.73863633
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98552733,0.98552733,0.98537919,0.98537919,0.00000000,0.00000000,0.00000000,0.98104702,0.98537919,0.98295995,0.98163169
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75385521,0.98552733,0.82139932,0.98537919,0.40000000,0.00150000,0.00298756,0.72287267,0.82139932,0.71165986,0.74668384
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97875000,0.97875000,0.97825000,0.97825000,0.00000000,0.00000000,0.00000000,0.90861582,0.91308333,0.91060531,0.97320717
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86722790,0.97875000,0.83972253,0.97825000,0.19878788,0.14708520,0.16907216,0.75577866,0.83972253,0.78648186,0.85065085
