dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98903358,0.98901536,0.98901536,0.00000000,0.00000000,0.00000000,0.98722887,0.98901536,0.98806418,0.98619255
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87040386,0.98903358,0.82501280,0.98901536,1.00000000,0.00500000,0.00995025,0.88658200,0.82501280,0.76934659,0.85103419
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98766278,0.98766278,0.98727304,0.98727304,0.00000000,0.00000000,0.00000000,0.98679678,0.98727304,0.98701452,0.98444606
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86859554,0.98766278,0.82272754,0.98727304,0.00000000,0.00000000,0.00000000,0.72777462,0.82272754,0.77201323,0.84872424
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98834818,0.98834818,0.98888268,0.98888268,0.00000000,0.00000000,0.00000000,0.98663773,0.98888268,0.98769323,0.98532924
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87040386,0.98834818,0.82573557,0.98888268,1.00000000,0.01000000,0.01980198,0.88978653,0.82573557,0.77299470,0.85091640
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98697738,0.98697738,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.98675935,0.98763268,0.98712332,0.98361240
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.86799277,0.98697738,0.82302723,0.98763268,0.00000000,0.00000000,0.00000000,0.72245592,0.82302723,0.76934620,0.84787619
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98766278,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.98685675,0.98776536,0.98727575,0.98445437
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87040386,0.98766278,0.82563780,0.98776536,1.00000000,0.01500000,0.02955665,0.89299650,0.82563780,0.77607612,0.85086051
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97690531,0.97690531,0.97740573,0.97740573,0.00000000,0.00000000,0.00000000,0.97350663,0.97740573,0.97534632,0.97059413
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74926427,0.97690531,0.81617144,0.97740573,1.00000000,0.01000000,0.01980198,0.82180435,0.81617144,0.71070064,0.74186729
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97151655,0.97151655,0.97464036,0.97464036,0.00000000,0.00000000,0.00000000,0.80836475,0.81220030,0.80971911,0.96411077
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74278988,0.97151655,0.81220030,0.97464036,0.00000000,0.00000000,0.00000000,0.63615619,0.81220030,0.70454468,0.72521480
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98460354,0.98460354,0.98464036,0.98464036,0.00000000,0.00000000,0.00000000,0.97931885,0.98464036,0.98181649,0.98042481
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75279576,0.98460354,0.82053364,0.98464036,0.00000000,0.00000000,0.00000000,0.63552531,0.82053364,0.69831682,0.74373653
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97459584,0.97459584,0.97477304,0.97477304,0.00000000,0.00000000,0.00000000,0.80931457,0.81231087,0.81068548,0.96769368
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74514420,0.97459584,0.81231087,0.97477304,0.00000000,0.00000000,0.00000000,0.62078987,0.81231087,0.68902105,0.73159222
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97844496,0.97844496,0.97780377,0.97780377,0.00000000,0.00000000,0.00000000,0.81136569,0.81483648,0.81286816,0.97262154
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.74867569,0.97844496,0.81525314,0.97780377,0.33333333,0.00250000,0.00496278,0.69848372,0.81525314,0.71148954,0.73434227
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97690531,0.97690531,0.97678073,0.97678073,0.00000000,0.00000000,0.00000000,0.97168070,0.97678073,0.97390612,0.97065551
