dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96847156,0.97875257,0.96878841,0.97816341,0.00000000,0.00000000,0.00000000,0.82451515,0.80732367,0.81576244,0.96079458
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93791441,0.97875257,0.92649034,0.97816341,0.82658960,0.71500000,0.76675603,0.92873025,0.92649034,0.92657090,0.92498986
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96435915,0.98286498,0.96602304,0.98289804,0.00000000,0.00000000,0.00000000,0.82591866,0.80501920,0.81519912,0.95605838
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94454491,0.98286498,0.93835254,0.98289804,0.79601990,0.80000000,0.79800499,0.93301561,0.93835254,0.93524543,0.93298189
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97258396,0.98492118,0.97253841,0.98378841,0.00000000,0.00000000,0.00000000,0.83019669,0.81044867,0.82016599,0.96605040
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94394213,0.98492118,0.93294867,0.98378841,0.81215470,0.73500000,0.77165354,0.93673371,0.93294867,0.93423743,0.93222050
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97258396,0.98286498,0.97303073,0.98240573,0.00000000,0.00000000,0.00000000,0.82342495,0.81085894,0.81692091,0.96588735
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94333936,0.98286498,0.93252561,0.98240573,0.85882353,0.73000000,0.78918919,0.93432090,0.93252561,0.93192609,0.93170094
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97121316,0.98629198,0.97227304,0.98602304,0.00000000,0.00000000,0.00000000,0.82872295,0.81022754,0.81926112,0.96439088
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93731163,0.98629198,0.92522754,0.98602304,0.80232558,0.69000000,0.74193548,0.92998502,0.92522754,0.92616481,0.92448737
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95842956,0.97613549,0.95954609,0.97589036,0.00000000,0.00000000,0.00000000,0.81567836,0.79962174,0.80720951,0.94815706
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88875809,0.97613549,0.91003841,0.97589036,0.88333333,0.66250000,0.75714286,0.87598892,0.91003841,0.88185092,0.86955366
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96458814,0.97151655,0.96691341,0.97352304,0.00000000,0.00000000,0.00000000,0.82096944,0.80576117,0.81315297,0.95562393
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.80400235,0.97151655,0.85284451,0.97352304,0.79577465,0.28250000,0.41697417,0.80307906,0.85284451,0.79611456,0.77939949
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96458814,0.98383372,0.96825768,0.98388268,0.00000000,0.00000000,0.00000000,0.82054686,0.80688140,0.81344558,0.95580873
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.84343732,0.98383372,0.88188140,0.98388268,0.84905660,0.45000000,0.58823529,0.84900841,0.88188140,0.84084397,0.82282453
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95842956,0.97151655,0.95428073,0.96490573,0.00000000,0.00000000,0.00000000,0.81842189,0.79523394,0.80662842,0.94800914
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.91524426,0.97151655,0.92440061,0.96490573,0.89337176,0.77500000,0.82998661,0.90020012,0.92440061,0.90873587,0.89817019
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95150115,0.96843726,0.94892109,0.96267109,0.00000000,0.00000000,0.00000000,0.81070582,0.79076757,0.80050412,0.93934380
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.77928193,0.96843726,0.82743424,0.96267109,0.70400000,0.22000000,0.33523810,0.78019706,0.82743424,0.76977665,0.75275787
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.96535797,0.97613549,0.96789804,0.97664804,0.00000000,0.00000000,0.00000000,0.81982816,0.80658170,0.81294920,0.95668134
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88463802,0.97613549,0.91033170,0.97664804,0.89247312,0.62250000,0.73343152,0.88006342,0.91033170,0.88360354,0.86520207
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96227868,0.96997691,0.96526536,0.97151536,0.00000000,0.00000000,0.00000000,0.80836417,0.80438780,0.80594810,0.95263456
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.83814008,0.96997691,0.87688780,0.97151536,0.89230769,0.43500000,0.58487395,0.83478924,0.87688780,0.82555550,0.81820765
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.97305620,0.98229407,0.97450768,0.98200768,0.00000000,0.00000000,0.00000000,0.81896323,0.81208973,0.81533588,0.96611112
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.81400824,0.98229407,0.86167307,0.98200768,0.85611511,0.29750000,0.44155844,0.81700402,0.86167307,0.79532229,0.79628189
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95227098,0.97382602,0.95079609,0.96954609,0.00000000,0.00000000,0.00000000,0.81410532,0.79233007,0.80287814,0.94062861
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.87934079,0.97382602,0.89941341,0.96954609,0.85953177,0.64250000,0.73533619,0.86457103,0.89941341,0.87082091,0.85821821
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94765204,0.96997691,0.94064595,0.96467877,0.00000000,0.00000000,0.00000000,0.81171717,0.78387162,0.79703838,0.93485189
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.81106533,0.96997691,0.84512162,0.96467877,0.76963351,0.36750000,0.49746193,0.84478464,0.84512162,0.81238769,0.79108936
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.96458814,0.97844496,0.96714036,0.97901536,0.00000000,0.00000000,0.00000000,0.81934471,0.80595030,0.81239939,0.95574115
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.80164803,0.97844496,0.85136697,0.97901536,0.77857143,0.27250000,0.40370370,0.82578716,0.85136697,0.79476862,0.78612798
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96612779,0.97074673,0.96839036,0.97214036,0.00000000,0.00000000,0.00000000,0.80676910,0.80699197,0.80648450,0.95726545
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74690995,0.97074673,0.81282530,0.97214036,0.51851852,0.03500000,0.06557377,0.72256183,0.81282530,0.70330431,0.73239642
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.96227868,0.98152425,0.96477304,0.98138268,0.00000000,0.00000000,0.00000000,0.81894215,0.80397754,0.81116383,0.95296549
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.84755739,0.98152425,0.88314420,0.98138268,0.84821429,0.47500000,0.60897436,0.85280185,0.88314420,0.84812950,0.82493229
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.95688992,0.97074673,0.95579609,0.96704609,0.00000000,0.00000000,0.00000000,0.81597872,0.79649674,0.80604098,0.94615645
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.80694526,0.97074673,0.84983007,0.96704609,0.77575758,0.32000000,0.45309735,0.80346451,0.84983007,0.79158043,0.78463690
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.95381062,0.96689761,0.95079609,0.96204609,0.00000000,0.00000000,0.00000000,0.81294812,0.79233007,0.80247315,0.94215482
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.79752796,0.96689761,0.84066341,0.96204609,0.76315789,0.29000000,0.42028986,0.81360000,0.84066341,0.79478152,0.77240020
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.97228637,0.98306390,0.96869413,0.97941341,0.00000000,0.00000000,0.00000000,0.82646584,0.80724511,0.81668500,0.96513465
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.85403178,0.98306390,0.88557845,0.97941341,0.87850467,0.47000000,0.61237785,0.86852984,0.88557845,0.86008378,0.83258730
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.97459584,0.98306390,0.97553073,0.98240573,0.00000000,0.00000000,0.00000000,0.81665548,0.81294227,0.81465256,0.96787554
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.77045321,0.98306390,0.83085894,0.98240573,0.78181818,0.10750000,0.18901099,0.80030565,0.83085894,0.75651359,0.75451473
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.95842956,0.98229407,0.96164804,0.98102304,0.00000000,0.00000000,0.00000000,0.81969078,0.80137337,0.81022516,0.94826382
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.86756916,0.98229407,0.89679004,0.98102304,0.85767790,0.57250000,0.68665667,0.87353220,0.89679004,0.86665787,0.84842759
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.94688222,0.97459584,0.94543645,0.96842877,0.00000000,0.00000000,0.00000000,0.81759086,0.78786371,0.80229024,0.93414752
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.87992937,0.97459584,0.89828038,0.96842877,0.84394904,0.66250000,0.74229692,0.87142797,0.89828038,0.87713466,0.85754231
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.96150885,0.97151655,0.95369413,0.96280377,0.00000000,0.00000000,0.00000000,0.81644077,0.79474511,0.80535239,0.95154739
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.78811065,0.97151655,0.83224511,0.96280377,0.75630252,0.22500000,0.34682081,0.80577849,0.83224511,0.78070326,0.76473826
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.94166667,0.96875000,0.94062500,0.96500000,0.00000000,0.00000000,0.00000000,0.81504179,0.78385417,0.79874243,0.92877073
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.92663860,0.96875000,0.92212024,0.96500000,0.74297189,0.82959641,0.78389831,0.91107984,0.92212024,0.91389712,0.91212873
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.96111111,0.97500000,0.95875000,0.97125000,0.00000000,0.00000000,0.00000000,0.82036888,0.79895833,0.80943567,0.95187898
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.93385448,0.97500000,0.92526626,0.97125000,0.80094787,0.75784753,0.77880184,0.91574614,0.92526626,0.91853745,0.92039127
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.95902778,0.97500000,0.95500000,0.96937500,0.00000000,0.00000000,0.00000000,0.81484382,0.79583333,0.80516434,0.94897438
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.89536981,0.97500000,0.87655082,0.96937500,0.75524476,0.48430493,0.59016393,0.87315044,0.87655082,0.86290326,0.87671819
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.95000000,0.95833333,0.94875000,0.95625000,0.00000000,0.00000000,0.00000000,0.79686975,0.79062500,0.79273248,0.93781170
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.86289838,0.95833333,0.84069974,0.95625000,0.71276596,0.30044843,0.42271293,0.84769001,0.84069974,0.82443212,0.83937302
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.95347222,0.95902778,0.94812500,0.95312500,0.00000000,0.00000000,0.00000000,0.79377726,0.79010417,0.79151051,0.94164661
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.83283223,0.95902778,0.79907278,0.95312500,0.42857143,0.05381166,0.09561753,0.78213645,0.79907278,0.75981664,0.80746236
