dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97738177,0.98875942,0.97701187,0.98955307,0.00000000,0.00000000,0.00000000,0.83190026,0.81417656,0.82289741,0.97201046
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95057263,0.98875942,0.94000989,0.98955307,0.82745132,0.75500000,0.78923315,0.94615763,0.94000989,0.94222014,0.94040150
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96166282,0.98475751,0.95823534,0.98520461,0.00000000,0.00000000,0.00000000,0.83181302,0.79852945,0.81462843,0.95263424
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.96127134,0.98475751,0.95852945,0.98520461,0.89010042,0.96000000,0.92302636,0.96651577,0.95852945,0.96141197,0.95315575
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95889145,0.98752887,0.95538687,0.98780307,0.00000000,0.00000000,0.00000000,0.83224899,0.79615573,0.81358073,0.94939050
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95691583,0.98752887,0.95457239,0.98780307,0.87907549,0.95050000,0.91260925,0.96555622,0.95457239,0.95920015,0.94775089
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95765974,0.98367975,0.95410684,0.98425768,0.00000000,0.00000000,0.00000000,0.83201262,0.79508904,0.81295612,0.94790319
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.91336080,0.98367975,0.92333904,0.98425768,0.85217181,0.76950000,0.80641956,0.91203507,0.92333904,0.91136792,0.89688692
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97428791,0.99153195,0.96923534,0.99160615,0.00000000,0.00000000,0.00000000,0.83236635,0.80769611,0.81967581,0.96790545
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96680400,0.99153195,0.96477945,0.99160615,0.92099644,0.94250000,0.93066414,0.96854043,0.96477945,0.96540076,0.95985029
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95972222,0.98416667,0.95500000,0.98362500,0.00000000,0.00000000,0.00000000,0.83091108,0.79583333,0.81281073,0.95067054
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.96259771,0.98416667,0.95936099,0.98362500,0.79997752,0.98116592,0.88088159,0.96194009,0.95936099,0.95849931,0.95543942
