dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97601097,0.98629198,0.97517109,0.98700768,0.00000000,0.00000000,0.00000000,0.83142857,0.81264257,0.82187100,0.97033833
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94032550,0.98629198,0.92597591,0.98700768,0.80473373,0.68000000,0.73712737,0.93533040,0.92597591,0.92902007,0.92817401
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98012337,0.98766278,0.98039804,0.98825768,0.00000000,0.00000000,0.00000000,0.83280757,0.81699837,0.82478954,0.97535571
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95358650,0.98766278,0.94366504,0.98825768,0.84444444,0.76000000,0.80000000,0.95029069,0.94366504,0.94613692,0.94401602
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97806717,0.99040439,0.97803073,0.99125000,0.00000000,0.00000000,0.00000000,0.83238636,0.81502561,0.82358748,0.97284584
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95599759,0.99040439,0.94752561,0.99125000,0.83684211,0.79500000,0.81538462,0.95201083,0.94752561,0.94930031,0.94686075
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97326936,0.99040439,0.97217877,0.99125000,0.00000000,0.00000000,0.00000000,0.82954545,0.81014898,0.81970043,0.96694679
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94635322,0.99040439,0.93514898,0.99125000,0.81081081,0.75000000,0.77922078,0.94062574,0.93514898,0.93701196,0.93537051
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97943797,0.98903358,0.97928073,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.81606727,0.82453859,0.97456563
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95660036,0.98903358,0.94773394,0.99000000,0.84042553,0.79000000,0.81443299,0.95253046,0.94773394,0.94963142,0.94758622
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.96227868,0.98383372,0.95914804,0.98500000,0.00000000,0.00000000,0.00000000,0.83174762,0.79929004,0.81500783,0.95330905
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.96880518,0.98383372,0.96429004,0.98500000,0.89592760,0.99000000,0.94061758,0.97714180,0.96429004,0.96987453,0.96226444
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96304850,0.97305620,0.96329609,0.97638268,0.00000000,0.00000000,0.00000000,0.83280922,0.80274674,0.81736216,0.95443431
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93761036,0.97305620,0.94524674,0.97638268,0.87917738,0.85500000,0.86692015,0.93373913,0.94524674,0.93741085,0.92453151
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96766744,0.98845266,0.96477304,0.98825768,0.00000000,0.00000000,0.00000000,0.83121769,0.80397754,0.81722063,0.95975414
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96645085,0.98845266,0.96439420,0.98825768,0.91016548,0.96250000,0.93560146,0.96761864,0.96439420,0.96576286,0.95913092
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95688992,0.98460354,0.95240573,0.98200768,0.00000000,0.00000000,0.00000000,0.83164850,0.79367144,0.81197789,0.94693993
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.96586227,0.98460354,0.95950477,0.98200768,0.88053097,0.99500000,0.93427230,0.97613641,0.95950477,0.96666511,0.95886240
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95842956,0.99384142,0.95155377,0.99437500,0.00000000,0.00000000,0.00000000,0.83164207,0.79296148,0.81157365,0.94873377
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.96762802,0.99384142,0.95921148,0.99437500,0.88470067,0.99750000,0.93772033,0.97794287,0.95921148,0.96734650,0.96098946
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.95612009,0.98614319,0.95217877,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.79348231,0.81278763,0.94611169
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.95114773,0.98614319,0.94931564,0.98687500,0.86774942,0.93500000,0.90012034,0.95504202,0.94931564,0.95169954,0.94051288
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.95996921,0.97998460,0.96115573,0.98312500,0.00000000,0.00000000,0.00000000,0.83225108,0.80096311,0.81615817,0.95078858
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.96880518,0.97998460,0.96721311,0.98312500,0.88666667,0.99750000,0.93882353,0.97949976,0.96721311,0.97236878,0.96248454
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.96381832,0.99538106,0.96089036,0.99437500,0.00000000,0.00000000,0.00000000,0.83126322,0.80074197,0.81551847,0.95524475
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.97057092,0.99538106,0.96615864,0.99437500,0.89819005,0.99250000,0.94299287,0.97939906,0.96615864,0.97190638,0.96444064
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.96150885,0.98460354,0.95816341,0.98388268,0.00000000,0.00000000,0.00000000,0.83279915,0.79846951,0.81514245,0.95247226
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.93290171,0.98460354,0.93846951,0.98388268,0.87272727,0.84000000,0.85605096,0.93987188,0.93846951,0.93884425,0.91819302
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.95304080,0.99153195,0.94454609,0.99075768,0.00000000,0.00000000,0.00000000,0.83159818,0.78712174,0.80829695,0.94233523
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.96115362,0.99153195,0.95170507,0.99075768,0.87004405,0.98750000,0.92505855,0.97396839,0.95170507,0.96118179,0.95312337
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.96150885,0.98537336,0.95704609,0.98513268,0.00000000,0.00000000,0.00000000,0.83333333,0.79753841,0.81488943,0.95251553
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.92113008,0.98537336,0.92920507,0.98513268,0.86338798,0.79000000,0.82506527,0.91636176,0.92920507,0.91814524,0.90537844
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.95304080,0.97613549,0.95123254,0.97950768,0.00000000,0.00000000,0.00000000,0.83225806,0.79269378,0.81178074,0.94254056
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.91995291,0.97613549,0.92811045,0.97950768,0.84415584,0.81250000,0.82802548,0.91895351,0.92811045,0.91844596,0.90378672
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.96458814,0.98691301,0.96214036,0.98700768,0.00000000,0.00000000,0.00000000,0.83115235,0.80178364,0.81600676,0.95613741
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.88228370,0.98691301,0.90428364,0.98700768,0.85121107,0.61500000,0.71407837,0.88860615,0.90428364,0.88198952,0.86398050
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.95458045,0.98614319,0.95217877,0.98513268,0.00000000,0.00000000,0.00000000,0.83168228,0.79348231,0.81205900,0.94419185
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.91524426,0.98614319,0.92473231,0.98513268,0.84677419,0.78750000,0.81606218,0.91267632,0.92473231,0.91362607,0.89829673
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.95458045,0.98383372,0.94793645,0.98450768,0.00000000,0.00000000,0.00000000,0.83163705,0.78994704,0.81004465,0.94413061
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.92819305,0.98383372,0.93036371,0.98450768,0.85532995,0.84250000,0.84886650,0.92357760,0.93036371,0.92463282,0.91299224
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.97613549,0.99384142,0.97003841,0.99388268,0.00000000,0.00000000,0.00000000,0.83280757,0.80836534,0.82024464,0.97013791
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.94702766,0.99384142,0.95044867,0.99388268,0.91913747,0.85250000,0.88456550,0.94379400,0.95044867,0.94414297,0.93625964
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.97613549,0.99230177,0.97490573,0.99263268,0.00000000,0.00000000,0.00000000,0.83225806,0.81242144,0.82221632,0.97015418
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.95644497,0.99230177,0.96117144,0.99263268,0.92248062,0.89250000,0.90724269,0.95313022,0.96117144,0.95557536,0.94726987
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.97921478,0.98922248,0.97638268,0.98937500,0.00000000,0.00000000,0.00000000,0.83129848,0.81365223,0.82230364,0.97391397
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.97998823,0.98922248,0.97740223,0.98937500,0.94019139,0.98250000,0.96088020,0.98268193,0.97740223,0.97987922,0.97560492
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.96997691,0.98922248,0.96642109,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.80535091,0.81904683,0.96267390
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.97351383,0.98922248,0.96951757,0.98937500,0.90993072,0.98500000,0.94597839,0.97875469,0.96951757,0.97372967,0.96784663
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.96997691,0.99307159,0.95842877,0.99276536,0.00000000,0.00000000,0.00000000,0.83213429,0.79869064,0.81456761,0.96264729
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.97704532,0.99307159,0.96535731,0.99276536,0.91324201,1.00000000,0.95465394,0.98434129,0.96535731,0.97367660,0.97227036
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.96388889,0.98194444,0.95937500,0.98062500,0.00000000,0.00000000,0.00000000,0.83003463,0.79947917,0.81433495,0.95555263
