dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92350925,0.98889650,0.92394832,0.98957961,0.00000000,0.00000000,0.00000000,0.83237302,0.76995694,0.79968567,0.90958468
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93236890,0.98889650,0.93612360,0.98957961,0.64431119,0.99700000,0.78243839,0.93925866,0.93612360,0.92985685,0.92153734
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92517321,0.98398768,0.92798254,0.98445461,0.00000000,0.00000000,0.00000000,0.83226242,0.77331878,0.80151594,0.91059342
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.93608005,0.98398768,0.93523545,0.98445461,0.80184594,0.97150000,0.87849055,0.95464173,0.93523545,0.94229376,0.92351669
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91978445,0.98706697,0.92111941,0.98742807,0.00000000,0.00000000,0.00000000,0.83082498,0.76759951,0.79767215,0.90434165
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92089464,0.98706697,0.92168284,0.98742807,0.78438641,0.92450000,0.84811897,0.93669751,0.92168284,0.92547393,0.90499909
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93010008,0.98352579,0.93352793,0.98403422,0.00000000,0.00000000,0.00000000,0.83174457,0.77793994,0.80373284,0.91610517
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.78563861,0.98352579,0.83068994,0.98403422,0.46503681,0.31650000,0.36205259,0.80898246,0.83068994,0.79177257,0.76470869
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92779061,0.99153195,0.93080098,0.99160615,0.00000000,0.00000000,0.00000000,0.83270304,0.77566748,0.80287016,0.91361304
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93914067,0.99153195,0.93833415,0.99160615,0.80766911,0.97600000,0.88372419,0.95804756,0.93833415,0.94539596,0.92726781
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90819444,0.98444444,0.91325000,0.98375000,0.00000000,0.00000000,0.00000000,0.83122203,0.76104167,0.79425196,0.89248674
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91942273,0.98444444,0.92636304,0.98375000,0.63041298,0.99192825,0.77053058,0.93445105,0.92636304,0.92176479,0.90694970
