dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91747772,0.98889650,0.91588827,0.98938268,0.00000000,0.00000000,0.00000000,0.83333333,0.76324022,0.79653792,0.90287973
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92742616,0.98889650,0.92990689,0.98938268,0.62516260,1.00000000,0.76907877,0.93752710,0.92990689,0.92471772,0.91609560
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91793687,0.98229407,0.91911592,0.98246997,0.00000000,0.00000000,0.00000000,0.83039619,0.76592993,0.79647391,0.90226016
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.87781048,0.98229407,0.89051327,0.98246997,0.73320042,0.74750000,0.73366599,0.89686253,0.89051327,0.88338137,0.85595142
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91963048,0.98367975,0.92143017,0.98433729,0.00000000,0.00000000,0.00000000,0.82996307,0.76785847,0.79728409,0.90412977
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92018835,0.98367975,0.92152514,0.98433729,0.78471731,0.92200000,0.84719784,0.93596335,0.92152514,0.92465300,0.90421109
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92471132,0.98414165,0.92802444,0.98431844,0.00000000,0.00000000,0.00000000,0.83043437,0.77335370,0.80061274,0.90995777
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88569747,0.98414165,0.89985370,0.98431844,0.76056177,0.75900000,0.75710720,0.89800464,0.89985370,0.89016701,0.86393668
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91562741,0.99199384,0.91661243,0.99193575,0.00000000,0.00000000,0.00000000,0.83184552,0.76384369,0.79598996,0.89995726
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.92984108,0.99199384,0.92651036,0.99193575,0.78424168,0.97600000,0.86929553,0.95313986,0.92651036,0.93609634,0.91643120
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90888889,0.98611111,0.91350000,0.98525000,0.00000000,0.00000000,0.00000000,0.83078543,0.76125000,0.79417345,0.89319220
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91906194,0.98611111,0.92537556,0.98525000,0.63125835,0.98475336,0.76894135,0.93259644,0.92537556,0.92062818,0.90634574
