dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86141193,0.98889650,0.86072626,0.98938268,0.00000000,0.00000000,0.00000000,0.83333333,0.71727188,0.77042040,0.84365960
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87811935,0.98889650,0.88393855,0.98938268,0.49852674,1.00000000,0.66498090,0.91642112,0.88393855,0.88125055,0.86313067
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.85973826,0.98229407,0.86316620,0.98234497,0.00000000,0.00000000,0.00000000,0.83226524,0.71930517,0.77116029,0.84058591
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88028252,0.98229407,0.87713850,0.98234497,0.67736077,0.94700000,0.78921841,0.92592991,0.87713850,0.89275630,0.85914005
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86851424,0.98367975,0.86976466,0.98433729,0.00000000,0.00000000,0.00000000,0.83179891,0.72480389,0.77411978,0.84938085
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89393761,0.98367975,0.88755389,0.98433729,0.69785125,0.97650000,0.81341533,0.94042771,0.88755389,0.90551789,0.87578350
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87605851,0.98383372,0.87731006,0.98406844,0.00000000,0.00000000,0.00000000,0.83138669,0.73109171,0.77753170,0.85715620
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88346086,0.98383372,0.88234171,0.98406844,0.69471277,0.90750000,0.78578231,0.91868672,0.88234171,0.89262098,0.86160806
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86204773,0.99199384,0.86397346,0.99193575,0.00000000,0.00000000,0.00000000,0.83246012,0.71997789,0.77150840,0.84278104
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89252501,0.99199384,0.88522789,0.99193575,0.68999937,0.99150000,0.81360526,0.94396085,0.88522789,0.90538827,0.87478140
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.87041667,0.98611111,0.87537500,0.98525000,0.00000000,0.00000000,0.00000000,0.83223363,0.72947917,0.77713018,0.85248526
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88767288,0.98611111,0.89599636,0.98525000,0.54623158,0.99910314,0.70609300,0.92304547,0.89599636,0.89470873,0.87283442
