dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96189171,0.98684030,0.96367458,0.98671997,0.00000000,0.00000000,0.00000000,0.82956951,0.80306215,0.81590549,0.95342140
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95117541,0.98684030,0.94856215,0.98671997,0.77632523,0.87300000,0.82068737,0.94052483,0.94856215,0.94295299,0.94146278
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95565820,0.97829099,0.95823534,0.97774651,0.00000000,0.00000000,0.00000000,0.82170588,0.79852945,0.80970085,0.94517288
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.87934079,0.97829099,0.90377945,0.97774651,0.84119398,0.63150000,0.71557840,0.88054770,0.90377945,0.87922675,0.85996848
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95488838,0.97875289,0.95687570,0.97824651,0.00000000,0.00000000,0.00000000,0.82015006,0.79739642,0.80812912,0.94423508
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89393761,0.97875289,0.91339642,0.97824651,0.86002014,0.69600000,0.75844680,0.89880171,0.91339642,0.89455480,0.87637695
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96428022,0.98029253,0.96650419,0.98012151,0.00000000,0.00000000,0.00000000,0.82262344,0.80542016,0.81372596,0.95554416
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83884638,0.98029253,0.87733682,0.98012151,0.82421877,0.43150000,0.56328529,0.85246763,0.87733682,0.83687042,0.82044724
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96551193,0.98352579,0.96456913,0.98249651,0.00000000,0.00000000,0.00000000,0.82320811,0.80380761,0.81309618,0.95712603
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.91288994,0.98352579,0.92747428,0.98249651,0.89487838,0.74200000,0.78826651,0.91809031,0.92747428,0.91172244,0.89949394
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95027778,0.97888889,0.95100000,0.97762500,0.00000000,0.00000000,0.00000000,0.82264025,0.79250000,0.80701435,0.93926763
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90390860,0.97888889,0.89324738,0.97762500,0.66614609,0.60448430,0.62474564,0.88255762,0.89324738,0.87918017,0.88690737
