dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87690199,0.98848526,0.87524511,0.98950000,0.00000000,0.00000000,0.00000000,0.83333333,0.72937093,0.77768057,0.85936585
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89162146,0.98848526,0.89587093,0.98950000,0.52715024,0.99900000,0.68998856,0.92106916,0.89587093,0.89262703,0.87717680
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86297152,0.98137028,0.86545391,0.98220461,0.00000000,0.00000000,0.00000000,0.83044083,0.72121159,0.77152786,0.84354897
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89052384,0.98137028,0.88454493,0.98220461,0.69108970,0.98000000,0.81040352,0.93800647,0.88454493,0.90279201,0.87190778
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87128560,0.98675905,0.87223045,0.98698115,0.00000000,0.00000000,0.00000000,0.83095170,0.72685871,0.77477558,0.85217713
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89793996,0.98675905,0.89094204,0.98698115,0.70533291,0.98450000,0.82154768,0.94283887,0.89094204,0.90871790,0.88047088
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87713626,0.98429561,0.88041201,0.98523115,0.00000000,0.00000000,0.00000000,0.83170889,0.73367668,0.77908195,0.85861255
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.85756327,0.98429561,0.86601001,0.98523115,0.66426026,0.79400000,0.71944981,0.89097110,0.86601001,0.86807219,0.83081937
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86851424,0.99060816,0.87350279,0.99040922,0.00000000,0.00000000,0.00000000,0.83200483,0.72791899,0.77593066,0.84976823
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89593879,0.99060816,0.89208566,0.99040922,0.70031241,0.98500000,0.81819047,0.94293112,0.89208566,0.90945871,0.87838602
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86541667,0.98027778,0.86875000,0.97887500,0.00000000,0.00000000,0.00000000,0.83133129,0.72395833,0.77356320,0.84725294
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88238124,0.98027778,0.88927971,0.97887500,0.53686324,0.99192825,0.69609008,0.91894591,0.88927971,0.88867388,0.86692027
