dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98917066,0.98944483,0.99002654,0.99027654,0.00000000,0.00000000,0.00000000,0.82676325,0.82502211,0.82583288,0.98639936
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88896926,0.98944483,0.85135545,0.99027654,0.79153298,0.15800000,0.24909045,0.87683082,0.85135545,0.82382863,0.87110894
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98352579,0.98568129,0.98378422,0.98585615,0.00000000,0.00000000,0.00000000,0.85764965,0.85257460,0.85501963,0.97912215
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75291348,0.98568129,0.82048685,0.98585615,0.31372549,0.00400000,0.00776842,0.70540907,0.82048685,0.71444218,0.74161949
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98645112,0.98737490,0.98680307,0.98755307,0.00000000,0.00000000,0.00000000,0.82554560,0.82233589,0.82386984,0.98281544
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.77433785,0.98737490,0.83658589,0.98755307,0.22281469,0.08550000,0.11929816,0.70652855,0.83658589,0.74914945,0.76022593
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98475751,0.98491147,0.98563268,0.98575768,0.00000000,0.00000000,0.00000000,0.85575824,0.85421916,0.85490416,0.98065911
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75715127,0.98491147,0.82436057,0.98575768,0.69801948,0.01800000,0.03487046,0.81138599,0.82436057,0.73172688,0.75955631
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99291763,0.99399538,0.99342807,0.99440154,0.00000000,0.00000000,0.00000000,0.82948115,0.82785673,0.82863640,0.99100196
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.77151265,0.99399538,0.83660673,0.99440154,0.81976608,0.05250000,0.09784001,0.82140391,0.83660673,0.74475439,0.76997905
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98541667,0.98680556,0.98487500,0.98637500,0.00000000,0.00000000,0.00000000,0.82575837,0.82072917,0.82317135,0.98167237
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86169573,0.98680556,0.83119254,0.98637500,0.22433155,0.06278027,0.09699418,0.77620436,0.83119254,0.79073037,0.84227995
