dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98766278,0.98766278,0.98825768,0.98825768,0.00000000,0.00000000,0.00000000,0.82643645,0.82354807,0.82493922,0.98450688
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87763713,0.98766278,0.83604807,0.98825768,0.68181818,0.07500000,0.13513514,0.85170972,0.83604807,0.80079055,0.85796461
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82618703,0.82447917,0.82527989,0.98535262
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87341772,0.98834818,0.83031250,0.98937500,0.63636364,0.03500000,0.06635071,0.83206418,0.83031250,0.78262518,0.85381537
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82734591,0.82656250,0.82692256,0.98878859
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88065099,0.99108979,0.83906250,0.99187500,0.83333333,0.07500000,0.13761468,0.88191622,0.83906250,0.80460588,0.86242436
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98903358,0.99040439,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82635360,0.82500000,0.82558333,0.98624907
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90657022,0.99040439,0.87583333,0.99125000,0.89705882,0.30500000,0.45522388,0.90991160,0.87583333,0.86675200,0.89057501
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.98971899,0.99062500,0.99062500,0.00000000,0.00000000,0.00000000,0.82749327,0.82552083,0.82643942,0.98709961
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90657022,0.98971899,0.87552083,0.99062500,0.90909091,0.30000000,0.45112782,0.90855238,0.87552083,0.86436956,0.89076533
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98383372,0.98375000,0.98500000,0.00000000,0.00000000,0.00000000,0.82508412,0.81979167,0.82236540,0.97847528
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75338434,0.98383372,0.82104167,0.98500000,0.33333333,0.00750000,0.01466993,0.71340673,0.82104167,0.72394972,0.73956162
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97921478,0.97921478,0.98200768,0.98200768,0.00000000,0.00000000,0.00000000,0.82305599,0.81833973,0.82044980,0.97382677
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74867569,0.97921478,0.81833973,0.98200768,0.00000000,0.00000000,0.00000000,0.64335783,0.81833973,0.70592522,0.73618908
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98460354,0.98999230,0.98450768,0.98888268,0.00000000,0.00000000,0.00000000,0.82730779,0.82042307,0.82381292,0.98046406
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75279576,0.98999230,0.82042307,0.98888268,0.00000000,0.00000000,0.00000000,0.66036782,0.82042307,0.71329252,0.74612358
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98537336,0.98537336,0.98263268,0.98263268,0.00000000,0.00000000,0.00000000,0.98455502,0.98263268,0.98354755,0.98134857
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75397293,0.98537336,0.81927723,0.98263268,1.00000000,0.00250000,0.00498753,0.79961089,0.81927723,0.70622360,0.73980764
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.98999230,0.98602304,0.99075768,0.00000000,0.00000000,0.00000000,0.82824534,0.82168587,0.82492247,0.98149608
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75573867,0.98999230,0.82335254,0.99075768,0.23529412,0.01000000,0.01918465,0.71030208,0.82335254,0.72281983,0.74641551
