dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91569568,0.98821110,0.91396788,0.98836383,0.00000000,0.00000000,0.00000000,0.83333333,0.76163990,0.79571613,0.90088381
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92573840,0.98821110,0.92813990,0.98836383,0.62010165,0.99900000,0.76486689,0.93657677,0.92813990,0.92314196,0.91418013
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91193226,0.97767513,0.91349860,0.97772765,0.00000000,0.00000000,0.00000000,0.82732966,0.76124884,0.79243671,0.89539693
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89476162,0.97767513,0.90108217,0.97772765,0.75087804,0.83900000,0.79086333,0.91147220,0.90108217,0.89958408,0.87414210
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91239415,0.97967667,0.91297975,0.97930726,0.00000000,0.00000000,0.00000000,0.82596145,0.76081646,0.79142602,0.89573551
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89699823,0.97967667,0.90198312,0.97930726,0.75991479,0.84700000,0.80008788,0.91008789,0.90198312,0.89990402,0.87625701
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91655119,0.98075443,0.91936173,0.98107612,0.00000000,0.00000000,0.00000000,0.82736430,0.76613478,0.79513732,0.90054983
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87039435,0.98075443,0.88621811,0.98107612,0.73603925,0.72050000,0.72584950,0.88647637,0.88621811,0.87586748,0.84617846
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.90377213,0.98645112,0.90611243,0.98532612,0.00000000,0.00000000,0.00000000,0.82955159,0.75509369,0.79008466,0.88659679
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90206004,0.98645112,0.90451036,0.98532612,0.74567555,0.89650000,0.81306416,0.92290883,0.90451036,0.90804417,0.88281519
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90583333,0.97916667,0.91000000,0.97887500,0.00000000,0.00000000,0.00000000,0.82804244,0.75833333,0.79121145,0.88973415
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88069753,0.97916667,0.87806428,0.97887500,0.53785222,0.71838565,0.61197420,0.87931811,0.87806428,0.86967510,0.85964287
