dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92254969,0.98834818,0.92051327,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.76709439,0.79876891,0.90836652
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93188668,0.98834818,0.93376106,0.98839036,0.63897764,1.00000000,0.77972710,0.93982961,0.93376106,0.92872343,0.92095737
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90404387,0.98903358,0.89969972,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.74974977,0.78912700,0.88802441
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91561181,0.98903358,0.91641643,0.98901536,0.58823529,1.00000000,0.74074074,0.93137255,0.91641643,0.91258379,0.90298625
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91226868,0.98766278,0.91113827,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.75928189,0.79452504,0.89704889
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92284509,0.98766278,0.92594856,0.98776536,0.60975610,1.00000000,0.75757576,0.93495935,0.92594856,0.92078767,0.91096378
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93008910,0.98834818,0.93181913,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.77651595,0.80373796,0.91696648
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93791441,0.98834818,0.94234928,0.98888268,0.66112957,0.99500000,0.79441118,0.94298741,0.94234928,0.93587987,0.92770586
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90952707,0.98766278,0.90666899,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.75555750,0.79242175,0.89401274
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92043400,0.98766278,0.92222416,0.98776536,0.60240964,1.00000000,0.75187970,0.93373494,0.92222416,0.91773503,0.90828737
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.89838337,0.97767513,0.90108240,0.97740573,0.00000000,0.00000000,0.00000000,0.83016878,0.75090200,0.78804941,0.88078869
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.82695703,0.97767513,0.85006867,0.97740573,0.64850136,0.59500000,0.62059974,0.85547939,0.85006867,0.83664780,0.79580997
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92378753,0.97074673,0.92416899,0.97339036,0.00000000,0.00000000,0.00000000,0.83016878,0.77014083,0.79870809,0.90872312
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93702178,0.97074673,0.93347416,0.97339036,0.80327869,0.98000000,0.88288288,0.95616894,0.93347416,0.94186815,0.92472365
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91993841,0.98537336,0.92324022,0.98526536,0.00000000,0.00000000,0.00000000,0.82306397,0.76936685,0.79496480,0.90392376
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.90876986,0.98537336,0.91478352,0.98526536,0.78781038,0.87250000,0.82799526,0.91667661,0.91478352,0.91130814,0.88998743
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91685912,0.97382602,0.91591131,0.97352304,0.00000000,0.00000000,0.00000000,0.82900433,0.76325943,0.79461349,0.90078548
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90994703,0.97382602,0.91117609,0.97352304,0.77342048,0.88750000,0.82654249,0.92119822,0.91117609,0.91241067,0.89127620
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.90069284,0.98075443,0.90309008,0.97905377,0.00000000,0.00000000,0.00000000,0.82424242,0.75257507,0.78584778,0.88276360
