dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98286498,0.98697738,0.98191341,0.98763268,0.00000000,0.00000000,0.00000000,0.82790859,0.81826117,0.82302435,0.97857312
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92284509,0.98697738,0.89909451,0.98763268,0.85087719,0.48500000,0.61783439,0.91941336,0.89909451,0.89981389,0.90824188
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98629198,0.98697738,0.98651536,0.98714036,0.00000000,0.00000000,0.00000000,0.82817596,0.82209614,0.82505524,0.98281837
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93068113,0.98697738,0.90959614,0.98714036,0.91304348,0.52500000,0.66666667,0.93180710,0.90959614,0.91110137,0.91762020
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99138268,0.99138268,0.00000000,0.00000000,0.00000000,0.82928366,0.82615223,0.82769993,0.98879404
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93128391,0.99108979,0.90865223,0.99138268,0.94285714,0.49500000,0.64918033,0.93801936,0.90865223,0.91050858,0.91891294
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98697738,0.98903358,0.98714036,0.99000000,0.00000000,0.00000000,0.00000000,0.82683043,0.82261697,0.82463810,0.98369670
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91681736,0.98903358,0.89011697,0.99000000,0.88043478,0.40500000,0.55479452,0.91500047,0.89011697,0.88647948,0.90182613
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.99040439,0.98950768,0.99075768,0.00000000,0.00000000,0.00000000,0.82940786,0.82458973,0.82695434,0.98625200
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94032550,0.99040439,0.92208973,0.99075768,0.92125984,0.58500000,0.71559633,0.94088003,0.92208973,0.92442298,0.92899376
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97921478,0.98460354,0.97990573,0.98526536,0.00000000,0.00000000,0.00000000,0.82580372,0.81658811,0.82115283,0.97373773
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.85756327,0.98460354,0.89367144,0.98526536,0.91584158,0.46250000,0.61461794,0.85465200,0.89367144,0.84901329,0.83977313
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97074673,0.97305620,0.97352304,0.97602304,0.00000000,0.00000000,0.00000000,0.82263110,0.81126920,0.81669468,0.96333685
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.75985874,0.97305620,0.82376920,0.97602304,0.55555556,0.07500000,0.13215859,0.75281532,0.82376920,0.72846013,0.74719146
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98152425,0.98537336,0.98214036,0.98526536,0.00000000,0.00000000,0.00000000,0.82623296,0.81845030,0.82230519,0.97663427
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.83225427,0.98537336,0.87636697,0.98526536,0.90259740,0.34750000,0.50180505,0.83593243,0.87636697,0.82512339,0.81215311
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97151655,0.98152425,0.97026536,0.98026536,0.00000000,0.00000000,0.00000000,0.82636451,0.80855447,0.81734300,0.96424647
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75691583,0.98152425,0.81855447,0.98026536,0.46153846,0.06000000,0.10619469,0.74836609,0.81855447,0.74045010,0.73772804
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97767513,0.98229407,0.97566341,0.98178073,0.00000000,0.00000000,0.00000000,0.82759879,0.81305284,0.82025732,0.97186990
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.78693349,0.98229407,0.84096951,0.98178073,0.75280899,0.16750000,0.27402863,0.79509672,0.84096951,0.76674514,0.76992109
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97998460,0.98845266,0.98026536,0.98875000,0.00000000,0.00000000,0.00000000,0.82764975,0.81688780,0.82221629,0.97476032
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93819894,0.98845266,0.95063780,0.98875000,0.94411765,0.80250000,0.86756757,0.94678249,0.95063780,0.94689719,0.92584094
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96997691,0.97382602,0.97401536,0.97776536,0.00000000,0.00000000,0.00000000,0.82076806,0.81167947,0.81599905,0.96233533
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.93113596,0.97382602,0.94584614,0.97776536,0.93063584,0.80500000,0.86327078,0.91927240,0.94584614,0.92793689,0.91775449
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98383372,0.98537336,0.98401536,0.98526536,0.00000000,0.00000000,0.00000000,0.82688497,0.82001280,0.82341112,0.97953746
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.93819894,0.98537336,0.95167947,0.98526536,0.96048632,0.79000000,0.86694102,0.93685887,0.95167947,0.94106878,0.92651135
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98229407,0.98614319,0.97977304,0.98589036,0.00000000,0.00000000,0.00000000,0.82659263,0.81647754,0.82148346,0.97759910
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.92230724,0.98614319,0.93772754,0.98589036,0.95098039,0.72750000,0.82436261,0.91474648,0.93772754,0.92177390,0.90788239
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97921478,0.98537336,0.97914804,0.98589036,0.00000000,0.00000000,0.00000000,0.82756564,0.81595670,0.82169808,0.97380499
