dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96641535,0.98697738,0.96691341,0.98763268,0.00000000,0.00000000,0.00000000,0.83143939,0.80576117,0.81827146,0.95885333
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96624473,0.98697738,0.96659451,0.98763268,0.80416667,0.96500000,0.87727273,0.96177788,0.96659451,0.96266786,0.95964818
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96435915,0.99040439,0.96553073,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.80460894,0.81868030,0.95643330
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96383363,0.99040439,0.96460894,0.99075768,0.78688525,0.96000000,0.86486486,0.95896094,0.96460894,0.96014552,0.95677588
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96778615,0.99040439,0.97013268,0.99075768,0.00000000,0.00000000,0.00000000,0.83240223,0.80844390,0.82008161,0.96056018
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95599759,0.99040439,0.95344390,0.99075768,0.79090909,0.87000000,0.82857143,0.94320030,0.95344390,0.94695516,0.94720118
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96778615,0.98903358,0.96865573,0.98950768,0.00000000,0.00000000,0.00000000,0.82780847,0.80721311,0.81716773,0.96040116
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96624473,0.98903358,0.96637977,0.98950768,0.82327586,0.95500000,0.88425926,0.95738808,0.96637977,0.96059215,0.95959445
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.95887594,0.99040439,0.96102304,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.80085254,0.81665039,0.95001617
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96262809,0.99040439,0.96585254,0.99075768,0.76744186,0.99000000,0.86462882,0.95977126,0.96585254,0.96003099,0.95575552
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95688992,0.98152425,0.95757682,0.98250000,0.00000000,0.00000000,0.00000000,0.82964755,0.79798068,0.81343347,0.94686588
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93584461,0.98152425,0.94256401,0.98250000,0.86967419,0.86750000,0.86858573,0.93988034,0.94256401,0.94022887,0.92191237
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96766744,0.97151655,0.97164804,0.97477304,0.00000000,0.00000000,0.00000000,0.82632248,0.80970670,0.81768444,0.95981085
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.92642731,0.97151655,0.94179004,0.97477304,0.90313390,0.79250000,0.84420772,0.91345170,0.94179004,0.92312881,0.91195777
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96150885,0.98768283,0.96490573,0.98763268,0.00000000,0.00000000,0.00000000,0.83145009,0.80408811,0.81748449,0.95252418
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94938199,0.98768283,0.95575477,0.98763268,0.88349515,0.91000000,0.89655172,0.94612833,0.95575477,0.94996920,0.93849128
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95073133,0.97228637,0.95204609,0.97151536,0.00000000,0.00000000,0.00000000,0.82446063,0.79337174,0.80851497,0.93935365
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.86580341,0.97228637,0.89170507,0.97151536,0.81099656,0.59000000,0.68306802,0.87587554,0.89170507,0.86794256,0.84465425
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95073133,0.98614319,0.95628841,0.98651536,0.00000000,0.00000000,0.00000000,0.82530120,0.79690701,0.81042890,0.93966186
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.76927604,0.98614319,0.82690701,0.98651536,0.56250000,0.18000000,0.27272727,0.80961257,0.82690701,0.77318496,0.75508978
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97305620,0.98614319,0.97339036,0.98562500,0.00000000,0.00000000,0.00000000,0.83119658,0.81115864,0.82103247,0.96639598
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.96468511,0.98614319,0.96740864,0.98562500,0.91911765,0.93750000,0.92821782,0.96297911,0.96740864,0.96476595,0.95697633
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96304850,0.97613549,0.96839036,0.97901536,0.00000000,0.00000000,0.00000000,0.82329814,0.80699197,0.81477125,0.95410697
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.92642731,0.97613549,0.94157530,0.97901536,0.89722222,0.80750000,0.85000000,0.91363706,0.94157530,0.92326814,0.91179992
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95381062,0.98845266,0.95964036,0.98776536,0.00000000,0.00000000,0.00000000,0.82927200,0.79970030,0.81396008,0.94345528
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.87816363,0.98845266,0.90511697,0.98776536,0.81877023,0.63250000,0.71368124,0.88717492,0.90511697,0.88140860,0.85853604
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.96073903,0.98691301,0.96253841,0.98477304,0.00000000,0.00000000,0.00000000,0.83226496,0.80211534,0.81685973,0.95163801
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.94761624,0.98691301,0.95294867,0.98477304,0.87864078,0.90500000,0.89162562,0.94656251,0.95294867,0.94822342,0.93642133
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.95612009,0.98152425,0.95327863,0.98289804,0.00000000,0.00000000,0.00000000,0.82381192,0.79439886,0.80831571,0.94569314
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.92407298,0.98152425,0.93106553,0.98289804,0.87466667,0.82000000,0.84645161,0.92177998,0.93106553,0.92070784,0.90894094
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97305620,0.98999230,0.97589036,0.99062500,0.00000000,0.00000000,0.00000000,0.83134879,0.81324197,0.82213836,0.96644286
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.85226604,0.98999230,0.88990864,0.99062500,0.84792627,0.46000000,0.59643436,0.87727360,0.88990864,0.85488719,0.83700770
