dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.86771761,0.98697738,0.86362081,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.71968401,0.77173651,0.84988090
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88366486,0.98697738,0.88635068,0.98763268,0.50890585,1.00000000,0.67453626,0.91815098,0.88635068,0.88415922,0.86882131
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.84304318,0.99040439,0.84161313,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.70134427,0.76122603,0.82494550
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86196504,0.99040439,0.86801094,0.99075768,0.46620047,1.00000000,0.63593005,0.91103341,0.86801094,0.86721438,0.84618266
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.86497601,0.99040439,0.86604399,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.72170333,0.77326924,0.84715695
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88125377,0.99040439,0.88837000,0.99075768,0.50377834,1.00000000,0.67001675,0.91729639,0.88837000,0.88493870,0.86632217
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88622344,0.98971899,0.88935754,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.74113128,0.78432239,0.86929197
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89993972,0.98971899,0.90779795,0.99062500,0.54644809,1.00000000,0.70671378,0.92440801,0.90779795,0.90210802,0.88621606
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86703221,0.99040439,0.86644204,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.72203503,0.77368142,0.84908344
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88306209,0.99040439,0.88870170,0.99075768,0.50761421,1.00000000,0.67340067,0.91793570,0.88870170,0.88591487,0.86809169
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85758276,0.98229407,0.85651885,0.98375000,0.00000000,0.00000000,0.00000000,0.83333333,0.71376571,0.76869179,0.83803088
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89052384,0.98229407,0.88001571,0.98375000,0.68321918,0.99750000,0.81097561,0.94604579,0.88001571,0.90333690,0.87277025
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.86605081,0.97151655,0.86731494,0.97477304,0.00000000,0.00000000,0.00000000,0.83014862,0.72276245,0.77133459,0.84673680
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89640965,0.97151655,0.88859579,0.97477304,0.69947276,0.99500000,0.82146543,0.94467104,0.88859579,0.90723023,0.87924566
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86989992,0.98768283,0.87773045,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.73144204,0.77835875,0.85128993
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89640965,0.98768283,0.89519204,0.98763268,0.69928826,0.98250000,0.81704782,0.94276755,0.89519204,0.91096664,0.87884259
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.85296382,0.97151655,0.85335545,0.97026536,0.00000000,0.00000000,0.00000000,0.83333333,0.71112954,0.76731168,0.83341058
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.88581519,0.97151655,0.87654621,0.97026536,0.67517007,0.99250000,0.80364372,0.94236517,0.87654621,0.89971214,0.86729381
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.87836798,0.98691301,0.87964385,0.98714036,0.00000000,0.00000000,0.00000000,0.83225108,0.73303655,0.77867751,0.85972946
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.90582696,0.98691301,0.89886988,0.98714036,0.71711712,0.99500000,0.83350785,0.94964772,0.89886988,0.91656751,0.88982978
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.85219400,0.98691301,0.84901885,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.70751571,0.76481806,0.83260649
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88463802,0.98691301,0.87251571,0.98687500,0.67346939,0.99000000,0.80161943,0.94088340,0.87251571,0.89637676,0.86586156
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.89761355,0.97536567,0.90019204,0.97839036,0.00000000,0.00000000,0.00000000,0.82704403,0.75016003,0.78624480,0.87962790
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.92054149,0.97536567,0.91599337,0.97839036,0.75809524,0.99500000,0.86054054,0.95140097,0.91599337,0.92867212,0.90617567
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.85681293,0.98845266,0.86545740,0.98776536,0.00000000,0.00000000,0.00000000,0.83010753,0.72121450,0.77106260,0.83754927
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.88993526,0.98845266,0.88746450,0.98776536,0.68556701,0.99750000,0.81262729,0.94332100,0.88746450,0.90599148,0.87229585
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.86374134,0.98691301,0.86559008,0.98477304,0.00000000,0.00000000,0.00000000,0.83218391,0.72132507,0.77264863,0.84437795
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.89287816,0.98691301,0.88590840,0.98477304,0.69176883,0.98750000,0.81359423,0.94196147,0.88590840,0.90570933,0.87485143
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.87836798,0.98152425,0.87490922,0.98289804,0.00000000,0.00000000,0.00000000,0.83000000,0.72909101,0.77546690,0.85926652
